"","Cohort","Type.of.condition","condition","como","prop","common_n"
"1","SAIL","Inflammatory","Psoriatic_arthritis","pain",55,1
"2","SAIL","Inflammatory","Psoriatic_arthritis","CV",45.4,2
"3","SAIL","Inflammatory","Psoriatic_arthritis","anxiety",21.6,3
"4","SAIL","Inflammatory","Psoriatic_arthritis","asthma_COPD",16.5,4
"5","SAIL","Inflammatory","Psoriatic_arthritis","antacids",15.8,5
"6","SAIL","Inflammatory","Psoriatic_arthritis","diabetes",9.1,6
"7","SAIL","Inflammatory","Rheumatoid_arthritis","pain",66,1
"8","SAIL","Inflammatory","Rheumatoid_arthritis","CV",51.9,2
"9","SAIL","Inflammatory","Rheumatoid_arthritis","antacids",22,3
"10","SAIL","Inflammatory","Rheumatoid_arthritis","asthma_COPD",21.3,4
"11","SAIL","Inflammatory","Rheumatoid_arthritis","anxiety",20.7,5
"12","SAIL","Inflammatory","Rheumatoid_arthritis","osteoporosis",20,6
"13","SAIL","Respiratory","Asthma","pain",39.5,1
"14","SAIL","Respiratory","Asthma","CV",35.5,2
"15","SAIL","Respiratory","Asthma","arthritis",25.4,3
"16","SAIL","Respiratory","Asthma","anxiety",21,4
"17","SAIL","Respiratory","Asthma","antacids",18.3,5
"18","SAIL","Respiratory","Asthma","inflammatory",6.6,6
"19","SAIL","Cardiovascular","Atrial_Fibrillation","pain",53.2,1
"20","SAIL","Cardiovascular","Atrial_Fibrillation","arthritis",23.3,2
"21","SAIL","Cardiovascular","Atrial_Fibrillation","asthma_COPD",21,3
"22","SAIL","Cardiovascular","Atrial_Fibrillation","anxiety",18.4,4
"23","SAIL","Cardiovascular","Atrial_Fibrillation","diabetes",14.8,5
"24","SAIL","Cardiovascular","Atrial_Fibrillation","antacids",14,6
"25","SAIL","Musculoskeletal","Axial_Spondyloarthritis","pain",55,1
"26","SAIL","Musculoskeletal","Axial_Spondyloarthritis","CV",41.8,2
"27","SAIL","Musculoskeletal","Axial_Spondyloarthritis","anxiety",19.4,3
"28","SAIL","Musculoskeletal","Axial_Spondyloarthritis","asthma_COPD",14.7,4
"29","SAIL","Musculoskeletal","Axial_Spondyloarthritis","antacids",13.9,5
"30","SAIL","Musculoskeletal","Axial_Spondyloarthritis","diabetes",7.1,6
"31","SAIL","Urological","Benign_Prostatic_Hyperplasia","CV",64.1,1
"32","SAIL","Urological","Benign_Prostatic_Hyperplasia","pain",43.3,2
"33","SAIL","Urological","Benign_Prostatic_Hyperplasia","arthritis",29.5,3
"34","SAIL","Urological","Benign_Prostatic_Hyperplasia","antacids",25.2,4
"35","SAIL","Urological","Benign_Prostatic_Hyperplasia","asthma_COPD",18.9,5
"36","SAIL","Urological","Benign_Prostatic_Hyperplasia","anxiety",15.1,6
"37","SAIL","Neurological","Dementia_any","pain",50.9,1
"38","SAIL","Neurological","Dementia_any","CV",50.7,2
"39","SAIL","Neurological","Dementia_any","anxiety",48.4,3
"40","SAIL","Neurological","Dementia_any","antacids",27.3,4
"41","SAIL","Neurological","Dementia_any","arthritis",18.3,5
"42","SAIL","Neurological","Dementia_any","osteoporosis",14.7,6
"43","SAIL","Cardiovascular","Diabetes_Mellitus_Type_2","CV",80.9,1
"44","SAIL","Cardiovascular","Diabetes_Mellitus_Type_2","pain",50.5,2
"45","SAIL","Cardiovascular","Diabetes_Mellitus_Type_2","arthritis",29.1,3
"46","SAIL","Cardiovascular","Diabetes_Mellitus_Type_2","antacids",25,4
"47","SAIL","Cardiovascular","Diabetes_Mellitus_Type_2","anxiety",23,5
"48","SAIL","Cardiovascular","Diabetes_Mellitus_Type_2","asthma_COPD",19.7,6
"49","SAIL","Urological","Erectile_dysfunction","CV",56.5,1
"50","SAIL","Urological","Erectile_dysfunction","pain",37.3,2
"51","SAIL","Urological","Erectile_dysfunction","arthritis",28.9,3
"52","SAIL","Urological","Erectile_dysfunction","diabetes",20.2,4
"53","SAIL","Urological","Erectile_dysfunction","antacids",19.9,5
"54","SAIL","Urological","Erectile_dysfunction","anxiety",18.3,6
"55","SAIL","Cardiovascular","Hypertension","pain",46,1
"56","SAIL","Cardiovascular","Hypertension","arthritis",30.2,2
"57","SAIL","Cardiovascular","Hypertension","antacids",22.9,3
"58","SAIL","Cardiovascular","Hypertension","anxiety",19.1,4
"59","SAIL","Cardiovascular","Hypertension","asthma_COPD",17.9,5
"60","SAIL","Cardiovascular","Hypertension","diabetes",16.5,6
"61","SAIL","Respiratory","Pulmonary_Hypertension","CV",70.9,1
"62","SAIL","Respiratory","Pulmonary_Hypertension","pain",57.2,2
"63","SAIL","Respiratory","Pulmonary_Hypertension","asthma_COPD",30.7,3
"64","SAIL","Respiratory","Pulmonary_Hypertension","arthritis",22.7,4
"65","SAIL","Respiratory","Pulmonary_Hypertension","anxiety",21.1,5
"66","SAIL","Respiratory","Pulmonary_Hypertension","antacids",14.6,6
"67","SAIL","Inflammatory","Inflammatory_bowel_disease","pain",40.3,1
"68","SAIL","Inflammatory","Inflammatory_bowel_disease","CV",34.6,2
"69","SAIL","Inflammatory","Inflammatory_bowel_disease","antacids",23.5,3
"70","SAIL","Inflammatory","Inflammatory_bowel_disease","arthritis",23.1,4
"71","SAIL","Inflammatory","Inflammatory_bowel_disease","anxiety",20.5,5
"72","SAIL","Inflammatory","Inflammatory_bowel_disease","asthma_COPD",16.5,6
"73","SAIL","Musculoskeletal","Osteoarthritis","CV",60.3,1
"74","SAIL","Musculoskeletal","Osteoarthritis","antacids",23.4,2
"75","SAIL","Musculoskeletal","Osteoarthritis","anxiety",22,3
"76","SAIL","Musculoskeletal","Osteoarthritis","asthma_COPD",20.1,4
"77","SAIL","Musculoskeletal","Osteoarthritis","thyroid",10.7,5
"78","SAIL","Musculoskeletal","Osteoarthritis","diabetes",10.5,6
"79","SAIL","Musculoskeletal","Osteoporosis","pain",59.7,1
"80","SAIL","Musculoskeletal","Osteoporosis","CV",57.5,2
