condition,sex,trial,n_patients,min_age,max_age,mean_age,sd_age,repo
Asthma,Female,GSKB2C112060,204,12,79,42.9,16.9,GSK
Asthma,Female,GSKFFA112059,205,12,84,42.58,15.86,GSK
Asthma,Female,GSKFFA115285,233,12,81,38.96,15.91,GSK
Asthma,Female,GSKMEA115588,332,12,82,50.09,14.43,GSK
Asthma,Male,GSKB2C112060,143,12,77,38.97,17.07,GSK
Asthma,Male,GSKFFA112059,144,12,72,37.53,16.88,GSK
Asthma,Male,GSKFFA115285,118,12,77,32.04,17.15,GSK
Asthma,Male,GSKMEA115588,248,12,77,50.25,14.06,GSK
Dementia_any,Female,GSKAVA102670_v02,817,50,89,73.36,7.96,GSK
Dementia_any,Female,GSKAVA102672_v02,887,50,89,74.67,7.7,GSK
Dementia_any,Female,GSKAVA105640_v02,364,50,89,72.53,8.64,GSK
Dementia_any,Male,GSKAVA102670_v02,653,50,88,72.77,8.38,GSK
Dementia_any,Male,GSKAVA102672_v02,588,50,89,73.54,7.94,GSK
Dementia_any,Male,GSKAVA105640_v02,216,51,87,72.24,7.66,GSK
Hypertension,Female,GSKCOR103561,270,25,80,53.69,9.9,GSK
Hypertension,Male,GSKCOR103561,298,22,80,50.38,11.33,GSK
Parkinson_Disease,Female,GSK101468_169,146,47,82,67.22,8.26,GSK
Parkinson_Disease,Male,GSK101468_169,247,34,87,65.52,10.04,GSK
Pulmonary_Disease_Chronic_Obstructive,Female,GSK200109,212,44,84,64.04,7.57,GSK
Pulmonary_Disease_Chronic_Obstructive,Female,GSK200110,229,43,88,61.61,7.99,GSK
Pulmonary_Disease_Chronic_Obstructive,Female,GSK201315,328,46,87,64.69,8.71,GSK
Pulmonary_Disease_Chronic_Obstructive,Female,GSKAC4116135,208,44,82,60.95,7.96,GSK
Pulmonary_Disease_Chronic_Obstructive,Female,GSKDB2113360_v02,261,40,88,61.62,9.57,GSK
Pulmonary_Disease_Chronic_Obstructive,Male,GSK200109,407,43,87,64.62,8.37,GSK
Pulmonary_Disease_Chronic_Obstructive,Male,GSK200110,391,42,88,63.66,8.28,GSK
Pulmonary_Disease_Chronic_Obstructive,Male,GSK201315,706,40,89,63.84,8.1,GSK
Pulmonary_Disease_Chronic_Obstructive,Male,GSKAC4116135,409,43,83,64.26,8.37,GSK
Pulmonary_Disease_Chronic_Obstructive,Male,GSKDB2113360_v02,584,41,87,63.54,8.68,GSK
Restless_legs_syndrome,Female,GSK101468_204,342,19,79,54.96,12.52,GSK
Restless_legs_syndrome,Female,GSK101468_205,254,19,79,51.99,11.88,GSK
Restless_legs_syndrome,Female,GSK101468_249,232,18,79,52.31,13.35,GSK
Restless_legs_syndrome,Female,GSKROR104836,256,19,79,56.65,11.24,GSK
Restless_legs_syndrome,Male,GSK101468_204,223,20,79,54.03,12.02,GSK
Restless_legs_syndrome,Male,GSK101468_205,130,22,79,52.48,12.57,GSK
Restless_legs_syndrome,Male,GSK101468_249,149,25,77,52.26,12.33,GSK
Restless_legs_syndrome,Male,GSKROR104836,148,18,78,55.34,12.53,GSK
Systemic_Lupus_Erythematosus,Female,GSKHGS1006_C1056_v05,769,18,73,40.08,11.38,GSK
Systemic_Lupus_Erythematosus,Female,GSKHGS1006_C1057_v03,823,18,71,35.61,11.14,GSK
Systemic_Lupus_Erythematosus,Male,GSKHGS1006_C1056_v05,57,18,68,42,12.9,GSK
Systemic_Lupus_Erythematosus,Male,GSKHGS1006_C1057_v03,44,19,55,33.59,9.57,GSK
Diabetes_Mellitus_Type_2,Female,28431754DIA3011,213,14,70,54.09,10.04,YODA
Diabetes_Mellitus_Type_2,Male,28431754DIA3011,176,28,70,51.94,10.16,YODA
Diabetes_Mellitus_Type_2,Female,28431754DIA3014,215,30,75,49.95,9.26,YODA
Diabetes_Mellitus_Type_2,Male,28431754DIA3014,238,15,75,48.21,11.28,YODA
Rheumatoid_arthritis,Female,ART3001,428,19,83,51.57,12.24,YODA
Rheumatoid_arthritis,Male,ART3001,95,18,78,52.38,11.45,YODA
Rheumatoid_arthritis,Female,C0168T29,740,18,76,49.04,12.86,YODA
Rheumatoid_arthritis,Male,C0168T29,297,18,74,52.23,11.72,YODA
Rheumatoid_arthritis,Female,C0524T05,525,18,85,49.13,12.41,YODA
Rheumatoid_arthritis,Male,C0524T05,109,24,80,51.37,11.58,YODA
Rheumatoid_arthritis,Female,C0524T06,357,18,79,49.55,11.14,YODA
Rheumatoid_arthritis,Male,C0524T06,86,21,76,54.06,11.69,YODA
Psoriatic_arthritis,Female,C0524T08,158,20,70,46.49,11.03,YODA
Psoriatic_arthritis,Male,C0524T08,234,24,73,46.87,10.27,YODA
Axial_Spondyloarthritis,Female,C0524T09,101,20,69,42.02,11.18,YODA
Axial_Spondyloarthritis,Male,C0524T09,251,18,83,38.27,12.24,YODA
Rheumatoid_arthritis,Female,C0524T11,365,23,83,53.89,12.45,YODA
Rheumatoid_arthritis,Male,C0524T11,90,26,77,55.37,11.62,YODA
Rheumatoid_arthritis,Female,C0524T12,517,18,77,48.8,11.6,YODA
Rheumatoid_arthritis,Male,C0524T12,124,22,73,52.83,10.96,YODA
Psoriasis,Female,C0743T08,112,20,76,44.5,12.18,YODA
Psoriasis,Male,C0743T08,190,19,72,48.85,11.44,YODA
Psoriasis,Female,C0743T09,170,18,77,47.35,12.63,YODA
Psoriasis,Male,C0743T09,299,18,76,49.46,11.57,YODA
Psoriatic_arthritis,Female,CNTO1275PSA3001,125,20,81,49.26,12.11,YODA
Psoriatic_arthritis,Male,CNTO1275PSA3001,148,18,76,46.22,11.42,YODA
Psoriatic_arthritis,Female,CNTO1275PSA3002,87,19,75,49.45,11.84,YODA
Psoriatic_arthritis,Male,CNTO1275PSA3002,70,20,70,45.24,11.03,YODA
Diabetes_Mellitus_Type_2,Female,DIA3002,151,27,79,56.05,9.42,YODA
Diabetes_Mellitus_Type_2,Male,DIA3002,159,34,78,56.34,9.2,YODA
Diabetes_Mellitus_Type_2,Female,DIA3005,221,27,78,55.49,11.23,YODA
Diabetes_Mellitus_Type_2,Male,DIA3005,181,25,78,54.77,10.9,YODA
Diabetes_Mellitus_Type_2,Female,DIA3006,552,26,78,55.66,9.43,YODA
Diabetes_Mellitus_Type_2,Male,DIA3006,462,21,78,55.26,9.36,YODA
Diabetes_Mellitus_Type_2,Female,DIA3009,617,22,79,55.68,9.11,YODA
Diabetes_Mellitus_Type_2,Male,DIA3009,634,26,79,55.89,9.37,YODA
Diabetes_Mellitus_Type_2,Female,DIA3010,239,55,80,63.09,6.27,YODA
Diabetes_Mellitus_Type_2,Male,DIA3010,274,55,80,63.83,6.52,YODA
Diabetes_Mellitus_Type_2,Female,DIA3012,117,27,78,55.09,10.48,YODA
Diabetes_Mellitus_Type_2,Male,DIA3012,198,37,77,58.39,9.71,YODA
Diabetes_Mellitus_Type_2,Female,DIA3015,266,20,89.999,56.38,10.04,YODA
Diabetes_Mellitus_Type_2,Male,DIA3015,295,24,77,55.77,8.99,YODA
Dementia_any,Female,GAL-ALZ-302,332,56,89.999,83.43,5.56,YODA
Dementia_any,Male,GAL-ALZ-302,80,67,89.999,82.15,5.66,YODA
Dementia_any,Female,Gal-Int-11_24m,488,50,89.999,69.95,8.84,YODA
Dementia_any,Male,Gal-Int-11_24m,410,50,89,69.26,9.25,YODA
Dementia_any,Female,Gal-Int-18_24m,559,49,89.999,70.32,8.71,YODA
Dementia_any,Male,Gal-Int-18_24m,417,50,89.999,71.65,8.31,YODA
Benign_Prostatic_Hyperplasia,Male,LILLY_H6D_MC_LVHB,629,44.94,86.21,63.1,7.84,Vivli
Benign_Prostatic_Hyperplasia,Male,LILLY_H6D_MC_LVHG,427,45.57,82.2,62.66,8.29,Vivli
Benign_Prostatic_Hyperplasia,Male,LILLY_H6D_MC_LVHJ,325,44.77,86.96,64.85,9.26,Vivli
Benign_Prostatic_Hyperplasia,Male,LILLY_H6D_MC_LVHR,606,45.35,83.23,62.56,8.08,Vivli
Benign_Prostatic_Hyperplasia,Male,LILLY_H6D_MC_LVHS,318,46.88,87.98,67.38,9.1,Vivli
Benign_Prostatic_Hyperplasia,Male,LILLY_H6D_MC_LVID,511,45.06,88.59,63.55,8.16,Vivli
Diabetes_Mellitus_Type_2,Female,BI1245_36,309,26,86,63.63,8.86,Vivli
Diabetes_Mellitus_Type_2,Female,BI1276_1,607,18,82,52.03,11.16,Vivli
Diabetes_Mellitus_Type_2,Female,BI502_396,318,32,79,61.49,9.1,Vivli
Diabetes_Mellitus_Type_2,Female,BI502_397,325,30,80,60.07,9.51,Vivli
Diabetes_Mellitus_Type_2,Female,BI502_413,142,31,74,60.74,8.22,Vivli
Diabetes_Mellitus_Type_2,Female,LILLY_H9X_MC_GBCF,643,19.81,76.29,54.14,9.87,Vivli
Diabetes_Mellitus_Type_2,Female,LILLY_H9X_MC_GBDA,407,21.71,77.64,55.09,9.81,Vivli
Diabetes_Mellitus_Type_2,Female,LILLY_H9X_MC_GBDB,408,27.03,86.55,56.04,9.68,Vivli
Diabetes_Mellitus_Type_2,Female,LILLY_H9X_MC_GBDC,454,25.29,80.53,55.04,10.72,Vivli
Diabetes_Mellitus_Type_2,Female,LILLY_H9X_MC_GBDD,417,34.85,82.65,58.85,8.73,Vivli
Diabetes_Mellitus_Type_2,Female,LILLY_H9X_MC_GBDE,312,19.31,79.54,56.59,10.03,Vivli
Diabetes_Mellitus_Type_2,Female,LILLY_H9X_MC_GBDG,167,23.23,78.54,58.22,9.59,Vivli
Diabetes_Mellitus_Type_2,Female,TKASYR322_305,1327,21,78,55.31,9.58,Vivli
Diabetes_Mellitus_Type_2,Male,BI1245_36,432,32,87,64.07,8.77,Vivli
Diabetes_Mellitus_Type_2,Male,BI1276_1,811,24,87,52.96,10.68,Vivli
Diabetes_Mellitus_Type_2,Male,BI502_396,567,31,80,60.95,9.21,Vivli
Diabetes_Mellitus_Type_2,Male,BI502_397,535,27,80,60.37,9.24,Vivli
Diabetes_Mellitus_Type_2,Male,BI502_413,385,35,74,61.26,7.71,Vivli
Diabetes_Mellitus_Type_2,Male,LILLY_H9X_MC_GBCF,559,24.31,74.73,54.05,9.83,Vivli
Diabetes_Mellitus_Type_2,Male,LILLY_H9X_MC_GBDA,571,19.94,85.66,56.06,9.79,Vivli
Diabetes_Mellitus_Type_2,Male,LILLY_H9X_MC_GBDB,421,28.44,79.4,57.09,9.2,Vivli
Diabetes_Mellitus_Type_2,Male,LILLY_H9X_MC_GBDC,353,30.66,83.56,56.23,9.91,Vivli
Diabetes_Mellitus_Type_2,Male,LILLY_H9X_MC_GBDD,475,27.82,83.75,59.76,9.55,Vivli
Diabetes_Mellitus_Type_2,Male,LILLY_H9X_MC_GBDE,287,28.07,79.22,56.72,9.19,Vivli
Diabetes_Mellitus_Type_2,Male,LILLY_H9X_MC_GBDG,133,35.2,80.62,57.37,9.82,Vivli
Diabetes_Mellitus_Type_2,Male,TKASYR322_305,1312,23,80,55.48,9.76,Vivli
Hypertension,Female,BI502_254,590,32,84,63.79,10.63,Vivli
Hypertension,Female,BI502_256,136,26,75,52.38,9.53,Vivli
Hypertension,Female,BI502_316,106,32,76,54.67,9,Vivli
Hypertension,Female,BI502_317,192,63,86,70.46,4.71,Vivli
Hypertension,Female,BI502_327,118,27,78,54.68,9.73,Vivli
Hypertension,Female,BI502_376,174,28,82,53.39,10.59,Vivli
Hypertension,Female,BI502_391,322,27,84,53.96,10.93,Vivli
Hypertension,Female,BI502_392,269,22,85,52.11,9.73,Vivli
Hypertension,Female,BI502_550,413,23,89,59.21,11.07,Vivli
Hypertension,Male,BI502_254,449,32,84,62,11.16,Vivli
Hypertension,Male,BI502_256,290,21,82,53.78,10.14,Vivli
Hypertension,Male,BI502_316,256,19,79,51.38,9.98,Vivli
Hypertension,Male,BI502_317,181,40,85,70.88,5.6,Vivli
Hypertension,Male,BI502_327,372,27,81,54.45,9.79,Vivli
Hypertension,Male,BI502_376,272,28,78,53.42,9.58,Vivli
Hypertension,Male,BI502_391,479,24,80,53.36,10.33,Vivli
Hypertension,Male,BI502_392,543,26,82,52.87,9.86,Vivli
Hypertension,Male,BI502_550,479,18,84,55.13,11.48,Vivli
Osteoarthritis,Female,BI107_210,888,26,88,63.94,11.45,Vivli
Osteoarthritis,Male,BI107_210,432,23,89,63.47,11.83,Vivli
Osteoporosis,Female,LILLY_B3D_MC_GHAC,1626,42.09,85.87,69.3,7.04,Vivli
Osteoporosis,Female,LILLY_B3D_US_GHBZ,345,21.91,88.7,56.65,13.7,Vivli
Osteoporosis,Male,LILLY_B3D_US_GHBZ,84,22.44,81.19,57.24,13.97,Vivli
Parkinson_Disease,Female,BI248_524,240,30,83,61.73,9.47,Vivli
Parkinson_Disease,Female,BI248_525,233,34,83,61.76,9.91,Vivli
Parkinson_Disease,Female,BI248_622,104,30,82,60.96,10.23,Vivli
Parkinson_Disease,Male,BI248_524,299,32,85,61.5,9.88,Vivli
Parkinson_Disease,Male,BI248_525,285,34,81,61.26,9.95,Vivli
Parkinson_Disease,Male,BI248_622,207,30,87,62.94,10.2,Vivli
Pulmonary_Disease_Chronic_Obstructive,Female,BI244_2484,275,41,83,65.14,8.38,Vivli
Pulmonary_Disease_Chronic_Obstructive,Male,BI244_2484,370,43,89,66.15,8.57,Vivli
Pulmonary_Hypertension,Female,LILLY_H6D_MC_LVGY,318,14.69,86.12,52.7,15.32,Vivli
Pulmonary_Hypertension,Male,LILLY_H6D_MC_LVGY,88,18.98,99,57.34,15.71,Vivli
Restless_legs_syndrome,Female,BI248_629,198,22,81,57.71,11.55,Vivli
Restless_legs_syndrome,Male,BI248_629,133,23,81,55.69,12.84,Vivli
Rheumatoid_arthritis,Female,RCHNA25220,556,18,82,51.61,11.53,Vivli
Rheumatoid_arthritis,Female,RCHWA19924,263,20,85,53.45,12.79,Vivli
Rheumatoid_arthritis,Male,RCHNA25220,100,18,77,54.72,11.19,Vivli
Rheumatoid_arthritis,Male,RCHWA19924,63,29,80,55.59,12.08,Vivli
