condition,condition_n,comorbidity_n,como_prop,prop_se,repo,se_min,se_max,comorbidity
Axial_Spondyloarthritis,1865,237,12.707774798927614,0.007712285869131919,Age restricted community,12.692658718624116,12.722890879231112,Acid-related disease
Axial_Spondyloarthritis,1865,352,18.873994638069703,0.009060925123091907,Age restricted community,18.856235224828442,18.891754051310965,Anxiety
Axial_Spondyloarthritis,1865,263,14.101876675603217,0.008059180373930021,Age restricted community,14.086080682070314,14.11767266913612,Asthma
Axial_Spondyloarthritis,1865,753,40.37533512064343,0.011361394171991904,Age restricted community,40.35306678806632,40.39760345322053,Cardiovascular
Axial_Spondyloarthritis,1865,124,6.648793565683646,0.005768886226502635,Age restricted community,6.637486548679701,6.660100582687591,Diabetes
Axial_Spondyloarthritis,1865,1011,54.20911528150134,0.011536823777416145,Age restricted community,54.186503106897604,54.23172745610508,Pain
Parkinson_Disease,4236,1202,28.375826251180357,0.006926695477497234,Age restricted community,28.362249928044463,28.38940257431625,Acid-related disease
Parkinson_Disease,4236,1520,35.88290840415486,0.007369749895617212,Age restricted community,35.86846369435945,35.897353113950274,Anxiety
Parkinson_Disease,4236,1093,25.802644003777147,0.0067227714077703485,Age restricted community,25.789467371817917,25.815820635736376,Arthritis
Parkinson_Disease,4236,617,14.565627950897072,0.005420045675525411,Age restricted community,14.555004661373042,14.576251240421103,Asthma
Parkinson_Disease,4236,2437,57.53068932955618,0.007594678940619445,Age restricted community,57.51580375883257,57.545574900279796,Cardiovascular
Parkinson_Disease,4236,2333,55.07554296506137,0.007642630028890201,Age restricted community,55.06056341020475,55.090522519918,Pain
Psoriatic_arthritis,3400,520,15.294117647058824,0.0061727621096132205,Age restricted community,15.282019033323982,15.306216260793667,Acid-related disease
Psoriatic_arthritis,3400,741,21.794117647058822,0.00708027126576551,Age restricted community,21.780240315377924,21.80799497873972,Anxiety
Psoriatic_arthritis,3400,552,16.235294117647058,0.006324426588000362,Age restricted community,16.222898241534576,16.24768999375954,Asthma
Psoriatic_arthritis,3400,1513,44.5,0.008522893046516126,Age restricted community,44.48329512962883,44.51670487037117,Cardiovascular
Psoriatic_arthritis,3400,306,9,0.004907976700649428,Age restricted community,8.990380365666727,9.009619634333273,Diabetes
Psoriatic_arthritis,3400,1855,54.55882352941176,0.008539212541232568,Age restricted community,54.54208667283095,54.575560385992574,Pain
Pulmonary_Hypertension,594,94,15.824915824915825,0.014975083804568743,Age restricted community,15.79556466065887,15.85426698917278,Acid-related disease
Pulmonary_Hypertension,594,147,24.747474747474747,0.0177065015374405,Age restricted community,24.712770004461365,24.78217949048813,Anxiety
Pulmonary_Hypertension,594,149,25.084175084175087,0.017786621863083774,Age restricted community,25.04931330532344,25.119036863026732,Arthritis
Pulmonary_Hypertension,594,195,32.82828282828283,0.019267443141594353,Age restricted community,32.790518639725306,32.866047016840355,Asthma
Pulmonary_Hypertension,594,474,79.7979797979798,0.016474040388658028,Age restricted community,79.76569067881803,79.83026891714158,Cardiovascular
Pulmonary_Hypertension,594,367,61.784511784511785,0.019937297678488352,Age restricted community,61.74543468106195,61.82358888796162,Pain
Systemic_Lupus_Erythematosus,923,217,23.510292524377032,0.013958208005756069,Age restricted community,23.48293443668575,23.537650612068315,Acid-related disease
Systemic_Lupus_Erythematosus,923,271,29.360780065005414,0.014990147000403554,Age restricted community,29.331399376884622,29.390160753126207,Anxiety
Systemic_Lupus_Erythematosus,923,367,39.76164680390033,0.01610897384487868,Age restricted community,39.73007321516437,39.793220392636286,Arthritis
Systemic_Lupus_Erythematosus,923,204,22.10184182015168,0.013657681396333148,Age restricted community,22.075072764614866,22.128610875688494,Asthma
Systemic_Lupus_Erythematosus,923,459,49.729144095341276,0.016457458988148127,Age restricted community,49.69688747572451,49.76140071495804,Cardiovascular
Systemic_Lupus_Erythematosus,923,525,56.87973997833152,0.016301164731268202,Age restricted community,56.84778969545824,56.911690261204804,Pain
