mean,Var1,Var2,q2.5,q97.5,rhat,sd,ess_bulk,ess_tail,condition,comorbidity,repo
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,SAIL-age restricted
0.19,Pain,Cardiovascular,0.16,0.211,1.001,0.013,2605.39,2504.53,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,SAIL-age restricted
0.24,Cardiovascular,Arthritis,0.212,0.264,1.001,0.014,2486.76,2602.31,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,SAIL-age restricted
0.03,Cardiovascular,Acid-related disease,0.004,0.061,1.001,0.015,2234.96,2321.44,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,SAIL-age restricted
0.04,Cardiovascular,Anxiety,0.006,0.064,1,0.015,2755.45,2431.64,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,SAIL-age restricted
0.07,Cardiovascular,Asthma,0.037,0.095,1,0.015,2337.52,2555.25,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,SAIL-age restricted
1,Pain,Pain,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Pain : Pain,SAIL-age restricted
0.45,Pain,Arthritis,0.434,0.473,1,0.01,2955.51,2488.06,Diabetes_Mellitus_Type_2,Pain : Arthritis,SAIL-age restricted
0.15,Pain,Acid-related disease,0.125,0.172,1,0.012,3425.05,2376.99,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,SAIL-age restricted
0.3,Pain,Anxiety,0.273,0.32,1.001,0.012,3645.61,2663.91,Diabetes_Mellitus_Type_2,Pain : Anxiety,SAIL-age restricted
0.24,Pain,Asthma,0.217,0.267,1.002,0.013,3136.84,2570.07,Diabetes_Mellitus_Type_2,Pain : Asthma,SAIL-age restricted
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,SAIL-age restricted
-0.29,Arthritis,Acid-related disease,-0.316,-0.269,1,0.012,2823,2568.8,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,SAIL-age restricted
0.14,Arthritis,Anxiety,0.114,0.164,1,0.013,3542.24,2859.93,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,SAIL-age restricted
0.1,Asthma,Arthritis,0.074,0.125,1.002,0.013,3121.24,2480.06,Diabetes_Mellitus_Type_2,Asthma : Arthritis,SAIL-age restricted
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,SAIL-age restricted
0.14,Anxiety,Acid-related disease,0.112,0.163,1,0.013,3751.46,2840.54,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,SAIL-age restricted
0.13,Asthma,Acid-related disease,0.108,0.16,1,0.014,3266.55,2548.69,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,SAIL-age restricted
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,SAIL-age restricted
0.18,Asthma,Anxiety,0.151,0.206,1,0.014,3345.63,2543.67,Diabetes_Mellitus_Type_2,Asthma : Anxiety,SAIL-age restricted
1,Asthma,Asthma,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Asthma : Asthma,SAIL-age restricted
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Cardiovascular : Cardiovascular,SAIL-age restricted
0.29,Pain,Cardiovascular,0.264,0.308,1,0.011,2817.66,2538.75,Benign_Prostatic_Hyperplasia,Pain : Cardiovascular,SAIL-age restricted
0.3,Cardiovascular,Arthritis,0.274,0.32,1,0.012,2592.51,2572.16,Benign_Prostatic_Hyperplasia,Cardiovascular : Arthritis,SAIL-age restricted
0.06,Cardiovascular,Acid-related disease,0.036,0.085,1,0.013,2456.08,2616.14,Benign_Prostatic_Hyperplasia,Cardiovascular : Acid-related disease,SAIL-age restricted
0.06,Cardiovascular,Asthma,0.036,0.088,1,0.013,2739.46,2669.72,Benign_Prostatic_Hyperplasia,Cardiovascular : Asthma,SAIL-age restricted
0.13,Cardiovascular,Anxiety,0.105,0.161,1,0.014,2540.34,2581.36,Benign_Prostatic_Hyperplasia,Cardiovascular : Anxiety,SAIL-age restricted
1,Pain,Pain,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Pain : Pain,SAIL-age restricted
0.47,Pain,Arthritis,0.449,0.489,1.001,0.01,3072.87,2506.06,Benign_Prostatic_Hyperplasia,Pain : Arthritis,SAIL-age restricted
0.15,Pain,Acid-related disease,0.127,0.175,1,0.012,2729.88,2568.97,Benign_Prostatic_Hyperplasia,Pain : Acid-related disease,SAIL-age restricted
0.23,Pain,Asthma,0.209,0.258,1.001,0.013,2704.79,2532.48,Benign_Prostatic_Hyperplasia,Pain : Asthma,SAIL-age restricted
0.34,Pain,Anxiety,0.311,0.362,1,0.013,3271.26,2528.66,Benign_Prostatic_Hyperplasia,Pain : Anxiety,SAIL-age restricted
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Arthritis : Arthritis,SAIL-age restricted
-0.31,Arthritis,Acid-related disease,-0.339,-0.291,1,0.012,1891.21,2338.05,Benign_Prostatic_Hyperplasia,Arthritis : Acid-related disease,SAIL-age restricted
0.05,Asthma,Arthritis,0.027,0.08,1,0.014,2543.17,2635.32,Benign_Prostatic_Hyperplasia,Asthma : Arthritis,SAIL-age restricted
0.12,Arthritis,Anxiety,0.089,0.144,1.001,0.014,2906.24,2603.96,Benign_Prostatic_Hyperplasia,Arthritis : Anxiety,SAIL-age restricted
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Acid-related disease : Acid-related disease,SAIL-age restricted
0.17,Asthma,Acid-related disease,0.139,0.192,1.001,0.014,2732.92,2353.01,Benign_Prostatic_Hyperplasia,Asthma : Acid-related disease,SAIL-age restricted
0.17,Anxiety,Acid-related disease,0.144,0.201,1,0.015,2950,2519.96,Benign_Prostatic_Hyperplasia,Anxiety : Acid-related disease,SAIL-age restricted
1,Asthma,Asthma,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Asthma : Asthma,SAIL-age restricted
0.18,Asthma,Anxiety,0.145,0.205,1.001,0.015,2381.25,2386.85,Benign_Prostatic_Hyperplasia,Asthma : Anxiety,SAIL-age restricted
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Anxiety : Anxiety,SAIL-age restricted
1,Pain,Pain,1,1,NA,0,NA,NA,Hypertension,Pain : Pain,SAIL-age restricted
0.47,Pain,Arthritis,0.447,0.486,1,0.01,2342.63,2370.98,Hypertension,Pain : Arthritis,SAIL-age restricted
0.15,Pain,Acid-related disease,0.13,0.177,1.002,0.012,2486.01,2302.53,Hypertension,Pain : Acid-related disease,SAIL-age restricted
0.32,Pain,Anxiety,0.297,0.343,1,0.012,2426.88,2351.8,Hypertension,Pain : Anxiety,SAIL-age restricted
0.24,Pain,Asthma,0.218,0.267,1.001,0.013,2222.67,2282.15,Hypertension,Pain : Asthma,SAIL-age restricted
0.13,Pain,Diabetes,0.107,0.158,0.999,0.013,2563.41,2399.6,Hypertension,Pain : Diabetes,SAIL-age restricted
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Hypertension,Arthritis : Arthritis,SAIL-age restricted
-0.29,Arthritis,Acid-related disease,-0.312,-0.264,1,0.012,2184.75,2309.38,Hypertension,Arthritis : Acid-related disease,SAIL-age restricted
0.12,Arthritis,Anxiety,0.092,0.144,1.001,0.013,2595.27,2462.47,Hypertension,Arthritis : Anxiety,SAIL-age restricted
0.07,Asthma,Arthritis,0.047,0.099,1.002,0.013,2448.51,2129.4,Hypertension,Asthma : Arthritis,SAIL-age restricted
-0.03,Diabetes,Arthritis,-0.062,-0.007,1.002,0.014,2210.39,2325.73,Hypertension,Diabetes : Arthritis,SAIL-age restricted
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Hypertension,Acid-related disease : Acid-related disease,SAIL-age restricted
0.2,Anxiety,Acid-related disease,0.172,0.223,1,0.013,2164.93,2215.06,Hypertension,Anxiety : Acid-related disease,SAIL-age restricted
0.15,Asthma,Acid-related disease,0.123,0.177,1,0.014,2071.12,2578.15,Hypertension,Asthma : Acid-related disease,SAIL-age restricted
0.08,Diabetes,Acid-related disease,0.052,0.11,1.002,0.015,2485.08,2298.68,Hypertension,Diabetes : Acid-related disease,SAIL-age restricted
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Hypertension,Anxiety : Anxiety,SAIL-age restricted
0.2,Asthma,Anxiety,0.175,0.229,1.001,0.014,2253.57,2490.36,Hypertension,Asthma : Anxiety,SAIL-age restricted
0.09,Diabetes,Anxiety,0.063,0.122,1.001,0.015,2295.67,2418.87,Hypertension,Diabetes : Anxiety,SAIL-age restricted
1,Asthma,Asthma,1,1,NA,0,NA,NA,Hypertension,Asthma : Asthma,SAIL-age restricted
0.05,Diabetes,Asthma,0.02,0.08,1.001,0.016,1737.15,2375.24,Hypertension,Diabetes : Asthma,SAIL-age restricted
1,Diabetes,Diabetes,1,1,NA,0,NA,NA,Hypertension,Diabetes : Diabetes,SAIL-age restricted
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Osteoarthritis,Cardiovascular : Cardiovascular,SAIL-age restricted
0.03,Cardiovascular,Acid-related disease,0.003,0.051,1.001,0.012,3918.97,2576.79,Osteoarthritis,Cardiovascular : Acid-related disease,SAIL-age restricted
0.13,Cardiovascular,Anxiety,0.101,0.151,1,0.013,3448.07,2477.33,Osteoarthritis,Cardiovascular : Anxiety,SAIL-age restricted
0.12,Cardiovascular,Asthma,0.095,0.147,1,0.013,3265.9,2293.77,Osteoarthritis,Cardiovascular : Asthma,SAIL-age restricted
0.12,Thyroid disorders,Cardiovascular,0.092,0.154,1,0.016,3456.71,2739.65,Osteoarthritis,Thyroid disorders : Cardiovascular,SAIL-age restricted
0.44,Diabetes,Cardiovascular,0.406,0.464,1,0.015,3466.45,2311.71,Osteoarthritis,Diabetes : Cardiovascular,SAIL-age restricted
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Osteoarthritis,Acid-related disease : Acid-related disease,SAIL-age restricted
0.18,Anxiety,Acid-related disease,0.152,0.203,1,0.013,3617.52,2641.31,Osteoarthritis,Anxiety : Acid-related disease,SAIL-age restricted
