mean,Var1,Var2,q2.5,q97.5,rhat,sd,ess_bulk,ess_tail,condition,comorbidity,repo
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Dementia_any,Cardiovascular : Cardiovascular,SAIL
0.2,Pain,Cardiovascular,0.17,0.221,1,0.013,2954.62,2487.09,Dementia_any,Pain : Cardiovascular,SAIL
0.03,Cardiovascular,Anxiety,0.005,0.057,1.001,0.013,3011.29,2789.22,Dementia_any,Cardiovascular : Anxiety,SAIL
0.06,Cardiovascular,Acid-related disease,0.032,0.088,1,0.014,3488.59,2215.08,Dementia_any,Cardiovascular : Acid-related disease,SAIL
0.38,Cardiovascular,Arthritis,0.349,0.404,1,0.014,2581.04,2601.38,Dementia_any,Cardiovascular : Arthritis,SAIL
0.1,Osteoporosis,Cardiovascular,0.071,0.136,1.001,0.017,3467.07,2525.35,Dementia_any,Osteoporosis : Cardiovascular,SAIL
1,Pain,Pain,1,1,NA,0,NA,NA,Dementia_any,Pain : Pain,SAIL
0.26,Pain,Anxiety,0.238,0.288,1.001,0.013,3055.19,2548.36,Dementia_any,Pain : Anxiety,SAIL
0.22,Pain,Acid-related disease,0.188,0.243,1.002,0.014,3104.45,2231.21,Dementia_any,Pain : Acid-related disease,SAIL
0.46,Pain,Arthritis,0.429,0.482,1.002,0.014,2511.88,2730.15,Dementia_any,Pain : Arthritis,SAIL
0.24,Pain,Osteoporosis,0.21,0.274,1.002,0.016,3311.4,2640.23,Dementia_any,Pain : Osteoporosis,SAIL
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Dementia_any,Anxiety : Anxiety,SAIL
0.17,Anxiety,Acid-related disease,0.147,0.201,1,0.014,3167.22,2470.42,Dementia_any,Anxiety : Acid-related disease,SAIL
0.05,Arthritis,Anxiety,0.02,0.08,1,0.016,3467.55,2673.97,Dementia_any,Arthritis : Anxiety,SAIL
0.07,Osteoporosis,Anxiety,0.034,0.101,1.001,0.017,3775.54,2470.78,Dementia_any,Osteoporosis : Anxiety,SAIL
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Dementia_any,Acid-related disease : Acid-related disease,SAIL
-0.11,Arthritis,Acid-related disease,-0.138,-0.075,1,0.016,3223.32,2598.35,Dementia_any,Arthritis : Acid-related disease,SAIL
0.14,Osteoporosis,Acid-related disease,0.108,0.175,1,0.017,3506.05,2376.11,Dementia_any,Osteoporosis : Acid-related disease,SAIL
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Dementia_any,Arthritis : Arthritis,SAIL
0.17,Osteoporosis,Arthritis,0.138,0.211,1.001,0.019,2455,2184.62,Dementia_any,Osteoporosis : Arthritis,SAIL
1,Osteoporosis,Osteoporosis,1,1,NA,0,NA,NA,Dementia_any,Osteoporosis : Osteoporosis,SAIL
1,Pain,Pain,1,1,NA,0,NA,NA,Asthma,Pain : Pain,SAIL
0.35,Pain,Cardiovascular,0.332,0.375,1.001,0.011,1661.13,2344.53,Asthma,Pain : Cardiovascular,SAIL
0.51,Pain,Arthritis,0.492,0.531,1.005,0.01,1299.05,1888.02,Asthma,Pain : Arthritis,SAIL
0.33,Pain,Anxiety,0.31,0.359,1.002,0.012,1895.09,2107.56,Asthma,Pain : Anxiety,SAIL
0.15,Pain,Acid-related disease,0.119,0.172,1.003,0.014,1807.94,2314.08,Asthma,Pain : Acid-related disease,SAIL
0.24,Pain,Inflammatory disorders,0.203,0.273,1,0.018,1781.37,2009.8,Asthma,Pain : Inflammatory disorders,SAIL
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Asthma,Cardiovascular : Cardiovascular,SAIL
0.61,Cardiovascular,Arthritis,0.591,0.626,1.001,0.009,1956.06,2475.59,Asthma,Cardiovascular : Arthritis,SAIL
0.18,Cardiovascular,Anxiety,0.152,0.203,1.002,0.013,1745.91,2291.68,Asthma,Cardiovascular : Anxiety,SAIL
-0.04,Cardiovascular,Acid-related disease,-0.069,-0.012,1.004,0.015,1464.68,1798.04,Asthma,Cardiovascular : Acid-related disease,SAIL
0.12,Inflammatory disorders,Cardiovascular,0.082,0.151,1.003,0.018,1655.52,2242.34,Asthma,Inflammatory disorders : Cardiovascular,SAIL
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Asthma,Arthritis : Arthritis,SAIL
0.22,Arthritis,Anxiety,0.192,0.24,1,0.013,2032.97,2293.35,Asthma,Arthritis : Anxiety,SAIL
-0.29,Arthritis,Acid-related disease,-0.316,-0.264,1,0.014,1676.95,2136.27,Asthma,Arthritis : Acid-related disease,SAIL
0.13,Inflammatory disorders,Arthritis,0.093,0.163,1.001,0.018,1714.98,2198.79,Asthma,Inflammatory disorders : Arthritis,SAIL
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Asthma,Anxiety : Anxiety,SAIL
0.2,Anxiety,Acid-related disease,0.175,0.231,1,0.014,1847.2,2415.31,Asthma,Anxiety : Acid-related disease,SAIL
0.2,Inflammatory disorders,Anxiety,0.166,0.237,1.003,0.018,1650.11,1957.88,Asthma,Inflammatory disorders : Anxiety,SAIL
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Asthma,Acid-related disease : Acid-related disease,SAIL
0.18,Inflammatory disorders,Acid-related disease,0.146,0.22,1.002,0.019,1874.7,2289.42,Asthma,Inflammatory disorders : Acid-related disease,SAIL
1,Inflammatory disorders,Inflammatory disorders,1,1,NA,0,NA,NA,Asthma,Inflammatory disorders : Inflammatory disorders,SAIL
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Cardiovascular : Cardiovascular,SAIL
0.28,Pain,Cardiovascular,0.262,0.305,1,0.011,2748.94,2454.28,Benign_Prostatic_Hyperplasia,Pain : Cardiovascular,SAIL
0.3,Cardiovascular,Arthritis,0.274,0.319,1,0.012,2803.42,2339.16,Benign_Prostatic_Hyperplasia,Cardiovascular : Arthritis,SAIL
0.05,Cardiovascular,Acid-related disease,0.028,0.077,1.004,0.013,2588.77,2222.6,Benign_Prostatic_Hyperplasia,Cardiovascular : Acid-related disease,SAIL
0.07,Cardiovascular,Asthma,0.046,0.099,1.002,0.013,3049.73,2196.2,Benign_Prostatic_Hyperplasia,Cardiovascular : Asthma,SAIL
0.13,Cardiovascular,Anxiety,0.096,0.153,1,0.014,2655.18,2473.63,Benign_Prostatic_Hyperplasia,Cardiovascular : Anxiety,SAIL
1,Pain,Pain,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Pain : Pain,SAIL
0.47,Pain,Arthritis,0.45,0.488,1.002,0.01,2452.23,2264.45,Benign_Prostatic_Hyperplasia,Pain : Arthritis,SAIL
0.15,Pain,Acid-related disease,0.122,0.169,1.001,0.012,2906.55,2152.99,Benign_Prostatic_Hyperplasia,Pain : Acid-related disease,SAIL
0.23,Pain,Asthma,0.207,0.255,1,0.012,2381.36,2082.35,Benign_Prostatic_Hyperplasia,Pain : Asthma,SAIL
0.33,Pain,Anxiety,0.309,0.358,1.001,0.013,2821.6,2291.14,Benign_Prostatic_Hyperplasia,Pain : Anxiety,SAIL
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Arthritis : Arthritis,SAIL
-0.3,Arthritis,Acid-related disease,-0.324,-0.277,1.001,0.012,2251.09,2316.52,Benign_Prostatic_Hyperplasia,Arthritis : Acid-related disease,SAIL
0.06,Asthma,Arthritis,0.036,0.087,1,0.013,2719.28,2600.54,Benign_Prostatic_Hyperplasia,Asthma : Arthritis,SAIL
0.12,Arthritis,Anxiety,0.093,0.148,1,0.014,2636.73,2551.99,Benign_Prostatic_Hyperplasia,Arthritis : Anxiety,SAIL
1,Acid-related disease,Acid-related disease,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Acid-related disease : Acid-related disease,SAIL
0.17,Asthma,Acid-related disease,0.141,0.192,1,0.013,2877.93,2431.64,Benign_Prostatic_Hyperplasia,Asthma : Acid-related disease,SAIL
0.18,Anxiety,Acid-related disease,0.15,0.206,1,0.014,2855.47,2951.94,Benign_Prostatic_Hyperplasia,Anxiety : Acid-related disease,SAIL
1,Asthma,Asthma,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Asthma : Asthma,SAIL
0.17,Asthma,Anxiety,0.146,0.201,1,0.014,2725.41,2563.53,Benign_Prostatic_Hyperplasia,Asthma : Anxiety,SAIL
1,Anxiety,Anxiety,1,1,NA,0,NA,NA,Benign_Prostatic_Hyperplasia,Anxiety : Anxiety,SAIL
1,Cardiovascular,Cardiovascular,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,SAIL
0.19,Pain,Cardiovascular,0.161,0.212,1.002,0.013,1979.45,2423.24,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,SAIL
0.24,Cardiovascular,Arthritis,0.216,0.27,1.002,0.014,1820.93,2356.5,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,SAIL
0,Cardiovascular,Acid-related disease,-0.023,0.032,1,0.014,1942.91,2631.1,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,SAIL
0.03,Cardiovascular,Anxiety,-0.003,0.053,1.001,0.014,2033.11,2179.06,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,SAIL
0.05,Cardiovascular,Asthma,0.022,0.081,1,0.015,2121.72,2508.24,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,SAIL
1,Pain,Pain,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Pain : Pain,SAIL
0.47,Pain,Arthritis,0.445,0.485,1.002,0.01,2476.48,2250.11,Diabetes_Mellitus_Type_2,Pain : Arthritis,SAIL
0.16,Pain,Acid-related disease,0.132,0.178,0.999,0.012,2356.4,2239.91,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,SAIL
0.31,Pain,Anxiety,0.284,0.329,1.002,0.012,2562.51,2201.86,Diabetes_Mellitus_Type_2,Pain : Anxiety,SAIL
0.24,Pain,Asthma,0.218,0.267,1.001,0.012,2620.55,2236.55,Diabetes_Mellitus_Type_2,Pain : Asthma,SAIL
1,Arthritis,Arthritis,1,1,NA,0,NA,NA,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,SAIL
