condition,mean,sd,CI2.5,CI97.5,repo,comorbidity,Var1,Var2
Dementia_any,0.2,0.013,0.17,0.221,Community,Cardiovascular : Pain,Cardiovascular,Pain
Dementia_any,0.03,0.013,0.005,0.057,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Dementia_any,0.06,0.014,0.032,0.088,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Dementia_any,0.38,0.014,0.349,0.404,Community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Dementia_any,0.1,0.017,0.071,0.136,Community,Cardiovascular : Osteoporosis,Cardiovascular,Osteoporosis
Dementia_any,0.26,0.013,0.238,0.288,Community,Anxiety : Pain,Anxiety,Pain
Dementia_any,0.22,0.014,0.188,0.243,Community,Acid-related disease : Pain,Acid-related disease,Pain
Dementia_any,0.46,0.014,0.429,0.482,Community,Arthritis : Pain,Arthritis,Pain
Dementia_any,0.24,0.016,0.21,0.274,Community,Osteoporosis : Pain,Osteoporosis,Pain
Dementia_any,0.17,0.014,0.147,0.201,Community,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Dementia_any,0.05,0.016,0.02,0.08,Community,Anxiety : Arthritis,Anxiety,Arthritis
Dementia_any,0.07,0.017,0.034,0.101,Community,Anxiety : Osteoporosis,Anxiety,Osteoporosis
Dementia_any,-0.11,0.016,-0.138,-0.075,Community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Dementia_any,0.14,0.017,0.108,0.175,Community,Acid-related disease : Osteoporosis,Acid-related disease,Osteoporosis
Dementia_any,0.17,0.019,0.138,0.211,Community,Arthritis : Osteoporosis,Arthritis,Osteoporosis
Asthma,0.35,0.011,0.332,0.375,Community,Cardiovascular : Pain,Cardiovascular,Pain
Asthma,0.51,0.01,0.492,0.531,Community,Arthritis : Pain,Arthritis,Pain
Asthma,0.33,0.012,0.31,0.359,Community,Anxiety : Pain,Anxiety,Pain
Asthma,0.15,0.014,0.119,0.172,Community,Acid-related disease : Pain,Acid-related disease,Pain
Asthma,0.24,0.018,0.203,0.273,Community,Inflammatory disorders : Pain,Inflammatory disorders,Pain
Asthma,0.61,0.009,0.591,0.626,Community,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Asthma,0.18,0.013,0.152,0.203,Community,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Asthma,-0.04,0.015,-0.069,-0.012,Community,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Asthma,0.12,0.018,0.082,0.151,Community,Cardiovascular : Inflammatory disorders,Cardiovascular,Inflammatory disorders
Asthma,0.22,0.013,0.192,0.24,Community,Anxiety : Arthritis,Anxiety,Arthritis
Asthma,-0.29,0.014,-0.316,-0.264,Community,Acid-related disease : Arthritis,Acid-related disease,Arthritis
