mean,CI2.5,CI97.5,sd,n_eff,rhat,trial,condition,repo,comorbidity,Var1,Var2
0.06,-0.031,0.149,0.046,2497.29,1,BI107_210,Osteoarthritis,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.11,0.026,0.203,0.046,2297.44,1,BI107_210,Osteoarthritis,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
-0,-0.122,0.119,0.061,2241.52,1.001,BI107_210,Osteoarthritis,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.06,-0.033,0.158,0.049,2154.15,1.001,BI107_210,Osteoarthritis,Vivli,Cardiovascular : Thyroid disorders,Cardiovascular,Thyroid disorders
0.29,0.177,0.402,0.059,2391.45,1.001,BI107_210,Osteoarthritis,Vivli,Cardiovascular : Diabetes,Cardiovascular,Diabetes
0.1,0.003,0.193,0.049,1727.55,1.001,BI107_210,Osteoarthritis,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.12,-0.008,0.235,0.063,1765.44,1.001,BI107_210,Osteoarthritis,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.48,0.399,0.554,0.04,2261.6,1,BI107_210,Osteoarthritis,Vivli,Acid-related disease : Thyroid disorders,Acid-related disease,Thyroid disorders
-0.09,-0.216,0.035,0.065,2107.98,1.001,BI107_210,Osteoarthritis,Vivli,Acid-related disease : Diabetes,Acid-related disease,Diabetes
0.13,0.009,0.254,0.062,2110.96,1.002,BI107_210,Osteoarthritis,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.17,0.065,0.266,0.051,2173.93,1,BI107_210,Osteoarthritis,Vivli,Anxiety : Thyroid disorders,Anxiety,Thyroid disorders
-0.11,-0.241,0.027,0.068,1910.79,1,BI107_210,Osteoarthritis,Vivli,Anxiety : Diabetes,Anxiety,Diabetes
-0.03,-0.164,0.095,0.067,1289.37,1.002,BI107_210,Osteoarthritis,Vivli,Asthma : Thyroid disorders,Asthma,Thyroid disorders
-0.05,-0.231,0.128,0.091,1003.25,0.999,BI107_210,Osteoarthritis,Vivli,Asthma : Diabetes,Asthma,Diabetes
-0.05,-0.189,0.08,0.069,2141.44,1,BI107_210,Osteoarthritis,Vivli,Diabetes : Thyroid disorders,Diabetes,Thyroid disorders
0.35,0.136,0.535,0.101,2191.69,1.001,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.47,0.252,0.657,0.104,2533.98,1,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.25,0.009,0.48,0.123,1837.14,1,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
-0.25,-0.683,0.201,0.232,1317.01,1,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
-0.02,-0.376,0.333,0.187,1747,1,BI1245_36,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
