trial,Omega,tail_ess,bulk_ess
BI107_210,Omega.1.1,NA,NA
BI1245_36,Omega.1.1,NA,NA
BI1276_1,Omega.1.1,NA,NA
BI244_2484,Omega.1.1,NA,NA
BI248_524,Omega.1.1,NA,NA
BI248_525,Omega.1.1,NA,NA
BI248_622,Omega.1.1,NA,NA
BI248_629,Omega.1.1,NA,NA
BI502_254,Omega.1.1,NA,NA
BI502_256,Omega.1.1,NA,NA
BI502_316,Omega.1.1,NA,NA
BI502_317,Omega.1.1,NA,NA
BI502_327,Omega.1.1,NA,NA
BI502_376,Omega.1.1,NA,NA
BI502_391,Omega.1.1,NA,NA
BI502_392,Omega.1.1,NA,NA
BI502_396,Omega.1.1,NA,NA
BI502_397,Omega.1.1,NA,NA
BI502_413,Omega.1.1,NA,NA
BI502_550,Omega.1.1,NA,NA
LILLY_B3D_MC_GHAC,Omega.1.1,NA,NA
LILLY_B3D_US_GHBZ,Omega.1.1,NA,NA
LILLY_H6D_MC_LVGY,Omega.1.1,NA,NA
LILLY_H6D_MC_LVHB,Omega.1.1,NA,NA
LILLY_H6D_MC_LVHG,Omega.1.1,NA,NA
LILLY_H6D_MC_LVHJ,Omega.1.1,NA,NA
LILLY_H6D_MC_LVHR,Omega.1.1,NA,NA
LILLY_H6D_MC_LVHS,Omega.1.1,NA,NA
LILLY_H6D_MC_LVID,Omega.1.1,NA,NA
LILLY_H9X_MC_GBCF,Omega.1.1,NA,NA
LILLY_H9X_MC_GBDA,Omega.1.1,NA,NA
LILLY_H9X_MC_GBDB,Omega.1.1,NA,NA
LILLY_H9X_MC_GBDC,Omega.1.1,NA,NA
LILLY_H9X_MC_GBDD,Omega.1.1,NA,NA
LILLY_H9X_MC_GBDE,Omega.1.1,NA,NA
LILLY_H9X_MC_GBDG,Omega.1.1,NA,NA
RCHNA25220,Omega.1.1,NA,NA
RCHWA19924,Omega.1.1,NA,NA
TKASYR322_305,Omega.1.1,NA,NA
TKASYR322_402,Omega.1.1,NA,NA
GSK101468_169,Omega.1.1,NA,NA
GSK101468_204,Omega.1.1,NA,NA
GSK101468_205,Omega.1.1,NA,NA
GSK101468_249,Omega.1.1,NA,NA
GSK200109,Omega.1.1,NA,NA
GSK200110,Omega.1.1,NA,NA
GSK201315,Omega.1.1,NA,NA
GSKAC4116135,Omega.1.1,NA,NA
GSKAVA102670_v02,Omega.1.1,NA,NA
GSKAVA102672_v02,Omega.1.1,NA,NA
GSKAVA105640_v02,Omega.1.1,NA,NA
GSKB2C112060,Omega.1.1,NA,NA
GSKCOR103561,Omega.1.1,NA,NA
GSKDB2113360_v02,Omega.1.1,NA,NA
GSKFFA112059,Omega.1.1,NA,NA
GSKFFA115285,Omega.1.1,NA,NA
GSKHGS1006_C1056_v05,Omega.1.1,NA,NA
GSKHGS1006_C1057_v03,Omega.1.1,NA,NA
GSKMEA115588,Omega.1.1,NA,NA
GSKROR104836,Omega.1.1,NA,NA
