trial,nct_id,condition,antacids,anxiety,arthritis,prostate,CV,dementia,diabetes,erectile,epilepsy,glaucoma,gout,inflammatory,migraine,osteoporosis,pain,parkinsons,asthma_COPD,schizophrenia,thromboembolic,thyroid,urological,skin,repo,n
BI1245_36,NCT01164501,Diabetes_Mellitus_Type_2,2.6,0.8,2.3,0.8,12.8,0,0,0,0,0.8,0.7,0.8,0.3,0.1,4.2,0,1.1,0.1,0.3,0.1,0.1,4,Vivli,741
BI248_524,NCT00479401,Parkinson_Disease,10.4,17.4,9.5,3,45.6,0.7,8.3,0.4,0.9,2.8,1.9,2.4,0.2,1.5,3.7,0,4.8,0.4,0.9,5.9,2.4,4.1,Vivli,539
BI248_525,NCT00466167,Parkinson_Disease,8.5,22.8,6.2,3.1,27.6,0.6,6,0.2,0.8,3.7,0.8,1.2,0.4,0.6,3.3,0,0.8,0.8,0.4,2.3,1,1.9,Vivli,518
BI248_622,NCT00402233,Parkinson_Disease,19.3,22.8,26,11.3,61.1,1,14.5,2.9,3.9,4.8,2.6,2.9,2.3,7.4,14.5,0,7.1,0.6,2.6,10.9,3.9,14.1,Vivli,311
BI107_210,NCT02183064,Osteoarthritis,32.4,28.8,0,3,51.1,1.9,8,0.2,2,4,2.2,9.2,2.1,6.1,0,1.3,7.8,0.6,1.1,24.5,2,35.1,Vivli,1320
BI1276_1,NCT01719003,Diabetes_Mellitus_Type_2,1.8,0.9,4,0.6,16.4,0,0,0.4,0.3,0.4,0.6,1.3,0.1,0.2,3.7,0,1.6,0,0,0.7,0.1,3.9,Vivli,1418
BI244_2484,NCT02177344,Pulmonary_Disease_Chronic_Obstructive,20.1,23.1,11.3,1.7,29.7,0.6,4.3,0.2,1.5,1.9,1.9,19.5,0.5,3.1,24.1,0.3,0,1.2,1.2,13.6,0.5,12.2,Vivli,645
BI248_629,NCT00472199,Restless_legs_syndrome,10,9.7,21.5,3.9,39.9,0.6,4.5,0.6,1.2,2.1,2.1,7.9,1.2,5.1,19,0,10.3,0.3,1.8,8.5,0.9,8.5,Vivli,331
BI502_254,NCT02175355,Hypertension,6.1,7.6,13.6,1.2,0,0.2,5.3,0,0.2,1.6,1.8,3.8,0.4,1.3,8.1,0.4,4.2,0.4,0.8,2.7,0.1,4.1,Vivli,1039
BI502_256,NCT02177396,Hypertension,5.9,9.4,18.1,2.6,0,1.4,7.5,0.5,0.5,0.9,1.2,2.1,0.2,0.5,13.6,0.2,2.1,0,0,5.2,0.2,12.2,Vivli,426
BI502_316,NCT02172586,Hypertension,1.4,6.6,2.5,1.4,0,0,1.4,0,0,0.6,1.1,0.6,0,0,0,0,0.3,0,0,1.1,0,0.6,Vivli,362
BI502_317,NCT02177461,Hypertension,1.9,6.1,2.9,0.8,0,0,1.3,0,0.3,0.5,1.6,0.8,0.3,0.5,2.4,0.5,1.3,1.3,0,1.1,0,1.3,Vivli,373
BI502_327,NCT00034840,Hypertension,8,6.3,19,0.8,0,0.4,5.5,1.6,0.4,1.8,4.5,3.7,0.8,0.6,18,0,3.5,0.2,0.8,7.1,0,8.8,Vivli,490
BI502_376,NCT02242318,Hypertension,4.3,9.6,10.8,0.4,0,0.2,5.4,0,0.4,0.9,4.3,5.6,1.3,0.4,10.1,0.2,5.6,0.2,0,2.5,0,4,Vivli,446
BI502_391,NCT00274612,Hypertension,7.9,10.1,17,2,0,0.6,3.5,0.2,0.1,0.9,3.9,6.1,1,0.4,15,0.1,4.2,0.4,0.4,3.5,0.1,6.5,Vivli,801
