condition,Omega,diff_mean,diff_sd,CI2.5,CI97.5,abs_diff_mean,abs_diff_sd,abs_CI2.5,abs_CI97.5,cor_flip,comorbidity,Var1,Var2
Asthma,Omega12,0.16,0.06,0.05,0.28,0.16,0.06,0.05,0.28,Same,Cardiovascular : Pain,Cardiovascular,Pain
Asthma,Omega13,-0.19,0.04,-0.26,-0.11,0.19,0.04,0.11,0.26,Same,Arthritis : Pain,Arthritis,Pain
Asthma,Omega14,0.04,0.07,-0.09,0.18,0.06,0.05,0,0.18,Same,Anxiety : Pain,Anxiety,Pain
Asthma,Omega15,0.19,0.08,0.04,0.34,0.19,0.08,0.04,0.34,Flipped,Acid-related disease : Pain,Acid-related disease,Pain
Asthma,Omega16,0.02,0.08,-0.14,0.17,0.06,0.05,0,0.18,Same,Inflammatory disorders : Pain,Inflammatory disorders,Pain
Asthma,Omega23,0.47,0.06,0.35,0.59,0.47,0.06,0.35,0.59,Same,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Asthma,Omega24,0.07,0.08,-0.08,0.22,0.08,0.06,0,0.22,Same,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Asthma,Omega25,-0.11,0.07,-0.25,0.03,0.12,0.07,0.01,0.25,Flipped,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Asthma,Omega26,0.19,0.11,-0.03,0.4,0.19,0.1,0.01,0.4,Flipped,Cardiovascular : Inflammatory disorders,Cardiovascular,Inflammatory disorders
Asthma,Omega34,0.03,0.07,-0.11,0.18,0.06,0.05,0,0.18,Same,Anxiety : Arthritis,Anxiety,Arthritis
Asthma,Omega35,0.13,0.08,-0.03,0.29,0.14,0.08,0.01,0.29,Same,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Asthma,Omega36,-0.06,0.08,-0.22,0.11,0.08,0.06,0,0.22,Same,Arthritis : Inflammatory disorders,Arthritis,Inflammatory disorders
Asthma,Omega45,0.02,0.08,-0.14,0.18,0.07,0.05,0,0.19,Same,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Asthma,Omega46,0.23,0.12,-0.01,0.46,0.23,0.12,0.02,0.46,Flipped,Anxiety : Inflammatory disorders,Anxiety,Inflammatory disorders
Asthma,Omega56,0.17,0.12,-0.09,0.39,0.18,0.1,0.01,0.39,Flipped,Acid-related disease : Inflammatory disorders,Acid-related disease,Inflammatory disorders
Axial_Spondyloarthritis,Omega12,0.22,0.11,0.01,0.45,0.22,0.11,0.02,0.45,Same,Cardiovascular : Pain,Cardiovascular,Pain
Axial_Spondyloarthritis,Omega13,0.13,0.11,-0.08,0.35,0.14,0.09,0.01,0.35,Same,Anxiety : Pain,Anxiety,Pain
Axial_Spondyloarthritis,Omega14,-0.09,0.14,-0.35,0.19,0.13,0.09,0,0.35,Same,Asthma : Pain,Asthma,Pain
Axial_Spondyloarthritis,Omega15,-0.21,0.15,-0.49,0.09,0.22,0.13,0.01,0.49,Same,Acid-related disease : Pain,Acid-related disease,Pain
Axial_Spondyloarthritis,Omega16,0.03,0.17,-0.29,0.36,0.14,0.1,0.01,0.38,Same,Diabetes : Pain,Diabetes,Pain
Axial_Spondyloarthritis,Omega23,0.11,0.14,-0.16,0.39,0.15,0.11,0.01,0.39,Same,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Axial_Spondyloarthritis,Omega24,0.47,0.18,0.11,0.8,0.47,0.18,0.11,0.8,Flipped,Asthma : Cardiovascular,Asthma,Cardiovascular
Axial_Spondyloarthritis,Omega25,-0.07,0.17,-0.39,0.26,0.15,0.11,0.01,0.4,Same,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Axial_Spondyloarthritis,Omega26,-0.07,0.16,-0.36,0.27,0.15,0.1,0.01,0.37,Same,Cardiovascular : Diabetes,Cardiovascular,Diabetes
Axial_Spondyloarthritis,Omega34,0.13,0.16,-0.18,0.45,0.17,0.12,0.01,0.45,Same,Anxiety : Asthma,Anxiety,Asthma
Axial_Spondyloarthritis,Omega35,0.3,0.2,-0.11,0.68,0.31,0.18,0.02,0.68,Flipped,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Axial_Spondyloarthritis,Omega36,-0.1,0.18,-0.45,0.24,0.17,0.12,0.01,0.45,Same,Anxiety : Diabetes,Anxiety,Diabetes
Axial_Spondyloarthritis,Omega45,0.38,0.26,-0.11,0.88,0.4,0.23,0.02,0.88,Flipped,Acid-related disease : Asthma,Acid-related disease,Asthma
Axial_Spondyloarthritis,Omega46,0.25,0.24,-0.21,0.7,0.29,0.19,0.01,0.7,Flipped,Asthma : Diabetes,Asthma,Diabetes
Axial_Spondyloarthritis,Omega56,-0.15,0.21,-0.52,0.28,0.21,0.14,0.01,0.52,Same,Acid-related disease : Diabetes,Acid-related disease,Diabetes
Benign_Prostatic_Hyperplasia,Omega12,0.16,0.05,0.06,0.26,0.16,0.05,0.06,0.26,Same,Cardiovascular : Pain,Cardiovascular,Pain
Benign_Prostatic_Hyperplasia,Omega13,0.06,0.04,-0.01,0.14,0.07,0.04,0,0.14,Same,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Benign_Prostatic_Hyperplasia,Omega14,-0.03,0.06,-0.14,0.08,0.05,0.04,0,0.14,Same,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Benign_Prostatic_Hyperplasia,Omega15,0.03,0.06,-0.08,0.14,0.05,0.04,0,0.14,Same,Asthma : Cardiovascular,Asthma,Cardiovascular
Benign_Prostatic_Hyperplasia,Omega16,-0.02,0.06,-0.14,0.09,0.05,0.04,0,0.14,Same,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Benign_Prostatic_Hyperplasia,Omega23,0.13,0.05,0.03,0.23,0.13,0.05,0.03,0.23,Same,Arthritis : Pain,Arthritis,Pain
Benign_Prostatic_Hyperplasia,Omega24,0.05,0.07,-0.09,0.19,0.07,0.05,0,0.19,Same,Acid-related disease : Pain,Acid-related disease,Pain
Benign_Prostatic_Hyperplasia,Omega25,-0.02,0.07,-0.15,0.11,0.06,0.04,0,0.15,Same,Asthma : Pain,Asthma,Pain
Benign_Prostatic_Hyperplasia,Omega26,0.19,0.08,0.03,0.35,0.19,0.08,0.03,0.35,Same,Anxiety : Pain,Anxiety,Pain
Benign_Prostatic_Hyperplasia,Omega34,0.09,0.07,-0.06,0.23,0.09,0.06,0,0.23,Same,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Benign_Prostatic_Hyperplasia,Omega35,-0.07,0.06,-0.19,0.06,0.08,0.05,0,0.19,Same,Arthritis : Asthma,Arthritis,Asthma
Benign_Prostatic_Hyperplasia,Omega36,-0.12,0.06,-0.23,0,0.12,0.06,0.01,0.23,Same,Anxiety : Arthritis,Anxiety,Arthritis
Benign_Prostatic_Hyperplasia,Omega45,0.06,0.07,-0.08,0.19,0.07,0.05,0,0.19,Same,Acid-related disease : Asthma,Acid-related disease,Asthma
Benign_Prostatic_Hyperplasia,Omega46,-0.08,0.07,-0.22,0.06,0.09,0.06,0,0.22,Same,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Benign_Prostatic_Hyperplasia,Omega56,0.08,0.09,-0.09,0.25,0.09,0.07,0,0.25,Same,Anxiety : Asthma,Anxiety,Asthma
Dementia_any,Omega12,0.16,0.14,-0.11,0.42,0.17,0.12,0.01,0.42,Same,Cardiovascular : Pain,Cardiovascular,Pain
Dementia_any,Omega13,-0.05,0.14,-0.31,0.22,0.11,0.09,0,0.31,Same,Anxiety : Pain,Anxiety,Pain
Dementia_any,Omega14,0.01,0.14,-0.26,0.28,0.11,0.08,0,0.31,Same,Acid-related disease : Pain,Acid-related disease,Pain
Dementia_any,Omega15,0.18,0.14,-0.08,0.45,0.2,0.12,0.01,0.45,Same,Arthritis : Pain,Arthritis,Pain
Dementia_any,Omega16,0.12,0.14,-0.15,0.4,0.15,0.11,0.01,0.4,Flipped,Osteoporosis : Pain,Osteoporosis,Pain
Dementia_any,Omega23,0.22,0.14,-0.04,0.48,0.23,0.13,0.02,0.48,Same,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Dementia_any,Omega24,0.17,0.14,-0.09,0.44,0.19,0.12,0.01,0.44,Same,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Dementia_any,Omega25,0.45,0.14,0.19,0.71,0.45,0.14,0.19,0.71,Same,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Dementia_any,Omega26,0.24,0.14,-0.02,0.5,0.24,0.13,0.02,0.5,Same,Cardiovascular : Osteoporosis,Cardiovascular,Osteoporosis
