condition,Omega,mean,sd,CI2.5,CI97.5,repo,comorbidity,Var1,Var2
Asthma,Omega.1.2,0.19,0.06,0.07,0.29,Trial meta weighted,Cardiovascular : Pain,Cardiovascular,Pain
Asthma,Omega.1.3,0.68,0.04,0.61,0.75,Trial meta weighted,Arthritis : Pain,Arthritis,Pain
Asthma,Omega.1.4,0.28,0.07,0.15,0.41,Trial meta weighted,Anxiety : Pain,Anxiety,Pain
Asthma,Omega.1.5,-0.06,0.08,-0.21,0.08,Trial meta weighted,Acid-related disease : Pain,Acid-related disease,Pain
Asthma,Omega.1.6,0.19,0.08,0.04,0.34,Trial meta weighted,Inflammatory disorders : Pain,Inflammatory disorders,Pain
Asthma,Omega.2.3,0.12,0.06,0,0.23,Trial meta weighted,Arthritis : Cardiovascular,Arthritis,Cardiovascular
Asthma,Omega.2.4,0.09,0.08,-0.06,0.24,Trial meta weighted,Anxiety : Cardiovascular,Anxiety,Cardiovascular
Asthma,Omega.2.5,0.09,0.07,-0.05,0.22,Trial meta weighted,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
Asthma,Omega.2.6,-0.07,0.11,-0.28,0.14,Trial meta weighted,Cardiovascular : Inflammatory disorders,Cardiovascular,Inflammatory disorders
Asthma,Omega.3.4,0.19,0.07,0.05,0.33,Trial meta weighted,Anxiety : Arthritis,Anxiety,Arthritis
Asthma,Omega.3.5,-0.43,0.08,-0.59,-0.27,Trial meta weighted,Acid-related disease : Arthritis,Acid-related disease,Arthritis
Asthma,Omega.3.6,0.23,0.08,0.07,0.38,Trial meta weighted,Arthritis : Inflammatory disorders,Arthritis,Inflammatory disorders
Asthma,Omega.4.5,0.18,0.08,0.01,0.33,Trial meta weighted,Acid-related disease : Anxiety,Acid-related disease,Anxiety
Asthma,Omega.4.6,-0.04,0.12,-0.26,0.2,Trial meta weighted,Anxiety : Inflammatory disorders,Anxiety,Inflammatory disorders
Asthma,Omega.5.6,-0.03,0.12,-0.25,0.22,Trial meta weighted,Acid-related disease : Inflammatory disorders,Acid-related disease,Inflammatory disorders
Axial_Spondyloarthritis,Omega.1.2,0.15,0.11,-0.07,0.36,Trial meta weighted,Cardiovascular : Pain,Cardiovascular,Pain
