condition,condition_n,comorbidity_n,como_prop,prop_se,se_min,se_max,comorbidity,repo
Asthma,169912,66747,39.28327604877819,0.0011848025732869283,39.28095383573455,39.28559826182183,Pain,Age restricted community
Asthma,169912,58576,34.47431611657799,0.0011530325963506505,34.47205617268914,34.47657606046683,Cardiovascular,Age restricted community
Asthma,169912,44107,25.958731578699563,0.0010635713573348517,25.95664697883919,25.960816178559938,Arthritis,Age restricted community
Asthma,169912,38116,22.432788737699518,0.001011972465592139,22.43080527166696,22.434772203732077,Anxiety,Age restricted community
Asthma,169912,31126,18.318894486557745,9.384224916460562e-4,18.31705517847412,18.32073379464137,Acid-related disease,Age restricted community
Asthma,169912,11423,6.722891849898771,6.075101986890095e-4,6.7217011299093405,6.724082569888201,Inflammatory disorders,Age restricted community
Benign_Prostatic_Hyperplasia,18902,12111,64.07258491164957,0.0034897573374036497,64.06574498726826,64.07942483603088,Cardiovascular,Age restricted community
Benign_Prostatic_Hyperplasia,18902,8108,42.89493175325362,0.003599866858488213,42.88787601421099,42.90198749229626,Pain,Age restricted community
Benign_Prostatic_Hyperplasia,18902,5575,29.494233414453497,0.0033168588966230256,29.487732371016115,29.50073445789088,Arthritis,Age restricted community
Benign_Prostatic_Hyperplasia,18902,4723,24.98677388636123,0.0031489816928617605,24.98060188224322,24.99294589047924,Acid-related disease,Age restricted community
Benign_Prostatic_Hyperplasia,18902,3562,18.844566712517192,0.0028444480025217335,18.83899159443225,18.850141830602134,Asthma,Age restricted community
Benign_Prostatic_Hyperplasia,18902,2799,14.807956829965082,0.002583409233347943,14.80289334786772,14.813020312062445,Anxiety,Age restricted community
Dementia_any,11357,6461,56.89002377388395,0.004647026364443541,56.88091560220964,56.89913194555825,Cardiovascular,Age restricted community
Dementia_any,11357,6135,54.01954741569076,0.004676600573676475,54.010381278566356,54.02871355281516,Pain,Age restricted community
Dementia_any,11357,5847,51.48366646121335,0.004689719932573726,51.474474610145506,51.4928583122812,Anxiety,Age restricted community
Dementia_any,11357,3248,28.599101875495293,0.004240296464862854,28.590790894424163,28.607412856566423,Acid-related disease,Age restricted community
Dementia_any,11357,2101,18.499603768600863,0.0036435879783821264,18.492462336163236,18.50674520103849,Arthritis,Age restricted community
Dementia_any,11357,1644,14.475653781808576,0.0033016585864135933,14.469182530979205,14.482125032637947,Osteoporosis,Age restricted community
Diabetes_Mellitus_Type_2,79789,64427,80.746719472609,0.0013958646271997252,80.74398357793969,80.74945536727832,Cardiovascular,Age restricted community
Diabetes_Mellitus_Type_2,79789,40097,50.253794382684326,0.0017700800141103163,50.25032502585667,50.257263739511984,Pain,Age restricted community
Diabetes_Mellitus_Type_2,79789,23245,29.13308852097407,0.001608583116430457,29.129935698065868,29.136241343882272,Arthritis,Age restricted community
Diabetes_Mellitus_Type_2,79789,19860,24.890649086966874,0.0015307124144381765,24.887648890634576,24.893649283299172,Acid-related disease,Age restricted community
Diabetes_Mellitus_Type_2,79789,18465,23.14228778403038,0.0014930534672225762,23.139361399234623,23.145214168826136,Anxiety,Age restricted community
Diabetes_Mellitus_Type_2,79789,15732,19.717003596987055,0.0014085125905274143,19.714242912309622,19.71976428166449,Asthma,Age restricted community
Hypertension,292736,132227,45.169367621338,9.198045751833061e-4,45.167564804370635,45.17117043830536,Pain,Age restricted community
Hypertension,292736,89046,30.418534105815482,8.503111235485211e-4,30.416867496013328,30.420200715617636,Arthritis,Age restricted community
Hypertension,292736,65953,22.529856252732838,7.72161820548418e-4,22.528342815564564,22.531369689901112,Acid-related disease,Age restricted community
Hypertension,292736,56511,19.304424464363795,7.294830810036738e-4,19.302994677525028,19.30585425120256,Anxiety,Age restricted community
Hypertension,292736,52534,17.945862483602973,7.092418322261801e-4,17.94447236961181,17.947252597594137,Asthma,Age restricted community
Hypertension,292736,48786,16.665527984258855,6.887852138799674e-4,16.66417796523965,16.66687800327806,Diabetes,Age restricted community
Osteoarthritis,118577,70691,59.61611442353914,0.001424904163614039,59.61332161137845,59.61890723569982,Cardiovascular,Age restricted community
Osteoarthritis,118577,27246,22.97747455240055,0.0012216865562849164,22.975080046750232,22.97986905805087,Acid-related disease,Age restricted community
Osteoarthritis,118577,26195,22.091130657716082,0.0012047645880999638,22.088769319123408,22.093491996308757,Anxiety,Age restricted community
Osteoarthritis,118577,23997,20.23748281707245,0.0011667490148476855,20.235195989003348,20.239769645141553,Asthma,Age restricted community
Osteoarthritis,118577,12530,10.566973359083127,8.927380413470035e-4,10.565223592522086,10.568723125644167,Thyroid disorders,Age restricted community
Osteoarthritis,118577,12480,10.524806665710889,8.911650726849491e-4,10.523059982168427,10.526553349253351,Diabetes,Age restricted community
Osteoporosis,34295,20064,58.50415512465374,0.0026606041129515253,58.498940340592355,58.50936990871513,Pain,Age restricted community
Osteoporosis,34295,19271,56.19186470330953,0.0026791603197534246,56.18661354908281,56.19711585753625,Cardiovascular,Age restricted community
Osteoporosis,34295,11153,32.5207756232687,0.002529589704104613,32.515817627448655,32.52573361908874,Arthritis,Age restricted community
Osteoporosis,34295,10458,30.494241143023764,0.0024860159242107325,30.489368551812312,30.499113734235216,Acid-related disease,Age restricted community
Osteoporosis,34295,8389,24.461291733488846,0.00232118132071939,24.456742218100235,24.465841248877457,Asthma,Age restricted community
Osteoporosis,34295,8256,24.073480099139815,0.002308611114337462,24.06895522135571,24.078004976923918,Anxiety,Age restricted community
Psoriasis,46578,15772,33.861479668513034,0.0021927533587981266,33.85718187192979,33.86577746509628,Cardiovascular,Age restricted community
Psoriasis,46578,14663,31.48052728756065,0.0021519768092381594,31.476309413014544,31.48474516210676,Pain,Age restricted community
Psoriasis,46578,12864,27.61818884451887,0.0020716763208971146,27.61412835892991,27.622249330107827,Arthritis,Age restricted community
Psoriasis,46578,8954,19.22366782601228,0.001825869663989617,19.220089121470863,19.2272465305537,Anxiety,Age restricted community
Psoriasis,46578,6848,14.702219932156812,0.001640853861900692,14.699003858587487,14.705436005726137,Asthma,Age restricted community
Psoriasis,46578,6246,13.409764266391857,0.0015788999623651712,13.406669622465621,13.412858910318093,Acid-related disease,Age restricted community
Pulmonary_Disease_Chronic_Obstructive,54323,33259,61.22452736409992,0.002090496273381405,61.220429991404096,61.228624736795744,Cardiovascular,Age restricted community
Pulmonary_Disease_Chronic_Obstructive,54323,31707,58.36754229331959,0.0021149974842781397,58.3633968982504,58.371687688388775,Pain,Age restricted community
Pulmonary_Disease_Chronic_Obstructive,54323,16435,30.254220127754355,0.0019708795154788194,30.250357203904017,30.258083051604693,Acid-related disease,Age restricted community
Pulmonary_Disease_Chronic_Obstructive,54323,15886,29.243598475783738,0.0019516700701568404,29.23977320244623,29.247423749121246,Arthritis,Age restricted community
Pulmonary_Disease_Chronic_Obstructive,54323,14609,26.892844651436775,0.0019024201680026298,26.889115907907488,26.89657339496606,Anxiety,Age restricted community
Pulmonary_Disease_Chronic_Obstructive,54323,6901,12.703643024133424,0.001428796336117364,12.700842583314634,12.706443464952214,Diabetes,Age restricted community
Restless_legs_syndrome,9961,6010,60.335307700030114,0.004901582769952445,60.32570059780101,60.34491480225922,Pain,Age restricted community
Restless_legs_syndrome,9961,5450,54.713382190543115,0.004987469519392122,54.703606750285104,54.723157630801126,Cardiovascular,Age restricted community
Restless_legs_syndrome,9961,4161,41.77291436602751,0.00494149595878866,41.76322903394828,41.782599698106736,Arthritis,Age restricted community
Restless_legs_syndrome,9961,3620,36.341732757755246,0.004819242184285236,36.33228704307405,36.351178472436445,Anxiety,Age restricted community
Restless_legs_syndrome,9961,2595,26.051601244854933,0.00439774585762934,26.04298166297398,26.060220826735886,Acid-related disease,Age restricted community
Restless_legs_syndrome,9961,2317,23.26071679550246,0.004233201544793282,23.252419720474666,23.269013870530255,Asthma,Age restricted community
Rheumatoid_arthritis,12729,8396,65.95961976588892,0.004199901738904444,65.95138795848067,65.96785157329717,Pain,Age restricted community
Rheumatoid_arthritis,12729,6456,50.71883101579071,0.004431267573935643,50.7101457313458,50.72751630023563,Cardiovascular,Age restricted community
