condition_sought,level_name,term,drug_defined_label
cardiovascular,llt_name,Accident cerebrovascular,Cardiovascular diseases
cardiovascular,llt_name,Acute antero septal myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Acute bi-ventricular heart failure,Cardiovascular diseases
cardiovascular,pt_name,Acute cardiac event,Cardiovascular diseases
cardiovascular,llt_name,Acute cardiac insufficiency,Cardiovascular diseases
cardiovascular,llt_name,Acute cor pulmonale,Cardiovascular diseases
cardiovascular,pt_name,Acute coronary syndrome,Cardiovascular diseases
cardiovascular,llt_name,Acute decompensated heart failure,Cardiovascular diseases
cardiovascular,llt_name,Acute diastolic heart failure,Cardiovascular diseases
cardiovascular,llt_name,"Acute edema of lung, unspecified",Cardiovascular diseases
cardiovascular,llt_name,Acute heart failure,Cardiovascular diseases
cardiovascular,llt_name,Acute heart ischaemia,Cardiovascular diseases
cardiovascular,llt_name,Acute heart ischemia,Cardiovascular diseases
cardiovascular,llt_name,Acute hepatic congestion,Cardiovascular diseases
cardiovascular,pt_name,Acute left ventricular failure,Cardiovascular diseases
cardiovascular,pt_name,Acute myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Acute myocardial infarction type 1,Cardiovascular diseases
cardiovascular,llt_name,Acute myocardial infarction type 2,Cardiovascular diseases
cardiovascular,llt_name,Acute myocardial infarction type 3,Cardiovascular diseases
cardiovascular,llt_name,Acute myocardial infarction type 4a,Cardiovascular diseases
cardiovascular,llt_name,Acute myocardial infarction type 4b,Cardiovascular diseases
cardiovascular,llt_name,Acute myocardial infarction type 5,Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of anterior wall",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of anterolateral wall",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of anterolateral wall, episode of care unspecified",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of anterolateral wall, initial episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of anterolateral wall, subsequent episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of inferolateral wall",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of inferolateral wall, episode of care unspecified",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of inferolateral wall, initial episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of inferolateral wall, subsequent episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of inferoposterior wall",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of inferoposterior wall, episode of care unspecified",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of inferoposterior wall, initial episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of inferoposterior wall, subsequent episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other anterior wall",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other anterior wall, episode of care unspecified",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other anterior wall, initial episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other anterior wall, subsequent episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other inferior wall",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other inferior wall, episode of care unspecified",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other inferior wall, initial episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other inferior wall, subsequent episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other lateral wall",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other lateral wall, episode of care unspecified",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other lateral wall, initial episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other lateral wall, subsequent episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other specified sites",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other specified sites, episode of care unspecified",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other specified sites, initial episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, of other specified sites, subsequent episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, subendocardial infarction",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, subendocardial infarction, episode of care unspecified",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, subendocardial infarction, initial episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, subendocardial infarction, subsequent episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, true posterior wall infarction",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, true posterior wall infarction, episode of care unspecified",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, true posterior wall infarction, initial episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, true posterior wall infarction, subsequent episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, unspecified site",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, unspecified site, episode of care unspecified",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, unspecified site, initial episode of care",Cardiovascular diseases
cardiovascular,llt_name,"Acute myocardial infarction, unspecified site, subsequent episode of care",Cardiovascular diseases
cardiovascular,llt_name,Acute myocardial ischaemia,Cardiovascular diseases
cardiovascular,llt_name,Acute myocardial ischemia,Cardiovascular diseases
cardiovascular,llt_name,Acute myocardial reinfarction,Cardiovascular diseases
cardiovascular,llt_name,Acute non-Q wave MI,Cardiovascular diseases
cardiovascular,llt_name,"Acute oedema of lung, unspecified",Cardiovascular diseases
cardiovascular,llt_name,Acute on chronic heart failure,Cardiovascular diseases
cardiovascular,llt_name,Acute pulmonary edema,Cardiovascular diseases
cardiovascular,llt_name,Acute pulmonary heart disease,Cardiovascular diseases
cardiovascular,pt_name,Acute pulmonary oedema,Cardiovascular diseases
cardiovascular,pt_name,Acute right ventricular failure,Cardiovascular diseases
cardiovascular,llt_name,Acute subdural haematoma,Cardiovascular diseases
cardiovascular,llt_name,Acute subdural hematoma,Cardiovascular diseases
cardiovascular,llt_name,Acute systolic heart failure,Cardiovascular diseases
cardiovascular,llt_name,Acute transmural myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,"Acute, but ill-defined, cerebrovascular disease",Cardiovascular diseases
cardiovascular,llt_name,Adamkiewicz artery embolism,Cardiovascular diseases
cardiovascular,llt_name,ADHF,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate anterior myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate anterolateral myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate anteroseptal myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate inferior myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate inferolateral myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate inferoposterior myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate lateral myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate posterior myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate posterolateral myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate right ventricular infarction,Cardiovascular diseases
cardiovascular,llt_name,Age indeterminate septal myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Alveolar edema,Cardiovascular diseases
cardiovascular,llt_name,Alveolar oedema,Cardiovascular diseases
cardiovascular,pt_name,Amaurosis fugax,Cardiovascular diseases
cardiovascular,llt_name,Amaurosis temporary,Cardiovascular diseases
cardiovascular,llt_name,Ampulla cardiomyopathy,Cardiovascular diseases
cardiovascular,llt_name,Aneurysm cerebral,Cardiovascular diseases
cardiovascular,llt_name,Aneurysm cerebral (unruptured),Cardiovascular diseases
cardiovascular,llt_name,Aneurysm dissecting coronary artery,Cardiovascular diseases
cardiovascular,llt_name,Aneurysm intracerebral clipping,Cardiovascular diseases
cardiovascular,llt_name,Aneurysm intracranial,Cardiovascular diseases
cardiovascular,llt_name,Angina,Cardiovascular diseases
cardiovascular,llt_name,Angina aggravated,Cardiovascular diseases
cardiovascular,llt_name,Angina at rest,Cardiovascular diseases
cardiovascular,llt_name,Angina at rest Prinzmetal's,Cardiovascular diseases
cardiovascular,llt_name,Angina attack,Cardiovascular diseases
cardiovascular,llt_name,Angina decubitus,Cardiovascular diseases
cardiovascular,llt_name,Angina of effort,Cardiovascular diseases
cardiovascular,llt_name,Angina on exercise,Cardiovascular diseases
cardiovascular,llt_name,Angina on recumbency,Cardiovascular diseases
cardiovascular,pt_name,Angina pectoris,Cardiovascular diseases
cardiovascular,llt_name,Angina pectoris aggravated,Cardiovascular diseases
cardiovascular,llt_name,Angina pectoris CCS class I,Cardiovascular diseases
cardiovascular,llt_name,Angina pectoris CCS class II,Cardiovascular diseases
cardiovascular,llt_name,Angina pectoris CCS class III,Cardiovascular diseases
cardiovascular,llt_name,Angina pectoris CCS class IV,Cardiovascular diseases
cardiovascular,llt_name,Angina pectoris recurrent,Cardiovascular diseases
cardiovascular,llt_name,Angina pectoris unstable,Cardiovascular diseases
cardiovascular,llt_name,Angina symptom,Cardiovascular diseases
cardiovascular,llt_name,Angina syndrome,Cardiovascular diseases
cardiovascular,pt_name,Angina unstable,Cardiovascular diseases
cardiovascular,llt_name,Angina worsened,Cardiovascular diseases
cardiovascular,llt_name,Anginal attack,Cardiovascular diseases
cardiovascular,llt_name,Anginal discomfort,Cardiovascular diseases
cardiovascular,pt_name,Anginal equivalent,Cardiovascular diseases
cardiovascular,llt_name,Anginal pain,Cardiovascular diseases
cardiovascular,llt_name,Anginal syndrome,Cardiovascular diseases
cardiovascular,llt_name,Anoxia cerebral,Cardiovascular diseases
cardiovascular,llt_name,Anoxic encephalopathy,Cardiovascular diseases
cardiovascular,llt_name,Anterior cerebral artery aneurysm,Cardiovascular diseases
cardiovascular,llt_name,Anterior cerebral artery embolism,Cardiovascular diseases
cardiovascular,llt_name,Anterior cerebral artery occlusion,Cardiovascular diseases
cardiovascular,llt_name,Anterior cerebral artery perforation,Cardiovascular diseases
cardiovascular,llt_name,Anterior cerebral artery stenosis,Cardiovascular diseases
cardiovascular,llt_name,Anterior cerebral artery thrombosis,Cardiovascular diseases
cardiovascular,llt_name,Anterior communicating artery aneurysm,Cardiovascular diseases
cardiovascular,llt_name,Anterior MI,Cardiovascular diseases
cardiovascular,llt_name,Anterior myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Anterolateral myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Anteroseptal infarction,Cardiovascular diseases
cardiovascular,llt_name,Anteroseptal necrosis,Cardiovascular diseases
cardiovascular,llt_name,Aortocoronary bypass,Cardiovascular diseases
cardiovascular,llt_name,Apical ballooning syndrome,Cardiovascular diseases
cardiovascular,llt_name,Apical myocardial infarction,Cardiovascular diseases
cardiovascular,llt_name,Apoplectic fit,Cardiovascular diseases
cardiovascular,llt_name,Apoplexy,Cardiovascular diseases
cardiovascular,llt_name,Arterial insufficiency coronary,Cardiovascular diseases
cardiovascular,llt_name,Arterial stent occlusion,Cardiovascular diseases
cardiovascular,pt_name,Arteriosclerosis coronary artery,Cardiovascular diseases
cardiovascular,llt_name,Arteriosclerotic heart disease,Cardiovascular diseases
cardiovascular,pt_name,Arteriospasm coronary,Cardiovascular diseases
cardiovascular,llt_name,Asthma cardiac,Cardiovascular diseases
cardiovascular,llt_name,Asymptomatic cerebral infarction,Cardiovascular diseases
cardiovascular,llt_name,Asymptomatic haemorrhagic transformation of infarction,Cardiovascular diseases
cardiovascular,llt_name,Asymptomatic hemorrhagic transformation of infarction,Cardiovascular diseases
cardiovascular,llt_name,Asymptomatic subarachnoid haemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Asymptomatic subarachnoid hemorrhage,Cardiovascular diseases
cardiovascular,llt_name,Atheroma coronary artery,Cardiovascular diseases
