decision,route,selected_code,str
by_route,oral,A07,beclometasone
by_route,topical,D07,beclometasone
by_route,nasal,R01,beclometasone
by_route,inhaled,R03,beclometasone
by_route,eye,S01,betamethasone
by_route,inhaled,R03,betamethasone
by_route,nasal,R01,betamethasone
by_route,topical,D07,betamethasone
by_route,oral,A07,budesonide
by_route,topical,D07,budesonide
by_route,nasal,R01,budesonide
by_route,inhaled,R03,budesonide
by_route,nasal,R01,ciclesonide
by_route,inhaled,R03,ciclesonide
by_route,oral,A07,cromoglicic acid
by_route,topical,D11,cromoglicic acid
by_route,nasal,R01,cromoglicic acid
by_route,inhaled,R03,cromoglicic acid
by_route,eye,S01,cromoglicic acid
by_route,nasal,R01,flunisolide
by_route,inhaled,R03,flunisolide
by_route,topical,D07,fluticasone
by_route,nasal,R01,fluticasone
by_route,inhaled,R03,fluticasone
by_route,nasal,R01,fluticasone furoate
by_route,inhaled,R03,fluticasone furoate
by_route,oral,A03,glycopyrronium bromide
by_route,inhaled,R03,glycopyrronium bromide
by_route,nasal,R01,ipratropium bromide
by_route,inhaled,R03,ipratropium bromide
by_route,topical,D07,mometasone
by_route,nasal,R01,mometasone
by_route,inhaled,R03,mometasone
by_route,nasal,R01,nedocromil
by_route,inhaled,R03,nedocromil
by_route,eye,S01,nedocromil
by_route,eye,S01,prednisolone
by_route,nasal,R01,prednisolone
by_route,topical,D07,prednisolone
choose_one,NA,M01,aceclofenac
choose_one,NA,G04,alprostadil
choose_one,NA,B01,alteplase
choose_one,NA,N04,apomorphine
choose_one,NA,M02,bendazac
choose_one,NA,S01,betaxolol
choose_one,NA,S01,brimonidine
choose_one,NA,N04,bromocriptine
choose_one,NA,M01,bufexamac
choose_one,NA,N02,buprenorphine
choose_one,NA,N04,cabergoline
choose_one,NA,A02,calcium carbonate
choose_one,NA,S01,carbachol
choose_one,NA,S01,carteolol
choose_one,NA,M01,celecoxib
choose_one,NA,L04,ciclosporin
choose_one,NA,M01,clofezone
choose_one,NA,M01,dexketoprofen
choose_one,NA,C02,diazoxide
choose_one,NA,M01,diclofenac
choose_one,NA,C05,diltiazem
choose_one,NA,drop,epinephrine
choose_one,NA,L01,everolimus
choose_one,NA,R03,fenoterol
choose_one,NA,N02,fentanyl
choose_one,NA,M01,fentiazac
choose_one,NA,M01,feprazone
choose_one,NA,G04,finasteride
choose_one,NA,M01,flunoxaprofen
choose_one,NA,M01,flurbiprofen
choose_one,NA,C01,glyceryl trinitrate
choose_one,NA,B01,heparin
choose_one,NA,B01,"heparin, combinations"
choose_one,NA,N05,hexobarbital
choose_one,NA,drop,hydrocortisone
choose_one,NA,S01,ibopamine
choose_one,NA,M01,ibuprofen
choose_one,NA,M01,indometacin
choose_one,NA,C01,isosorbide dinitrate
choose_one,NA,M01,ketoprofen
choose_one,NA,M01,ketorolac
choose_one,NA,N02,lisuride
choose_one,NA,A02,magnesium carbonate
choose_one,NA,A02,magnesium hydroxide
choose_one,NA,A02,magnesium oxide
choose_one,NA,A02,magnesium peroxide
choose_one,NA,M01,meclofenamic acid
choose_one,NA,G03,mepartricin
choose_one,NA,N05,methohexital
choose_one,NA,L01,methotrexate
choose_one,NA,A02,misoprostol
choose_one,NA,M01,mofebutazone
choose_one,NA,G04,moxisylyte
choose_one,NA,M01,naproxen
choose_one,NA,C04,nicotinic acid
choose_one,NA,C04,nicotinyl alcohol
choose_one,NA,C04,nicotinyl alcohol (pyridylcarbinol)
choose_one,NA,M02,nifenazone
choose_one,NA,M01,niflumic acid
choose_one,NA,M01,nimesulide
choose_one,NA,M01,oxaceprol
choose_one,NA,M01,oxyphenbutazone
choose_one,NA,A03,papaverine
choose_one,NA,G04,pentosan polysulfate sodium
choose_one,NA,C04,phentolamine
choose_one,NA,M01,phenylbutazone
choose_one,NA,S01,physostigmine
choose_one,NA,S01,pilocarpine
choose_one,NA,M01,piroxicam
choose_one,NA,L04,tacrolimus
choose_one,NA,N05,thiopental
choose_one,NA,S01,timolol
choose_one,NA,H03,tiratricol
choose_one,NA,A07,tixocortol
choose_one,NA,A10,tolbutamide
choose_one,NA,M01,tolmetin
drop,NA,NA,acetarsol
drop,NA,NA,acetylsalicylic acid
drop,NA,NA,aloxiprin
drop,NA,NA,aluminium chlorohydrate
drop,NA,NA,amlexanox
drop,NA,NA,ammonium chloride
drop,NA,NA,benzydamine
drop,NA,NA,broxyquinoline
drop,NA,NA,buphenine
drop,NA,NA,calcium chloride
drop,NA,NA,capsaicin
drop,NA,NA,carbasalate calcium
drop,NA,NA,clonidine
drop,NA,NA,colistin
drop,NA,NA,collagen
drop,NA,NA,combinations
drop,NA,NA,dimethyl sulfoxide
drop,NA,NA,ephedrine
drop,NA,NA,guanethidine
drop,NA,NA,isoprenaline
drop,NA,NA,kanamycin
drop,NA,NA,lidocaine
drop,NA,NA,miconazole
drop,NA,NA,minoxidil
drop,NA,NA,"morphine, combinations"
drop,NA,NA,natamycin
drop,NA,NA,neomycin
drop,NA,NA,neostigmine
drop,NA,NA,nystatin
drop,NA,NA,opium
drop,NA,NA,oxedrine
drop,NA,NA,phenazone
drop,NA,NA,phenylephrine
drop,NA,NA,prednisone
drop,NA,NA,rifaximin
drop,NA,NA,scopolamine
drop,NA,NA,sirolimus
drop,NA,NA,streptomycin
drop,NA,NA,theobromine
drop,NA,NA,tolazoline
drop,NA,NA,tolperisone
drop,NA,NA,triamcinolone
drop,NA,NA,vancomycin
drop,NA,NA,various
by_route,oral,A07,aerobec
by_route,oral,A07,aerobec forte
by_route,oral,A07,beclazone
by_route,oral,A07,beclazone easi-breathe
by_route,oral,A07,beclazone easy breathe
by_route,oral,A07,beclo-aqua 50
by_route,oral,A07,becloforte
by_route,oral,A07,beclometasone (substance)
by_route,oral,A07,beclometasone in topical dosage form
by_route,oral,A07,beclomethasone
by_route,oral,A07,beclomethasone [chemical/ingredient]
by_route,oral,A07,beclomethasone in topical dosage form
by_route,oral,A07,beclomethasone nasal
by_route,oral,A07,beclovent
by_route,oral,A07,becodisk
by_route,oral,A07,becodisks
by_route,oral,A07,beconase
by_route,oral,A07,becotide
by_route,oral,A07,ecobec
by_route,oral,A07,filair
by_route,oral,A07,filair forte
by_route,oral,A07,nasal beclomethasone
by_route,oral,A07,nasobec aqueous
by_route,oral,A07,"pregna-1,4-diene-3,20-dione, 9-chloro-11,17,21-trihydroxy-16-methyl-, (11beta,16beta)-"
by_route,oral,A07,product containing beclometasone
by_route,oral,A07,product containing beclometasone (medicinal product)
by_route,oral,A07,product containing beclometasone in topical dosage form
by_route,oral,A07,product containing beclomethasone
by_route,oral,A07,product containing beclomethasone in topical dosage form
by_route,oral,A07,prolair
by_route,oral,A07,propaderm
by_route,oral,A07,propaderm a
by_route,oral,A07,propaderm c
by_route,oral,A07,qnasl
by_route,oral,A07,qvar
by_route,oral,A07,respocort
by_route,oral,A07,sanasthmyl
by_route,oral,A07,vancenase
by_route,oral,A07,vanceril
by_route,oral,A07,ventolair
by_route,oral,A07,beclomet diprop
by_route,oral,A07,clipper
by_route,oral,A07,nasobec aq
by_route,oral,A07,nasobec hayfever
by_route,oral,A07,becloaqua
by_route,oral,A07,vivabec
by_route,oral,A07,care
by_route,oral,A07,pollenase
by_route,oral,A07,rino clenil
by_route,oral,A07,numark
by_route,oral,A07,beclomet hayfever
by_route,oral,A07,gppe inha
by_route,oral,A07,gppe pdr for inh cap
by_route,oral,A07,beclomet diprop/formoterol
by_route,oral,A07,beclomet/formoterol
by_route,oral,A07,ventide
by_route,oral,A07,aerobec fte
by_route,oral,A07,filair fte
by_route,oral,A07,asmabec clickhaler
by_route,oral,A07,pulvinal beclomet
by_route,oral,A07,easyhaler
by_route,oral,A07,clenil modulite
by_route,oral,A07,fostair
by_route,oral,A07,fostair nexthaler
by_route,topical,D07,aerobec
by_route,topical,D07,aerobec forte
by_route,topical,D07,beclazone
by_route,topical,D07,beclazone easi-breathe
by_route,topical,D07,beclazone easy breathe
by_route,topical,D07,beclo-aqua 50
by_route,topical,D07,becloforte
by_route,topical,D07,beclometasone (substance)
by_route,topical,D07,beclometasone in topical dosage form
by_route,topical,D07,beclomethasone
by_route,topical,D07,beclomethasone [chemical/ingredient]
by_route,topical,D07,beclomethasone in topical dosage form
by_route,topical,D07,beclomethasone nasal
by_route,topical,D07,beclovent
by_route,topical,D07,becodisk
by_route,topical,D07,becodisks
by_route,topical,D07,beconase
by_route,topical,D07,becotide
by_route,topical,D07,ecobec
by_route,topical,D07,filair
by_route,topical,D07,filair forte
by_route,topical,D07,nasal beclomethasone
by_route,topical,D07,nasobec aqueous
by_route,topical,D07,"pregna-1,4-diene-3,20-dione, 9-chloro-11,17,21-trihydroxy-16-methyl-, (11beta,16beta)-"
by_route,topical,D07,product containing beclometasone
by_route,topical,D07,product containing beclometasone (medicinal product)
by_route,topical,D07,product containing beclometasone in topical dosage form
by_route,topical,D07,product containing beclomethasone
by_route,topical,D07,product containing beclomethasone in topical dosage form
by_route,topical,D07,prolair
by_route,topical,D07,propaderm
by_route,topical,D07,propaderm a
by_route,topical,D07,propaderm c
by_route,topical,D07,qnasl
by_route,topical,D07,qvar
by_route,topical,D07,respocort
by_route,topical,D07,sanasthmyl
by_route,topical,D07,vancenase
by_route,topical,D07,vanceril
by_route,topical,D07,ventolair
by_route,topical,D07,beclomet diprop
by_route,topical,D07,clipper
by_route,topical,D07,nasobec aq
by_route,topical,D07,nasobec hayfever
by_route,topical,D07,becloaqua
by_route,topical,D07,vivabec
by_route,topical,D07,care
by_route,topical,D07,pollenase
by_route,topical,D07,rino clenil
by_route,topical,D07,numark
by_route,topical,D07,beclomet hayfever
by_route,topical,D07,gppe inha
by_route,topical,D07,gppe pdr for inh cap
by_route,topical,D07,beclomet diprop/formoterol
by_route,topical,D07,beclomet/formoterol
by_route,topical,D07,ventide
by_route,topical,D07,aerobec fte
by_route,topical,D07,filair fte
by_route,topical,D07,asmabec clickhaler
by_route,topical,D07,pulvinal beclomet
by_route,topical,D07,easyhaler
by_route,topical,D07,clenil modulite
by_route,topical,D07,fostair
by_route,topical,D07,fostair nexthaler
by_route,nasal,R01,aerobec
by_route,nasal,R01,aerobec forte
by_route,nasal,R01,beclazone
by_route,nasal,R01,beclazone easi-breathe
by_route,nasal,R01,beclazone easy breathe
by_route,nasal,R01,beclo-aqua 50
by_route,nasal,R01,becloforte
by_route,nasal,R01,beclometasone (substance)
