trial,value,label
BI1160_63,1,american_indian
BI1160_63,2,asian
BI1160_63,3,black
BI1160_63,4,hawaii
BI1160_63,5,white
BI248_543,1,white
BI248_543,2,black
BI248_543,3,asian
NVT_SA_ENA713D1301,3,oriental
NVT_SA_ZOL446H2301,1,White/Caucasian
NVT_SA_ZOL446H2301,2,Black/African American
NVT_SA_ZOL446H2301,4,Other
NVT_SA_ZOL446H2301,5,Japanese
NVT_SA_ZOL446H2301,6,Other Asian or Pacific Islander
NVT_SA_ZOL446H2301,7,Hispanic
NVT_SA_ZOL446H2310,1,white
NVT_SA_ZOL446H2310,2,black
NVT_SA_ZOL446H2310,3,oriental
NVT_SA_ZOL446H2310,4,other
NVT_SA_ZOL446H2310,5,hispanic
NVT_SA_ZOL446M2309,1,white
NVT_SA_ZOL446M2309,2,black
NVT_SA_ZOL446M2309,3,asian
NVT_SA_ZOL446M2309,88,other
NVT_SA_ZOL446O2306,1,white
NVT_SA_ZOL446O2306,2,black
NVT_SA_ZOL446O2306,3,asian
NVT_SA_ZOL446O2306,4,s_asian
NVT_SA_ZOL446O2306,5,hispanic
NVT_SA_ZOL446O2306,7,native_american
NVT_SA_ZOL446O2306,88,other
BI248_629,1,white
BI248_629,2,black
BI248_629,3,asian
BI502_391,1,white
BI502_391,2,black
BI502_391,3,asian
BI248_622,1,american_indian
BI248_622,2,asian
BI248_622,3,black
BI248_622,4,hawaii
BI248_622,5,white
NVT_SA_ZOL446H2409,1,white
NVT_SA_ZOL446H2409,2,black
NVT_SA_ZOL446H2409,3,asian
NVT_SA_ZOL446H2409,88,other
