condition,sex,trial,n,min_age,max_age,mean_age,sd_age,repo
Asthma,female,GSKB2C112060,204,12,79,42.9,16.9,GSK
Asthma,female,GSKFFA112059,205,12,84,42.58,15.86,GSK
Asthma,female,GSKFFA115285,233,12,81,38.96,15.91,GSK
Asthma,female,GSKMEA115588,332,12,82,50.09,14.43,GSK
Asthma,male,GSKB2C112060,143,12,77,38.97,17.07,GSK
Asthma,male,GSKFFA112059,144,12,72,37.53,16.88,GSK
Asthma,male,GSKFFA115285,118,12,77,32.04,17.15,GSK
Asthma,male,GSKMEA115588,248,12,77,50.25,14.06,GSK
Dementia_any,female,GSKAVA102670_v02,817,50,89,73.36,7.96,GSK
Dementia_any,female,GSKAVA102672_v02,887,50,89,74.67,7.7,GSK
Dementia_any,female,GSKAVA105640_v02,364,50,89,72.53,8.64,GSK
Dementia_any,male,GSKAVA102670_v02,653,50,88,72.77,8.38,GSK
Dementia_any,male,GSKAVA102672_v02,588,50,89,73.54,7.94,GSK
Dementia_any,male,GSKAVA105640_v02,216,51,87,72.24,7.66,GSK
Hypertension,female,GSKCOR103561,270,25,80,53.69,9.9,GSK
Hypertension,male,GSKCOR103561,298,22,80,50.38,11.33,GSK
Parkinson_Disease,female,GSK101468_169,146,47,82,67.22,8.26,GSK
Parkinson_Disease,male,GSK101468_169,247,34,87,65.52,10.04,GSK
Pulmonary_Disease_Chronic_Obstructive,female,GSK200109,212,44,84,64.04,7.57,GSK
Pulmonary_Disease_Chronic_Obstructive,female,GSK200110,229,43,88,61.61,7.99,GSK
Pulmonary_Disease_Chronic_Obstructive,female,GSK201315,328,46,87,64.69,8.71,GSK
Pulmonary_Disease_Chronic_Obstructive,female,GSKAC4116135,208,44,82,60.95,7.96,GSK
Pulmonary_Disease_Chronic_Obstructive,female,GSKDB2113360_v02,261,40,88,61.62,9.57,GSK
Pulmonary_Disease_Chronic_Obstructive,male,GSK200109,407,43,87,64.62,8.37,GSK
Pulmonary_Disease_Chronic_Obstructive,male,GSK200110,391,42,88,63.66,8.28,GSK
Pulmonary_Disease_Chronic_Obstructive,male,GSK201315,706,40,89,63.84,8.1,GSK
Pulmonary_Disease_Chronic_Obstructive,male,GSKAC4116135,409,43,83,64.26,8.37,GSK
Pulmonary_Disease_Chronic_Obstructive,male,GSKDB2113360_v02,584,41,87,63.54,8.68,GSK
Restless_legs_syndrome,female,GSK101468_204,342,19,79,54.96,12.52,GSK
Restless_legs_syndrome,female,GSK101468_205,254,19,79,51.99,11.88,GSK
Restless_legs_syndrome,female,GSK101468_249,232,18,79,52.31,13.35,GSK
Restless_legs_syndrome,female,GSKROR104836,256,19,79,56.65,11.24,GSK
Restless_legs_syndrome,male,GSK101468_204,223,20,79,54.03,12.02,GSK
Restless_legs_syndrome,male,GSK101468_205,130,22,79,52.48,12.57,GSK
Restless_legs_syndrome,male,GSK101468_249,149,25,77,52.26,12.33,GSK
Restless_legs_syndrome,male,GSKROR104836,148,18,78,55.34,12.53,GSK
Systemic_Lupus_Erythematosus,female,GSKHGS1006_C1056_v05,769,18,73,40.08,11.38,GSK
Systemic_Lupus_Erythematosus,female,GSKHGS1006_C1057_v03,823,18,71,35.61,11.14,GSK
Systemic_Lupus_Erythematosus,male,GSKHGS1006_C1056_v05,57,18,68,42,12.9,GSK
Systemic_Lupus_Erythematosus,male,GSKHGS1006_C1057_v03,44,19,55,33.59,9.57,GSK
