meddra,conmed
acid_related,antacids
arthritis_and_arthralgia,arthritis
bph,prostate
cardiovascular,CV
chronic_lower_respiratory_disease,asthma_COPD
chronic_renal_failure,
dementia,dementia
diabetes,diabetes
epilepsy,epilepsy
erectile_dysfunction,erectile
glaucoma,glaucoma
gout,gout
inflammatory,inflammatory
liver_disease,
migraine,migraine
mood_neurotic_sleep,anxiety
obesity,
osteoporosis,osteoporosis
pain,pain
parkinson,parkinsons
schizophren,schizophrenia
skin,
thrombo_embolic,thromboembolic
thyroid_disorders,thyroid
urinary,urological
