llt_code,pt_name
10000001,Alveolitis allergic
10000002,11-beta-hydroxylase deficiency
10000003,Oxycorticosteroids increased
10000004,Oxycorticosteroids increased
10000005,17 ketosteroids urine
10000006,17 ketosteroids urine abnormal
10000007,17 ketosteroids urine decreased
10000008,17 ketosteroids urine increased
10000009,17 ketosteroids urine increased
10000010,17 ketosteroids urine decreased
10000011,17 ketosteroids urine normal
10000012,Hydroxycorticosteroids urine increased
10000013,"17,20-desmolase deficiency"
10000014,17-alpha-hydroxylase deficiency
10000015,Increased steroid activity
10000016,Increased steroid activity
10000017,Increased steroid activity
10000018,Atrioventricular block first degree
10000019,Vaginal prolapse
10000020,"20,22-desmolase deficiency"
10000021,21-hydroxylase deficiency
10000022,Atrioventricular block second degree
10000023,Vaginal prolapse
10000024,Tri-iodothyronine abnormal
10000025,Tri-iodothyronine decreased
10000026,Tri-iodothyronine increased
10000027,Vaginal prolapse
10000028,5'nucleotidase increased
10000029,5-alpha-reductase deficiency
10000030,5-alpha reductase inhibition therapy
10000031,5q minus syndrome
10000033,Hypervitaminosis A
10000034,Atrioventricular dissociation
10000035,Arteriovenous malformation
10000036,Acute respiratory distress syndrome
10000037,Albumin globulin ratio
10000038,Albumin globulin ratio normal
10000039,Abdominal pain
10000040,Abdominal pain
10000041,Abdominal distension
10000042,Abdominal discomfort
10000043,Abdominal discomfort
10000044,Abdomen crushing
10000045,Abdominal distension
10000046,Abdominal distension
10000047,Acute abdomen
10000048,Abdominal abscess
10000049,Actinomycotic abdominal infection
10000050,Abdominal adhesions
10000051,Aortic aneurysm
10000052,Aortic aneurysm
10000053,Aortic aneurysm rupture
10000054,Aortic aneurysm
10000055,Abdominal pain
10000056,Abdominal pain
10000057,Abdominal pain
10000058,Abdominal pain
10000059,Abdominal discomfort
10000060,Abdominal distension
10000061,Abdominal distension
10000062,Abdominal discomfort
10000064,Hypotonia
10000065,Abdominal distension
10000066,Abdominal rigidity
10000067,Abdominal hernia
10000068,Abdominal hernia
10000069,Abdominal hernia gangrenous
10000070,Abdominal hernia obstructive
10000071,Abdominal hernia
10000074,Abdominal hernia
10000075,Hysterectomy
10000076,Abdominal injury
10000077,Abdominal mass
10000078,Abdominal mass
10000079,Gastrointestinal sounds abnormal
10000080,Abdominal mass
10000081,Abdominal pain
10000082,Abdominal pain
10000083,Abdominal pain
10000084,Abdominal pain lower
10000085,Abdominal pain
10000086,Abdominal pain upper
10000087,Abdominal pain upper
10000088,Ectopic pregnancy
10000089,Abdominal rebound tenderness
10000090,Abdominal rigidity
10000091,Abdomen scan
10000092,Scan abdomen abnormal
10000093,Abdomen scan normal
10000094,Abdominal sinus repair
10000095,Abdominal symptom
10000096,Acute abdomen
10000097,Abdominal tenderness
10000098,Abdominal transposition
10000099,Abdominal wall abscess
10000100,Abscess drainage
10000101,Abdominal wall anomaly
10000102,Biopsy abdominal wall
10000103,Biopsy abdominal wall abnormal
10000104,Biopsy abdominal wall normal
10000105,Abdominal wall operation
10000106,Muscle strain
10000107,Flatulence
10000108,Proctectomy
10000109,Abdominal cavity drainage
10000110,VIth nerve paralysis
10000111,Abducent nerve operation
10000112,VIth nerve paralysis
10000113,Blood gases abnormal
10000114,Blood gases normal
10000115,Blood gases abnormal
10000116,Auditory disorder
10000118,Abnormal behaviour
10000119,Gastrointestinal sounds abnormal
10000120,Breath sounds abnormal
10000121,Breath sounds abnormal
10000122,Coagulation test abnormal
10000123,Complement fixation abnormal
10000124,Delayed dark adaptation
10000125,Abnormal dreams
10000126,Electrocardiogram abnormal
10000127,Electroencephalogram abnormal
10000128,Ejaculation disorder
10000129,Electrocardiogram abnormal
10000130,Electroencephalogram abnormal
10000131,Electromyogram abnormal
10000132,Eye movement disorder
10000133,Abnormal faeces
10000134,Abnormal faeces
10000136,Gait disturbance
10000137,Glucose tolerance impaired
10000138,Glucose tolerance impaired in pregnancy
10000139,Glucose tolerance impaired in pregnancy
10000140,Glucose tolerance impaired in pregnancy
10000141,Glucose tolerance impaired in pregnancy
10000142,Glucose tolerance impaired in pregnancy
10000143,Glucose tolerance impaired in pregnancy
10000144,Glucose tolerance impaired in pregnancy
10000145,Glucose tolerance test abnormal
10000146,Glucose tolerance test abnormal
10000147,Hair growth abnormal
10000148,Dental pulp disorder
10000149,Heart sounds abnormal
10000150,Neurological eyelid disorder
10000151,Dyskinesia
10000152,Abnormal labour
10000153,Abnormal labour
10000154,Abnormal labour affecting foetus
10000155,LE cells present
10000156,Liver function test abnormal
10000157,Lipids abnormal
10000158,Liver function test abnormal
10000159,Abnormal loss of weight
10000160,Female orgasmic disorder
10000161,Male orgasmic disorder
10000162,Abnormal palmar/plantar creases
10000163,Sensory disturbance
10000164,Pigmentation disorder
10000165,Pigmentation disorder
10000166,Platelet function test abnormal
10000167,Platelet disorder
10000168,Abnormal product of conception
10000169,Pupillary disorder
10000170,Reflexes abnormal
10000172,Visual impairment
10000173,Abnormal sensation in eye
10000174,Sensory disturbance
10000175,Abnormal palmar/plantar creases
10000177,Abnormal sleep-related event
10000179,Spermatozoa abnormal
10000180,Sputum abnormal
10000181,Abnormal faeces
10000182,Thinking abnormal
10000183,Thymol turbidity test abnormal
10000184,Paraesthesia
10000185,Uterine contractions abnormal
10000186,Visual impairment
10000187,Visual impairment
10000188,Abnormal weight gain
10000189,Speech disorder
10000194,Tooth malformation
10000195,Hair disorder
10000197,Accommodation disorder
10000198,Abnormal labour
10000199,Abnormal labour
10000200,Gait disturbance
10000201,Reproductive tract disorder
10000202,Red blood cell abnormality
10000203,Gastrin secretion disorder
10000204,Glucagon secretion disorder
10000205,ABO haemolytic disease of newborn
10000206,ABO incompatibility
10000207,ABO incompatibility
10000208,ABO incompatibility
10000209,Aborted pregnancy
10000210,Abortion
10000212,Abortion complete complicated
10000213,Abortion
10000214,Abortion complete
10000215,Abortion complicated
10000216,Induced abortion failed
10000217,Abortion incomplete
10000218,Abortion incomplete complicated
10000219,Abortion incomplete
10000220,Abortion induced
10000221,Abortion induced complete complicated
10000222,Abortion induced complete
10000223,Abortion induced complicated
10000224,Abortion induced
10000225,Abortion induced incomplete complicated
10000226,Abortion induced incomplete
10000227,Abortion induced
10000228,Abortion infected
10000229,Abortion infected
10000230,Abortion missed
10000231,Abortion
10000234,Abortion spontaneous
10000236,Abortion spontaneous complete complicated
10000237,Abortion spontaneous complete
10000238,Abortion spontaneous complicated
10000239,Abortion spontaneous incomplete complicated
10000240,Abortion spontaneous incomplete
10000241,Abortion spontaneous
10000242,Abortion threatened
10000243,Leg amputation
10000244,Bronchopulmonary aspergillosis allergic
10000245,Skin abrasion
10000246,Tooth erosion
10000247,Tooth erosion
10000248,Skin abrasion
10000249,Skin abrasion
10000250,Skin abrasion
10000251,Skin abrasion
10000252,Skin abrasion
10000253,Skin abrasion
10000254,Skin abrasion
10000255,Skin abrasion
10000256,Skin abrasion
10000257,Skin abrasion
10000258,Skin abrasion
10000259,Skin abrasion
10000260,Skin abrasion
10000261,Skin abrasion
10000262,Skin abrasion
