,Cohort,Type of condition,nct_id,Indication,Pain,CV,Arthritis,Affective,Acid-related,Airways,Diabetes,Osteoporosis,Thyroid,Thromboembolic,Inflammatory,BPH,Gout,Glaucoma,Urological,ED,Antipsychotics,Epilepsy,Migraine,Parkinson,Dementia
1,TRIAL,Cardiovascular,NCT00262600,Atrial Fibrillation,11.9,,11.5,13.7,5.2,9.7,19.7,3.7,9.9,,5.8,4.4,6.8,2.7,1.6,1.4,0.8,1.1,0.3,1.3,0.9
2,UKB,Cardiovascular,,Atrial Fibrillation,24.2,,14.2,8.3,3.5,10.4,8.7,2.6,6.8,,3.3,4.3,5,1.5,1.5,1.4,0.5,1.3,0.8,0.3,0.1
3,SAIL,Cardiovascular,,Atrial Fibrillation,53.2,,23.3,18.4,14,21,14.8,9.8,12.5,,8.2,9.1,9.2,5.9,4,3.1,2,1.9,0.7,1.4,0.4
4,TRIAL,Cardiovascular,NCT00734474,"Diabetes Mellitus, Type 2",12.6,64.3,15.9,11.1,11.6,3.7,,0.5,9.2,0.3,4.1,2.9,2.6,1.4,0.3,2.7,0.7,1.1,0.4,0.7,0.9
5,TRIAL,Cardiovascular,NCT00856284,"Diabetes Mellitus, Type 2",7.4,31,7.4,4.8,4.9,2.6,,0.7,2,0.4,1.1,1.1,0.8,0.5,0.3,0.8,0.3,0.2,0.1,0.1,0
6,TRIAL,Cardiovascular,NCT00968708,"Diabetes Mellitus, Type 2",30.5,93.7,9.5,28.3,1.9,7.4,,0.2,2.7,7.6,7,3.3,2.7,18.5,0.5,0.6,1.2,0.9,1.2,1.5,0.4
7,TRIAL,Cardiovascular,NCT00968812,"Diabetes Mellitus, Type 2",31,22,27,25,32,7,,4,15,4,6,10,7,8,1,11,5,8,2,3,1
8,TRIAL,Cardiovascular,NCT01064687,"Diabetes Mellitus, Type 2",22.1,74,27.8,19,11.3,10.6,,0.7,9.5,2.1,6.6,3.1,2.1,3.2,1.1,6.7,0.6,1.2,1.6,1,0.2
9,TRIAL,Cardiovascular,NCT01075282,"Diabetes Mellitus, Type 2",21.6,66.9,22.2,9.2,7.2,3.3,,1,7.5,0.8,2.7,1.9,2.3,3.1,0.5,0.8,0.6,0.7,0.1,0.5,0.2
10,TRIAL,Cardiovascular,NCT01081834,"Diabetes Mellitus, Type 2",4,27,6,26,28,10,,6,13,1,7,12,1,8,6,6,1,2,1,1,1
11,TRIAL,Cardiovascular,NCT01106625,"Diabetes Mellitus, Type 2",3,16,26,29,24,5,,1,12,7,4,3,7,4,1,12,1,1,3,4,1
12,TRIAL,Cardiovascular,NCT01106651,"Diabetes Mellitus, Type 2",30,23,19,28,26,11,,2,16,7,5,15,11,9,7,16,1,9,2,5,1
13,TRIAL,Cardiovascular,NCT01106677,"Diabetes Mellitus, Type 2",29,20,24,24,22,5,,2,10,5,5,6,11,4,4,11,2,10,2,3,1
14,TRIAL,Cardiovascular,NCT01106690,"Diabetes Mellitus, Type 2",2,21,3,32,14,14,,3,22,4,3,13,7,7,4,15,4,3,1,1,1
15,TRIAL,Cardiovascular,NCT01126580,"Diabetes Mellitus, Type 2",18.2,62.7,18.2,12.3,8.1,6.8,,1.1,8.4,1.5,2.6,1.2,3.6,2.9,0.9,0.6,1.7,0.6,1,1.5,0.2
16,TRIAL,Cardiovascular,NCT01137812,"Diabetes Mellitus, Type 2",29,29,25,27,33,7,,2,14,3,2,9,12,5,3,11,6,13,1,6,1
17,TRIAL,Cardiovascular,NCT01191268,"Diabetes Mellitus, Type 2",25.6,79.7,25.6,16.5,10.9,6.6,,0.8,10.3,2.4,3.5,2.4,3.4,5,1,3,1.7,1.6,0.8,0.6,0.2
