lbtestcd,lbtest,lab_test_type,keep,newlab
ALT,NA | NA | NA | Alanine Aminotransferase (IU/L),chem | chem1 | chem2 | NA,1,ALT
ALT_PLC,Alanine Amino Transferase,NA,1,ALT
AST,NA | NA | NA | Aspartate Aminotransferase (IU/L),chem | chem1 | chem2 | NA,1,AST
AST_PLC,Aspartate Amino Transferase,NA,1,AST
CREAT,Creatinine (umol/L),NA,1,CREAT
CRT_PLC,Creatinine,NA,1,CREAT
CRTCE_PLR,"Creatinine Clearance, estimated",NA,1,EGFR
GLU,NA | NA | NA,chem | chem1 | chem2,1,GLU
GLUC_PLC,Glucose,NA,1,GLU
GLUCC,Serum Glucose (mmol/L),NA,1,GLU
HB_BLC,Hemoglobin,NA,1,HGB
HGB,NA | NA | NA | Hemoglobin (g/L),hema | hema1 | hema2 | NA,1,HGB
PLAT,Platelets (GI/L),NA,1,PLT
PLT,NA | NA | NA,hema | hema1 | hema2,1,PLT
PLT_BLC,Platelet count,NA,1,PLT
,,NA,,
ACC,NA | NA,hema | hema1,,
ALB,NA | NA | NA | Albumin (g/L),chem | chem1 | chem2 | NA,,
ALB_PLC,Albumin,NA,,
ALKP,NA | NA | NA,chem | chem1 | chem2,,
ALP,Alkaline Phosphatase (IU/L),NA,,
ALP_PLC,Alkaline Phosphatase,NA,,
ALTEIGE,Alternaria tenuis (M6) IgE (U/mL),NA,,
ALTEIGEC,Alternaria tenuis (M6) IgE Class,NA,,
AMORPHSD,Amorphous Sediment,NA,,
ANISO,NA | NA | NA,hema | hema1 | hema2,,
ANISO_BLQ,Anisocytosis,NA,,
ATL,NA | NA | NA,hema | hema1 | hema2,,
B/C RATIO,NA | NA | NA,chem | chem1 | chem2,,
BACT,Bacteria,NA,,
BANDS,NA | NA | NA,hema | hema1 | hema2,,
BANDSN,NA | NA | NA,hema | hema1 | hema2,,
BASO,NA | NA | NA | Basophils (GI/L),hema | hema1 | hema2 | NA,,
BASO_BLC,Basophils,NA,,
BASO_BLQ,Basophils (percentage),NA,,
BASOLE,Basophils/Leukocytes (%),NA,,
BASON,NA | NA | NA,hema | hema1 | hema2,,
BASOSTIP,NA,hema,,
BILD_PLC,Direct Bilirubin,NA,,
BILDIR,Direct Bilirubin (umol/L),NA,,
BILI,Bilirubin (umol/L),NA,,
BILI_PLC,Indirect Bilirubin,NA,,
BILIND,Indirect Bilirubin (umol/L),NA,,
BILT_PLC,Total Bilirubin,NA,,
BLASTS,NA | NA | NA,hema | hema1 | hema2,,
BUN,NA | NA | NA,chem | chem1 | chem2,,
BUNC_PLQ,BUN/Creatinine ratio,NA,,
Burr Cells,NA | NA | NA,hema | hema1 | hema2,,
BURR_BLG,Burr cells,NA,,
CA,Calcium (mmol/L),NA,,
CA_PLC,Calcium,NA,,
CALC_A,NA | NA | NA,chem | chem1 | chem2,,
CATDIGE,Cat Dander (E1) IgE (U/mL),NA,,
CATDIGEC,Cat Dander (E1) IgE Classification,NA,,
CCKRIGE,Cockroach (I6) IgE (U/mL),NA,,
CCKRIGEC,Cockroach (I6) IgE Classification,NA,,
CHLO,NA | NA | NA,chem | chem1 | chem2,,
CHOL,Cholesterol (mmol/L),NA,,
CHOL_PLC,Cholesterol,NA,,
CK,NA | NA | NA | Creatine Kinase (IU/L),chem | chem1 | chem2 | NA,,
CK_PLC,Creatine Kinase,NA,,
CL,Chloride (mmol/L),NA,,
CL_PLC,Chloride,NA,,
CMT,NA | NA | NA,hema | hema1 | hema2,,
CO2,NA | NA | NA,chem | chem1 | chem2,,
CO2_PLC,Carbon dioxide content/Bicarbonate,NA,,
CORT_URC,Urine Free Cortisol concentration,NA,,
CORTEX_URR,Urine Free Cortisol excretion - 24 hour,NA,,
CRCL,NA | NA | NA,chem | chem1 | chem2,,
CREA,NA | NA | NA,chem | chem1 | chem2,,
CRENCELL,NA | NA | NA,hema | hema1 | hema2,,
CRT_URC,Urine Creatinine concentration,NA,,
CRTEX_URR,Urine Creatinine excretion - 24 hour,NA,,
CSHYAL,Hyaline Casts,NA,,
CYCAOXA,Calcium Oxalate Crystals,NA,,
CYTRPHOS,Triple Phosphate Crystals,NA,,
CYURIAC,Uric Acid Crystals,NA,,
DFARIGE,Dermatiphagoides farinae (D2) IgE (U/mL),NA,,
DFARIGEC,Dermatiphagoides farinae (D2) IgE Class,NA,,
DOGDIGE,Dog Dander (E5) IgE (U/mL),NA,,
DOGDIGEC,Dog Dander (E5) IgE Classification,NA,,
DPTEIGE,Dermatiphagoides pteronyssinus (D1) IgE (U/mL),NA,,
DPTEIGEC,Dermatiphag. pteronyssinus D1 IgE Class,NA,,
ELLP,NA | NA | NA,hema | hema1 | hema2,,
EOS,Eosinophils (GI/L),NA,,
EOS_BLC,Eosinophils,NA,,
EOS_BLQ,Eosinophils (percentage),NA,,
EOSI,NA | NA | NA,hema | hema1 | hema2,,
EOSLE,Eosinophils/Leukocytes (%),NA,,
EOSN,NA | NA | NA,hema | hema1 | hema2,,
EPIROCE,Round Epithelial Cells,NA,,
EPISQCE,Squamous Epithelial Cells,NA,,
FT4_PLC,"Thyroxine, free",NA,,
FTAABS_PLG,Fluorescent Treponemal antibody absorption,NA,,
GGT,NA | NA | NA | Gamma Glutamyl Transferase (IU/L),chem | chem1 | chem2 | NA,,
GGT_PLC,Gamma Glutamyl Transferase,NA,,
GLUCU,Urine Glucose,NA,,
HBA1C_BLQ,Glycosylated Hemoglobin A1C,NA,,
HBSAG_PLC,Hepatitis B Surface antigen (qualitative),NA,,
HCT,NA | NA | NA | Hematocrit (fraction of 1),hema | hema1 | hema2 | NA,,
HCT_BLQ,Hematocrit,NA,,
HCV_PLC,Hepatitis C antibody,NA,,
HCVABZ,"Hepatitis C Antibody, Qual",NA,,
HDLD_PLC,"HDL Cholesterol, direct",NA,,
HDLDIR,"HDL Cholesterol, Direct (mmol/L)",NA,,
HYPOC,NA | NA | NA,hema | hema1 | hema2,,
IGE,Immunoglobulin E (U/mL),NA,,
INR,NA | NA | NA,hema | hema1 | hema2,,
K,Potassium (mmol/L),NA,,
K_PLC,Potassium,NA,,
KETONES,Ketones,NA,,
LDH,NA | NA | NA | Lactate Dehydrogenase (IU/L),chem | chem1 | chem2 | NA,,
LDH_PLC,Lactate Dehydrogenase,NA,,
LDLCC,LDL Cholesterol Calculation (mmol/L),NA,,
LDLCC_PLC,LDL Cholesterol calculation,NA,,
LEOS,Log (Eosinophils (GI/L)),NA,,
LIGE,Log (Immunoglobulin E (U/mL)),NA,,
LYM,Lymphocytes (GI/L),NA,,
LYMLE,Lymphocytes/Leukocytes (%),NA,,
LYMP,NA | NA | NA,hema | hema1 | hema2,,
LYMPH_BLC,Lymphocytes,NA,,
LYMPH_BLQ,Lymphocytes (percentage),NA,,
LYMPN,NA | NA | NA,hema | hema1 | hema2,,
MACRO,NA | NA | NA,hema | hema1 | hema2,,
MACROC_BLQ,Macrocytosis,NA,,
MAGN,NA | NA | NA,chem | chem1 | chem2,,
MCH,Ery. Mean Corpuscular Hemoglobin (pg),NA,,
MCH_BLC,Mean Corpuscle Hemoglobin,NA,,
MCHC,Ery. Mean Corpuscular HGB Concentration (g/L),NA,,
MCHC_BLC,Mean Corpuscle Hemoglobin concentration,NA,,
MCV,Ery. Mean Corpuscular Volume (fL),NA,,
MCV_BLV,Mean Corpuscle Volume,NA,,
META,NA | NA | NA,hema | hema1 | hema2,,
MG_PLC,Magnesium,NA,,
MICRO,NA | NA | NA,hema | hema1 | hema2,,
MONO,NA | NA | NA | Monocytes (GI/L),hema | hema1 | hema2 | NA,,
MONO_BLC,Monocytes,NA,,
MONO_BLQ,Monocytes (percentage),NA,,
MONOLE,Monocytes/Leukocytes (%),NA,,
MONON,NA | NA | NA,hema | hema1 | hema2,,
MPV,Mean Platelet Volume (fL),NA,,
MPV_BLV,Mean Platelet Volume,NA,,
MUCTHR,Mucous Threads,NA,,
MYELO,NA | NA | NA,hema | hema1 | hema2,,
NA_PLC,Sodium,NA,,
NEUT,NA | NA | NA | Neutrophils (GI/L),hema | hema1 | hema2 | NA,,
NEUT_BLC,Total Neutrophils (Total ANC - Total Absolute Neutrophil Count) | Total Neutrophils (ANC - Absolute Neutrophil Count) | Total Neutrophils,NA | NA | NA,,
NEUT_BLQ,Total Neutrophils (percentage),NA,,
NEUTB_BLC,Neutrophil Bands,NA,,
NEUTB_BLQ,Neutrophil Bands (percentage),NA,,
NEUTLE,Neutrophils/Leukocytes (%),NA,,
NEUTN,NA | NA | NA,hema | hema1 | hema2,,
NEUTS_BLC,Segmented Neutrophils,NA,,
NEUTS_BLQ,Segmented Neutrophils (percentage),NA,,
NEUTSG,"Neutrophils, Segmented (GI/L)",NA,,
NEUTSGLE,"Neutrophils, Segmented/Leukocytes (%)",NA,,
NRBC,NA | NA | NA,hema | hema1 | hema2,,
OCCBLD,Occult Blood,NA,,
OTH,NA | NA,hema | hema2,,
OVAL,NA | NA | NA,hema | hema1 | hema2,,
P_PLC,"Phosphorus, inorganic",NA,,
PHOS,NA | NA | NA | Phosphate (mmol/L),chem | chem1 | chem2 | NA,,
PLTEST,NA,hema,,
PLYMP,NA | NA | NA,hema | hema1 | hema2,,
POIKI,NA | NA | NA,hema | hema1 | hema2,,
POIKI_BLQ,Poikilocytosis,NA,,
POLYC,NA | NA | NA,hema | hema1 | hema2,,
POTA,NA | NA | NA,chem | chem1 | chem2,,
PRMONO,NA | NA | NA,hema | hema1 | hema2,,
PROM,NA | NA | NA,hema | hema1 | hema2,,
PROTC,Plasma/Serum Protein (g/L),NA,,
PROTU,Urine Protein,NA,,
PT,NA | NA | NA,hema | hema1 | hema2,,
PTT,NA | NA | NA,hema | hema1 | hema2,,
RBC,NA | NA | NA,hema | hema1 | hema2,,
RBC_BLC,Red Blood Cell count,NA,,
RBCAGG_BLG,RBC agglutination,NA,,
RBCH,Blood Erythrocytes (TI/L),NA,,
RBCMO,NA | NA | NA,hema | hema1 | hema2,,
RBCU,Urine Erythrocytes,NA,,
RDW,Erythrocytes Distribution Width (%),NA,,
RDW_BLQ,RDW - Red Cell Distribution Width,NA,,
RETI,Reticulocytes (TI/L),NA,,
ROUL,NA | NA,hema | hema1,,
SCHIST,NA | NA | NA,hema | hema1 | hema2,,
SODI,NA | NA | NA,chem | chem1 | chem2,,
SODIUM,Sodium (mmol/L),NA,,
SPHERO,NA | NA,hema | hema1,,
SYP_PLG,Serum Syphillis,NA,,
SYPT_PLG,Syphilis TPPA interpretation,NA,,
SYPT_PLQ,Syphilis TPPA titer,NA,,
TBIL,NA | NA | NA,chem | chem1 | chem2,,
TDC,NA | NA | NA,hema | hema1 | hema2,,
TG_PLC,Triglycerides,NA,,
TNEUT,NA | NA | NA,hema | hema1 | hema2,,
TNEUTN,NA | NA | NA,hema | hema1 | hema2,,
TOXGR,NA | NA | NA,hema | hema1 | hema2,,
TP_PLC,Total Protein,NA,,
TPRO,NA | NA | NA,chem | chem1 | chem2,,
TRCELL,NA | NA,hema | hema1,,
TRIG,Triglycerides (mmol/L),NA,,
TSH_PLC,Thyroid Stimulating Hormone,NA,,
URAC,NA | NA | NA,chem | chem1 | chem2,,
UREA,Urea (mmol/L),NA,,
UREA_PLC,Urea/BUN | Urea,NA | NA,,
URIC_PLC,Uric acid,NA,,
VB12_PLC,Vitamin B12,NA,,
VLDL,VLDL Cholesterol (mmol/L),NA,,
VOL_URV,Urine Volume,NA,,
WBC,NA | NA | NA,hema | hema1 | hema2,,
WBC_BLC,White Blood Cell count,NA,,
WBCH,Blood Leukocytes (GI/L),NA,,
WBCU,Urine Leukocytes,NA,,
YEAST,Yeast Cells,NA,,
