body_system,atc_code,reason_not_classified,terms
AGENTS USED FOR COMMON COLD,,not  class of interest,AGENTS USED FOR COMMON COLD
ANORECTAL PREPARATIONS,,not  class of interest,ALUMINUM ACETATE/HYDROCORTISONE ACETATE/LIDOCAINE/ZINC OXIDE
ANTI-DERMOINFECTIVES,,not  class of interest,NETICONAZOLE HYDROCHLORIDE
ANTIALLERGIC AGENTS NEC,,not  class of interest,ALLERGY MEDICATION NOS
ANTIANEMIC AGENTS,,not  class of interest,*ASCORBIC ACID/FERROUS SULFATE/*MUCOPROTEOSE| CA PANTOTHENATE/CYANOCOBALAMIN/FERROUS SULFATE/FOLIC ACID/NICOTINIC ACID/PYRIDOXINE/RIBOFLAVIN/NA ASCORBATE/THIAMINE| CALCIUM PHOSPHATE/FERROUS PHOSPHATE/VITAMINS NOS| FERRIC CARBOXYMALTOSE| FERRIC SODIUM GLUCONATE| FERROUS SULFATE/*INTRINSIC FACTOR/*LIVER EXTRACT/*MULTIVITAMIN NOS| FERROUS SULFATE/FOLIC ACID/SODIUM ASCORBATE| FOLIC ACID/IRON| FOLIC ACID/IRON BISGLYCINATE| FOLIC ACID/IRON NOS
"ANTIBIOTIC PREPARATIONS ACTING MAINLY ON GRAM-POSITIVE, G",,not  class of interest,FAROPENEM SODIUM
ANTIDOTES,,not  class of interest,SODIUM THIOSULFATE
ANTIMICROBIAL/OTHER DRUG COMBINATIONS,,not  class of interest,ANTACID NOS/DIPHENHYDRAMINE HYDROCHLORIDE/LIDOCAINE HYDROCHLORIDE/NYSTATIN| ATROPINE SULFATE/BENZOIC ACID/HYOSCYAMINE/METHENAMINE/METHYLTHIONINIUM CHLORIDE/PHENYL SALICYLATE| BENZOYL PEROXIDE/CLINDAMYCIN PHOSPHATE| BETAMETHASONE/GENTAMICIN SULFATE| CENTELLA/METRONIDAZOLE/MICONAZOLE NITRATE/NEOMYCIN SULFATE/POLYMYXIN B SULFATE| DEXAMETHASONE/NEOMYCIN SULFATE/POLYMYXIN B SULFATE
ANTIMICROBIAL/STEROID COMBINATIONS,,not  class of interest,BETAMETHASONE VALERATE/FUSIDIC ACID| BETAMETHASONE VALERATE/NEOMYCIN| CHLORTETRACYCLINE HYDROCHLORIDE/TRIAMCINOLONE ACETONIDE
ANTISEPTICS AND DISINFECTANTS,,not  class of interest,AMYLMETACRESOL/DICHLOROBENZYL ALCOHOL| ETHACRIDINE| THYMOL
