selection,term,route_classify
eye,MAXITROL,"eye, topical"
eye,PREDNISOLONE ACETATE,"eye, topical"
first,PREDNISONE,"oral/enteral, parenteral"
inhaled/nebulised,LIDOCAINE,"inhaled/nebulised, parenteral"
inhaled/nebulised,BUDESONIDE,"inhaled/nebulised, oral/enteral"
inhaled/nebulised,FLUTICASONE PROPIONATE,"inhaled/nebulised, nasal"
inhaled/nebulised,FLUTICASONE,"inhaled/nebulised, oral/enteral"
inhaled/nebulised,SALMETEROL,"oral/enteral, inhaled/nebulised"
nasal,BUDESONIDE,"topical, nasal"
nasal,MUPIROCIN,"nasal, topical"
oral/enteral,METFORMIN,"buccal/sublingual, oral/enteral"
inhaled/nebulised,FLUTICASONE PROPIONATE,"nasal, nasal, nasal, inhaled/nebulised, inhaled/nebulised, inhaled/nebulised"
inhaled/nebulised,FLUTICASONE PROPIONATE,"inhaled/nebulised, inhaled/nebulised, inhaled/nebulised, nasal, nasal, nasal"
inhaled/nebulised,BUDESONIDE,"inhaled/nebulised, inhaled/nebulised, inhaled/nebulised, inhaled/nebulised, inhaled/nebulised, nasal, nasal, nasal, nasal, nasal"
inhaled/nebulised,MOMETASONE FUROATE,"nasal, nasal, nasal, inhaled/nebulised, inhaled/nebulised, inhaled/nebulised"
inhaled/nebulised,CICLESONIDE,"inhaled/nebulised, inhaled/nebulised, nasal, nasal"
inhaled/nebulised,CICLESONIDE,"nasal, nasal, inhaled/nebulised, inhaled/nebulised"
inhaled/nebulised,MOMETASONE,"nasal, nasal, nasal, inhaled/nebulised, inhaled/nebulised, inhaled/nebulised"
inhaled/nebulised,MOMETASONE FUROATE,"inhaled/nebulised, inhaled/nebulised, inhaled/nebulised, nasal, nasal, nasal"
inhaled/nebulised,BUDESONIDE+FORMOTEROL FUMARATE,"inhaled/nebulised, oral/enteral"
topical,IBUPROFEN,"oral/enteral, topical"
topical,DICLOFENAC,"topical, parenteral"
take_any,GLYCERYL TRINITRATE,"topical, buccal/sublingual"
take_any,ESTRADIOL,"oral/enteral, topical"
take_any,TRIAMCINOLONE HEXACETONIDE,"parenteral, intraarticular"
take_any,TRIAMCINOLONE,"topical, intraarticular"
take_any,PARACETAMOL,"oral/enteral, rectal"
take_any,GLYCERYL TRINITRATE,"topical, oral/enteral"
take_any,FUROSEMIDE,"parenteral, oral/enteral, oral/enteral, oral/enteral"
take_any,GLYCERYL TRINITRATE,"parenteral, buccal/sublingual"
take_any,BISACODYL,"rectal, oral/enteral"
take_any,ESTROGENS CONJUGATED,"topical, oral/enteral"
take_any,PROMETHAZINE HYDROCHLORIDE,"parenteral, oral/enteral"
take_any,GLYCERYL TRINITRATE,"buccal/sublingual, topical"
take_any,ESTROGENS CONJUGATED,"rectal, oral/enteral"
take_any,HYOSCYAMINE SULFATE,"oral/enteral, buccal/sublingual"
take_any,CYANOCOBALAMIN,"parenteral, oral/enteral"
take_any,CYCLOPHOSPHAMIDE,"intraarticular, parenteral"
take_any,ESTROGENS CONJUGATED,"pv, oral/enteral, oral/enteral, oral/enteral"
take_any,HYDROXYZINE EMBONATE,"parenteral, parenteral, oral/enteral"
take_any,ESTROGENS CONJUGATED,"topical, oral/enteral, oral/enteral"
take_any,ESTROGENS CONJUGATED,"pv, oral/enteral, oral/enteral"
take_any,ESTROGENS CONJUGATED,"oral/enteral, pv"
take_any,ANTIINFECTIVES,"oral/enteral, parenteral"
take_any,PROGESTOGENS AND ESTROGENS IN COMBINATION,"topical, oral/enteral"
take_any,METRONIDAZOLE,"pv, oral/enteral"
take_any,CEFALEXIN,"oral/enteral, parenteral"
take_any,MORPHINE SULFATE,"oral/enteral, parenteral, oral/enteral"
take_any,PROCHLORPERAZINE EDISYLATE,"oral/enteral, parenteral"
take_any,CORTICOSTEROID NOS,"oral/enteral, parenteral"
take_any,METRONIDAZOLE,"oral/enteral, pv"
take_any,METRONIDAZOLE,"parenteral, oral/enteral"
