"","trial","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","B01","B02","B03","B05","B06","C01","C02","C03","C04","C05","C07","C08","C09","C10","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","G01","G02","G03","G04","H01","H02","H03","H04","H05","J01","J02","J04","J05","J06","J07","L","L01","L02","L03","L04","M01","M02","M03","M04","M05","M09","N01","N02","N03","N04","N05","N06","N07","P01","P02","P03","R01","R02","R03","R05","R06","R07","S01","S02","S03","V01","V03","V04","V06","V07","V08","V09","V10","V90","ZZZ","nct_id","n_unique_atc","medicine","condition"
"1","GSK101468_169",1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"NCT00381472",60,"ropinirole","Parkinson Disease"
"2","GSK101468_204",1,1,1,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,"NCT00314860",69,"ropinirole","Restless Legs Syndrome"
"3","GSK101468_205",1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,"NCT00197080",67,"ropinirole","Restless Legs Syndrome"
"4","GSK101468_249",1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,"NCT00363857",70,"ropinirole","Restless Legs Syndrome"
"5","GSK200109",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,1,1,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"NCT01957163",68,"umeclidinium bromide","Pulmonary Disease, Chronic Obstructive"
"6","GSK200110",1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,1,NA,1,1,NA,1,1,NA,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,"NCT02119286",65,"umeclidinium bromide","Pulmonary Disease, Chronic Obstructive"
"7","GSK200165_v02",1,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,1,1,NA,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,"NCT01916226",55,"fluticasone propionate","Rhinitis, Allergic, Perennial and Seasonal"
"8","GSK201315",1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,"NCT02236611",69,"umeclidinium bromide","Pulmonary Disease, Chronic Obstructive"
"9","GSKAC4116135",1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,"NCT01772134",72,"umeclidinium bromide","Pulmonary Disease, Chronic Obstructive, Ph"
"10","GSKAVA102670_v02",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NCT00348140",7,"rosiglitazone","Alzheimer's Disease"
