company,trial,unique_terms,unique_patient,entries,three_lvl_class
gsk,GSK200109,288,596,5724,68
gsk,GSK200110,332,604,5679,65
gsk,GSK201315,291,975,7745,69
gsk,GSKAC4116135,331,597,5821,72
gsk,GSKAVA102670_v02,11,8,17,7
gsk,GSKAVA102672_v02,15,11,33,11
gsk,GSKAVA105640_v02,220,247,1222,59
gsk,GSKB2C112060,153,347,1665,55
gsk,GSKDB2113360_v02,320,727,5300,65
gsk,GSKFFA112059,215,341,1799,60
gsk,GSKFFA115285,115,124,434,44
gsk,GSKFFR106080,152,142,642,54
gsk,GSKHGS1006_C1056_v05,503,826,11622,94
gsk,GSKHGS1006_C1057_v03,445,867,9356,85
gsk,GSKMEA115588,309,570,5070,71
gsk_new,GSK101468_169,262,344,2113,60
gsk_new,GSK101468_204,304,382,1719,69
gsk_new,GSK101468_205,255,314,1895,67
gsk_new,GSK101468_249,245,322,1600,70
gsk_new,GSK200165_v02,176,439,1683,55
gsk_new,GSKAVD100521_v02,478,667,8681,80
gsk_new,GSKCOR103560,293,230,1920,68
gsk_new,GSKCOR103561,328,497,3074,76
gsk_new,GSKFFR101816,168,160,699,50
gsk_new,GSKFFR30003,131,193,777,47
gsk_new,GSKFFR30006,249,238,1274,63
gsk_new,GSKFFR30007,190,201,942,54
gsk_new,GSKFFU111439,219,168,989,60
gsk_new,GSKROR104836,352,266,2247,69
