trial,unique_terms,unique_patient,entries,warning,Min,Max,Range of entries for meddra terms (up to 20)
GSK101468_169,668,376,2524,,1,49,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 29, 34, 37, 49"
GSK101468_204,18,468,604,,1,8,"1, 2, 3, 4, 5, 6, 8"
GSK101468_205,23,384,589,,1,23,"1, 2, 3, 4, 5, 11, 23"
GSK101468_249,590,357,2256,,1,24,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24"
GSK200165_v02,10,184,242,,1,4,"1, 2, 3, 4"
GSK201315,122,965,2441,,1,8,"1, 2, 3, 4, 5, 6, 7, 8"
GSKAVA102670_v02,1605,1367,7293,,1,38,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 28, 29, 30, 34, 37, 38"
GSKAVA102672_v02,1516,1397,6943,,1,40,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 33, 38, 40"
GSKAVA105640_v02,634,472,1683,,1,23,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 23"
GSKAVD100521_v02,37,671,3972,,1,23,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 23"
GSKCOR103560,197,277,1531,,2,20,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20"
GSKCOR103561,338,656,2763,,1,18,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
GSKHGS1006_C1056_v05,2664,826,14702,,1,95,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 52, 53, 54, 55, 57, 58, 59, 61, 62, 63, 65, 66, 67, 72, 75, 80, 91, 95"
GSKHGS1006_C1057_v03,2450,867,12331,,1,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 63, 65, 67, 72, 73, 77, 78, 79, 87, 92, 97, 104, 131"
