trial,race,smoke
GSK101468_169,"American Hispanic, Arabic/North African, Black, East & South East Asian, Other, White/Caucasian",
GSK101468_204,"African American/African Heritage, American Indian or Alaskan Native, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage","current, former or never"
GSK101468_205,"African American/African Heritage, American Indian or Alaskan Native, Mixed race, White - White/Caucasian/European Heritage","current, former or never"
GSK101468_249,"Black, Other, White",
GSK200109,"African American/African Heritage, American Indian or Alaskan Native, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage","Current smoker, Former smoker"
GSK200110,"African American/African Heritage, Asian - East Asian Heritage, Mixed race, White - White/Caucasian/European Heritage","Current smoker, Former smoker"
GSK200165_v02,"African American/African Heritage, American Indian or Alaskan Native, Asian - Central/South Asian Heritage, Asian - East Asian Heritage, Asian - South East Asian Heritage, Mixed race, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage","current, former, never"
GSK201315,"Asian - Central/South Asian Heritage, Asian - South East Asian Heritage, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage","Current smoker, Former smoker"
GSKAC4116135,"African American/African Heritage, American Indian or Alaskan Native, Asian - East Asian Heritage, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage","Current smoker, Former smoker"
GSKAR1103420,"Arab, Black African, Chinese, Coloured African, European, Japanese, Malays, Native Latin, Other, Other Asian, South Asian, unknown","current, former, never"
GSKAR2103413_v02,"Arab, Black African, Chinese, Coloured African, European, Japanese, Malays, Native Latin, Other, Other Asian, South Asian, unknown","current, former, never"
GSKAVA102670_v02,"African American/African, Asian, White","Current smoker, Former smoker, Never smoked"
GSKAVA102672_v02,"African American/African, American Indian or Alaska, Asian, White","Current smoker, Former smoker, Never smoked"
GSKAVA105640_v02,"African American/African Heritage, American Indian or Alaskan Native, Asian - Central/South Asian Heritage, Asian - East Asian Heritage, Asian - South East Asian Heritage, Mixed race, White - White/Caucasian/European Heritage","Current smoker, Former smoker, Never smoked"
GSKAVD100521_v02,"African American/African Heritage, American Indian or Alaskan Native, Asian - Central/South Asian Heritage, Asian - East Asian Heritage, Asian - South East Asian Heritage, Mixed race, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage","current, former, never"
GSKB2C112060,"African American/African Heritage, American Indian or Alaskan Native, Other, White","Former smoker, Never smoked"
GSKCOR103560,"African American/African Heritage, Asian - Central/South Asian Heritage, Asian - East Asian Heritage, Asian - South East Asian Heritage, White - White/Caucasian/European Heritage",
GSKCOR103561,"African American/African Heritage, American Indian or Alaskan Native, Asian - Central/South Asian Heritage, Asian - East Asian Heritage, Asian - South East Asian Heritage, Mixed race, Native Hawaiian or Other Pacific Islander, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage","current, former or never"
GSKDB2113360_v02,"African American/African Heritage, American Indian or Alaskan Native, Asian - Central/South Asian Heritage, Asian - Japanese Heritage, Mixed race, White - White/Caucasian/European Heritage","Current smoker, Former smoker"
GSKFFA112059,"African American/African Heritage, Asian - Central/South Asian Heritage, Asian - Japanese Heritage, Asian - South East Asian Heritage, Mixed race, Native Hawaiian or Other Pacific Islander, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage",
GSKFFA115285,"African American/African Heritage, American Indian or Alaskan Native, Asian - East Asian Heritage, Mixed race, White - White/Caucasian/European Heritage",
GSKFFR101816,"African American/African Heritage, Asian - East Asian Heritage, Asian - South East Asian Heritage, Mixed race, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage",former or never
GSKFFR106080,"African American/African Heritage, American Indian or Alaskan Native, Asian - Central/South Asian Heritage, Asian - East Asian Heritage, Asian - South East Asian Heritage, Mixed race, Native Hawaiian or Other Pacific Islander, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage",
GSKFFR30003,"African American/African Heritage, American Indian or Alaskan Native, Mixed race, Native Hawaiian or Other Pacific Islander, White - White/Caucasian/European Heritage",former or never
GSKFFR30006,"African American/African Heritage, American Indian or Alaskan Native, Asian - East Asian Heritage, Asian - South East Asian Heritage, Mixed race, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage",former or never
GSKFFR30007,"African American/African Heritage, Asian - Japanese Heritage, Mixed race, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage",former or never
GSKFFU111439,"African American/African Heritage, American Indian or Alaskan Native, Asian - Central/South Asian Heritage, Asian - South East Asian Heritage, Mixed race, Native Hawaiian or Other Pacific Islander, White - Arabic/North African Heritage, White - White/Caucasian/European Heritage",
GSKHGS1006_C1056_v05,"Alaska Native or American Indian, Asian, Black/African American, Native Hawaiian or Other Pacific Islander, White/Caucasian",
GSKHGS1006_C1057_v03,"Alaska Native or American Indian, Asian, Black/African American, White/Caucasian",
GSKMEA115588,"AMERICAN INDIAN OR ALASKA NATIVE, ASIAN, BLACK OR AFRICAN AMERICAN, MULTIPLE, WHITE",
GSKROR104836,"Asian - Central/South Asian Heritage, Asian - South East Asian Heritage, Mixed race, White - White/Caucasian/European Heritage","current, former or never"
