company,trial,nct_id,medicine,condition,antacids,anxiety,arthritis,prostate,CV,dementia,diabetes,erectile,epilepsy,glaucoma,gout,inflammatory,migraine,osteoporosis,pain,parkinsons,asthma_COPD,schizophrenia,thromboembolic,thyroid,urological,skin
gsk,GSK200109,NCT01957163,umeclidinium bromide,"Pulmonary Disease, Chronic Obstructive",12.4,21.2,15.7,4.7,54.6,0.6,12.9,1.5,0.8,1.6,1.1,1.1,0.5,2.1,18.4,1.3,0,2.6,2.4,7.9,0.6,1.1
gsk,GSK200110,NCT02119286,umeclidinium bromide,"Pulmonary Disease, Chronic Obstructive",12.9,16.5,15.6,6,52.4,0.3,15.3,1.9,1,1,5.2,1.6,0.6,2.4,14,1.5,0,1.5,3.1,9.5,1.1,0.6
gsk,GSK201315,NCT02236611,umeclidinium bromide,"Pulmonary Disease, Chronic Obstructive",9.2,9.9,8,2.2,59.1,0.1,12.5,0.4,0.9,0.9,2.8,0.6,0.1,1.1,8.5,0.6,0,1.3,2.9,6.2,0.4,0.5
gsk,GSKAC4116135,NCT01772134,umeclidinium bromide,"Pulmonary Disease, Chronic Obstructive, Ph",14.1,16.7,15.2,6.6,51.4,0.2,14.3,1,0.6,1.9,4.5,1.6,0.6,2.6,19.8,1,0,2.6,2.4,11.7,1,1
gsk,GSKAVA102670_v02,NCT00348140,rosiglitazone,Alzheimer's Disease,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.2,0,0,0,0,0
gsk,GSKAVA102672_v02,NCT00348309,rosiglitazone,Alzheimer's Disease,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0.1
gsk,GSKAVA105640_v02,NCT00428090,rosiglitazone,Alzheimer's Disease,2.4,11.7,13.6,2.2,26.7,0,1.7,0.2,0,1,0.7,1,0.5,1.6,12.8,0.2,0.5,0,0.7,2.1,0.3,0.2
gsk,GSKB2C112060,NCT01181895,vilanterol,Asthma,4,3.2,9.2,1.2,17.3,0,2.9,0,0,0,0.6,1.2,1.2,0.6,10.4,0,0,0,0,3.7,0.6,1.2
gsk,GSKDB2113360_v02,NCT01316900,umeclidinium bromide,"Pulmonary Disease, Chronic Obstructive",8.9,10.2,10.4,5,48.6,0.2,8,0.9,0.4,2.7,2.4,1.3,0.9,2.1,10.9,0.8,0,1.1,0.8,7,0.5,0.4
gsk,GSKFFA112059,NCT01159912,fluticasone furoate,Asthma,6,4.3,17.5,0,13.2,0,4.3,0,0,0.6,0.9,2.9,1.1,0.6,20.3,0,0,0.9,0.3,2.3,0,1.7
gsk,GSKFFA115285,NCT01436110,fluticasone furoate,Asthma,3.1,2.3,5.7,0.6,7.7,0,3.4,0,0,0,0,0.6,0,0.3,6.8,0,0,0.3,0,1.7,0.3,0.6
gsk,GSKFFR106080,NCT00289198,fluticasone furoate,"Rhinitis, Allergic, Perennial",2,5.6,11.3,1,9.3,0.3,2,0.3,0,0,0.3,0.7,0.3,1,19.5,0,0,0.3,0.3,4.6,0,1
gsk,GSKHGS1006_C1056_v05,NCT00410384,belimumab,Systemic Lupus Erythematosus,14.6,34.9,57.5,0.2,45,0.1,5,0.5,0,2.9,2.4,0,5.4,19.6,69,1.5,13.7,1.6,10.8,12.5,1.3,23.5
gsk,GSKHGS1006_C1057_v03,NCT00424476,belimumab,Systemic Lupus Erythematosus,17.1,19.1,46,0.1,41.9,0,2.8,0.2,0,1.7,2.2,0,1.5,7.5,55.9,0.1,7.8,1.5,5.2,8.4,0.3,18.9
gsk,GSKMEA115588,NCT01691521,mepolizumab,Asthma,23.6,11.6,8.6,2.6,23.8,0,8.6,0.2,0.5,1,1.2,24,0.7,7.4,13.6,0.5,0,1,0.2,5.5,0.7,7.9
gsk_new,GSK101468_169,NCT00381472,ropinirole,Parkinson Disease,3.8,16.8,6.6,2.8,18.8,0.8,2.5,0.8,0,1,0.5,1.3,0.8,2.3,3.6,0,0.8,1.3,0.3,1.5,0.5,0.8
gsk_new,GSK101468_204,NCT00314860,ropinirole,Restless Legs Syndrome,10.6,11.9,14.5,1.9,24.1,0.5,3.4,0.9,0.9,0.7,2.5,3,1.8,2.5,11,0,5.7,0.5,1.1,6.2,1.2,2.5
gsk_new,GSK101468_205,NCT00197080,ropinirole,Restless Legs Syndrome,12.8,19,23.4,1.3,27.6,0.8,2.6,0.3,0.8,0.8,1.3,3.6,2.3,4.2,15.1,0,6.2,0.3,0.3,8.9,0.8,8.1
gsk_new,GSK101468_249,NCT00363857,ropinirole,Restless Legs Syndrome,9.7,12.9,27.3,2.4,23.6,1,0.5,0.8,0,0.3,1,3.7,2.1,2.4,14.2,0,6.8,0,0.8,8.9,1,12.1
gsk_new,GSK200165_v02,NCT01916226,fluticasone propionate,"Rhinitis, Allergic, Perennial and Seasonal",5.6,9.7,17.9,0.1,8.5,0,3.7,0,0.6,0,0.1,1.2,1.5,0.1,9.1,0,8.7,0.4,0.1,4.8,0.1,0.7
gsk_new,GSKAVD100521_v02,NCT00116831,rosiglitazone,Atherosclerosis,5.4,21.4,9.7,5.4,0,0.1,84.2,0.4,0.6,3.3,3.6,5.2,2.2,2.7,13.5,2.5,5.7,1,2.7,8.5,0.1,8.9
gsk_new,GSKCOR103560,NCT00123903,carvedilol,"Heart failure, Congestive and Microalbuminuria",8.4,14,18.7,4.7,0,0.9,36.4,1.9,2.8,0,5.6,2.8,0.9,2.8,15.9,1.9,1.9,0,0,15,1.9,1.9
gsk_new,GSKCOR103561,NCT00273052,carvedilol,Hypertension,10.6,13.7,20.2,2.3,0,0,0.9,1.1,0.7,0.7,1.6,2.6,2.3,2.6,16.9,0.5,1.6,0.4,0.2,5.3,0.7,1.4
gsk_new,GSKFFR101816,NCT00118729,fluticasone furoate,"Rhinitis, Allergic, Seasonal",1.3,2.9,2.3,0.3,4.4,0.3,0.5,0,0.3,0,0,0.3,0.3,0.5,3.1,0.3,0,0,0,1.6,0.3,0.8
gsk_new,GSKFFR30003,NCT00115622,fluticasone furoate,"Rhinitis, Allergic, Seasonal",5.3,4,20.5,0.3,9.6,0.7,1,0.3,0,0,0,0.3,0.7,0,18.5,0,3.6,0,0,4.6,0,0.3
gsk_new,GSKFFR30006,NCT00117325,fluticasone furoate,"Rhinitis, Vasomotor",7.4,11.4,20.2,1.4,12.8,0.3,2.8,0,0.6,0,0.3,3.4,2.3,2.8,21.6,0.6,4.3,0.3,0.6,7.4,0.9,1.7
gsk_new,GSKFFR30007,NCT00118703,fluticasone furoate,"Rhinitis, Vasomotor",6.6,11.5,16.4,0.9,9.5,0.6,1.4,0,1.1,0,0.9,0.6,1.1,2,18.1,0,2.3,0.3,0,7.2,0.3,1.1
gsk_new,GSKFFU111439,NCT00609674,fluticasone furoate,"Rhinitis, Allergic, Perennial",4.4,4.8,15.6,0.6,8.3,0,2.2,0,0.3,0,0.6,2.2,1.9,1.3,10.5,0.3,0,0.3,0.3,5.7,0,1.6
gsk_new,GSKROR104836,NCT00329602,ropinirole,Restless Legs Syndrome,5.2,9.9,11.9,2.7,30.7,1.2,4.2,0.2,0.5,3.7,1.5,3,5,3.5,10.4,0,4.2,0,1,11.1,0.5,3.5
