"trial","bmi","bp","demo","labs","medhist","rand"
"GSK101468_169","393","393","393","391","376","393"
"GSK101468_204","556","565","565","564","468","565"
"GSK101468_205","383","384","384","383","384","384"
"GSK101468_249","381","381","381","381","357","381"
"GSK200109","619","619","619","608","X","619"
"GSK200110","620","620","620","620","X","620"
"GSK200165_v02","680","680","682","X","150","682"
"GSK201315","1034","1034","1037","X","965","1037"
"GSKAC4116135","617","617","617","X","X","617"
"GSKAR1103420","19987","19973","19987","19911","X","19987"
"GSKAR2103413_v02","12050","12044","12058","11892","X","12058"
"GSKAVA102670_v02","1470","1469","1470","1470","1367","1470"
"GSKAVA102672_v02","1475","1475","1476","1476","1397","1476"
"GSKAVA105640_v02","580","580","580","580","472","580"
"GSKAVD100521_v02","X","X","672","670","671","672"
"GSKB2C112060","347","347","347","X","X","347"
"GSKCOR103560","107","107","107","107","107","107"
"GSKCOR103561","566","568","568","568","568","568"
"GSKDB2113360_v02","845","845","846","845","X","846"
"GSKFFA112059","349","X","349","348","X","349"
"GSKFFA115285","351","351","351","X","X","351"
"GSKFFR101816","X","X","383","X","X","383"
"GSKFFR106080","302","302","302","302","X","302"
"GSKFFR30003","303","303","303","303","X","303"
"GSKFFR30006","351","351","352","352","X","352"
"GSKFFR30007","348","348","348","348","X","348"
"GSKFFU111439","314","314","315","315","X","315"
"GSKHGS1006_C1056_v05","826","819","826","819","826","826"
"GSKHGS1006_C1057_v03","867","865","867","865","867","867"
"GSKMEA115588","580","580","580","580","X","580"
"GSKROR104836","402","404","404","404","X","404"
