tblname,varname,company,tbl_order
rand,id,gsk,1
rand,randdt,gsk,1
rand,tpatt,gsk_new,1
rand,trial,gsk,1
rand,trt,gsk,1
bp,param,gsk,2
bp,value,gsk,2
demo,age,gsk,4
demo,race,gsk,4
demo,sex,gsk,4
demo,smoke,gsk,4
conmed,cmcomp,gsk,5
conmed,cmdecod,gsk,5
conmed,cmroutcd,gsk,5
conmed,cmroute,gsk,5
conmed,who_atcc,gsk,5
conmed,whoterm,gsk,5
medhist,meddra,gsk,6
medhist,mhsoc,gsk_new,6
medhist,mhterm,gsk,6
labs,labnm,gsk_new,7
labs,labnmx,gsk_new,7
labs,labstd,gsk_new,7
labs,labstdu,gsk_new,7
labs,lbstnrhi,gsk,7
labs,lbstnrlo,gsk,7
labs,lbstresn,gsk,7
labs,lbstunit,gsk,7
labs,lbtest,gsk,7
labs,lbtestcd,gsk,7
labs,llc,gsk_new,7
labs,newlab,gsk,7
labs,ulc,gsk_new,7
