body_system,terms
5-HT1 AGONISTS,FROVATRIPTAN SUCCINATE
ADRENAL HORMONE PREPARATIONS,ADRENAL HORMONE PREPARATIONS| PARAMETHASONE ACETATE
"AGENTS AFFECTING METABOLISM,N.E.C.",ALENDRONATE SODIUM HYDRATE| MIZORIBINE| SODIUM RISEDRONATE HYDRATE
AGENTS FOR OPHTHALMIC USE,NIPRADILOL| TRANILAST
AGENTS FOR PEPTIC ULCER,AGENTS FOR PEPTIC ULCER| ECABET SODIUM| PLAUNOTOL| SODIUM ALGINATE| SODIUM AZULENE SULFONATE_L-GLUTAMINE| SODIUM RABEPRAZOLE
AGENTS USED FOR COMMON COLD,AGENTS USED FOR COMMON COLD
AMINOGLYCOSIDE ANTIMICROBIALS,NEOMYCIN SULFATE
ANALGESIC/OTHER DRUG COMBINATIONS,*ASPIRIN/*BUTALBITAL/*CAFFEINE/*CODEINE PHOSPHATE/*DOXYLAMINE/*PARACETAMOL/*SALICYLAMIDE| *ASPIRIN/*CAFFEINE/CODEINE PHOSPHATE/*MEPROBAMATE/PARACETAMOL/*PROMETHAZINE| *CAFFEINE/*CODEINE PHOSPHATE/*DIPHENHYDRAMINE/PARACETAMOL| *CAFFEINE/CODEINE PHOSPHATE/*MEPROBAMATE/PARACETAMOL/*PROMETHAZINE| *CODEINE PHOSPHATE/*DEXTROPROPOXYPHENE/*GLUTAMINE/PARACETAMOL/*PEMOLINE/*PROMETHAZINE| *CYANOCOBALAMIN/*DICLOFENAC/*DIPYRONE/*PARACETAMOL/PYRIDOXINE/THIAMINE| ANALGESIC/OTHER DRUG COMBINATIONS NOS| BUTALBITAL/CAFFEINE/CODEINE PHOSPHATE/PARACETAMOL| BUTALBITAL/CAFFEINE/PARACETAMOL| BUTALBITAL/PARACETAMOL
ANALGESICS,*CAFFEINE/CODEINE PHOSPHATE/PARACETAMOL| ANALGESIC NOS| CAFFEINE CITRATE/CODEINE PHOSPHATE/PARACETAMOL| CAFFEINE/CODEINE PHOSPHATE/MEPROBAMATE/PARACETAMOL| CAFFEINE/ERGOTAMINE TARTRATE/PARACETAMOL| CAJUPUT OIL/EUCALYPTOL/MENTHOL/METHYL SALICYLATE| CODEINE PHOSPHATE/IBUPROFEN| CODEINE PHOSPHATE/IBUPROFEN/PARACETAMOL| CODEINE PHOSPHATE/PARACETAMOL| DEXTROPROPOXYPHENE NOS/PARACETAMOL
"ANALGESICS,ANTI-ITCHINGS,ASTRIGENTS AND ANTI-INFLAMMATORY","ANALGESICS,ANTI-ITCHINGS,ASTRIGENTS AND ANTI-INFLAMMATORY| DIFLORASONE DIACETATE| PREDNISOLONE FARNESYLATE"
ANDROGENS AND ANABOLIC STEROIDS,TESTOSTERONE CYPIONATE
