term,match1,match2,match3,match4,match5
ace inhibitors,"ace inhibitors, plain","ace inhibitors, plain",c1 inhibitor,"ace inhibitors, combinations",ace inhibitors and diuretics
oral antidiabetics,oral b anti-cavity,oral b anti-cavity,orajel anticavity,orajel anticavity,oralone
compression stockings application,compro,complement c1 esterase inhibitor (recombinant),combinations of tetracyclines,competact,compoz
serum lipid reducing agents,sermorelin acet,serum gonadotrophin,sermorelin (substance),sermorelin (substance),serpex
unspecified herbal,unspec drug code,fucidin h,fucidin h,unifed,uni serp
ultraviolet-b treatment,ultracet,ultracet,ultramol,ultra tears,ultrase
puva,pv,upa,pneumovax ii,pneumovax ii,pavulon
investigational drug,invega,invita d,inversine,inverted sugar,invert sugar
calcifort                          /01767901/,calcort,calc,calcid,calcet,calcet
pantoprazole sodium sesquihydrate,pantoprazolum,pantoprazole,pantoprazol,pantoprazole (substance),pantoprazole [chemical/ingredient]
"heparin-fraction, calcium salt",heparinic acid,heparinic acid,heparinic acid,"heparin, unfractionated","heparin, unfractionated"
prasugrel hydrochloride,prasugrel,priscoline hydrochloride,prasugrel (substance),prascend,pred
glucosamine w/chondroitin sulfate,glucosamine sulf,glucosamine hcl,glucosamine hcl meltdown,glucosamine hcl fizz,glucosamine [chemical/ingredient]
carbohydrates nos w/potassium chloride/sodium,carbohydrates,carbohydrates,carbohydrate product,carbohydrate,carbohydrate (substance)
insulin zinc suspension (crystalline),insulin pork,insulin pork,insulin pork,insulin pork,insulin glulisine (substance)
synap,synera,synera,synera,synera,synera
heparin-fraction,heparin co-factor i,heparinate,heparinate,heparinate,"heparin, unfractionated"
phlebodril                         /00801901/,phlemex,phlemex,peo,phlexy-vits,plendil
lactec,lactase,lactocal,lactocal,lactrase,lactocal
solita-t1,solian,soliqua,soliqua,soltamox,orlistat
novomix,novolin,novolin,novolin,novolin,novolin
magnyl,magnalox,magnalox,magnalox,vaginyl,vaginyl
multivitamin                       /00831701/,multivitamin with iron,multivitamin with iron,multaq,"multivitamins, plain",multihistamine-d
nonoxinol,noroxin,noroxin,nemonoxacin,novolin,novolin
pritorplus,pro-plus,perio plus,picot plus,picot plus,picot plus
calcium d3                         /01483701/,calcium,calcium,calcid,calcid,calciquid
epacaps                            /06852001/,eaca,eacs,epaxal,eparina,eparina
mag-lax,mag-ox,mag-ox,magmilax,magmilax,magmilax
eufusol,euthasol,euthasol,nufol,nufol,cesol
carperitide,carpiperone,carifree,carifree,care,care
vitcofol,vitazol,vitazol,vitazol,vitazol,vitazol
minerals nos w/vitamins nos,mineral salts in combination,mineral oil,mineral oil oil,mineral oil oral oil,mineral oil oral solution
ringer-lactate,ringl,rinatec,react,react,rena-vite
meroken new,meropenem,meropenemum,meronem,merocets,merocets
triobe                             /01502401/,trionate,trionate,trien,trioxin,trioxin
antidiarrhoeal microorganisms,antidiarrheal microorganisms,antidiarrheal microorganisms,anti-diarrhea,antithyroid preparations,antiglaucoma preparations and miotics
doxorubicin hydrochloride,doxorubicin hcl,doxorubicin,doxorubin,doxorubicine,doxorubicin liposomal
omega-3-acid ethyl ester,omega,omega-3-triglycerides incl. other esters and acids,amben ethyl ester,amben ethyl ester,amben ethyl ester
multivitamin,multihistamine-d,multihistamine-d,multihistamine-d,multihistamine-d,multihistamine-d
polycarbophil,polycarbophil calcium,polycarb,polycarbophil (as calcium carbophil),polysporin,polytracin
diane,dianette,disadine,disadine,disadine,disadine
cardilan                           /01035601/,cardioxan,cardinol,cardoxin,cardular,carduran
neurobion                          /00176001/,neurobloc,neurocaine,neurocaine,neurocaine,neupro
solpadeine                         /00154101/,solpadeine max,solprin,solprin,solprin,solpadol
narine                             /01202601/,nariz,nariz,nariz,nariz,nariz
hepagrisevit forte-n               /01079901/,heparin,heparin,heparin,hepacon,hepat b
ultraviolet light,ultracet,ultracet,ultramol,ultravate,ultrase
albumin human,albumin,"albumin, human, microspheres",albumin tannate,albumin (substance),albumins
nitroprusside sodium,nitroprusside,nitroprusside (substance),nitropress,nitrous ox,nitrous oxide
calcium with vitamin d             /01233101/,calcium,calcium,calcid,calcid,calciquid
centrum silver                     /01292501/,centrin,centex,centex,centussin,centussin
anavenol                           /06457501/,anapen,anacin,anacin,anacin,anacal
uv-a light,valicot,valni,uramit,uramit,uramit
methylethylpiridinol succinate,methylthioninium chloride,methylthioninium chloride,methylthioninium chloride stain,methylthioninium chloride stain,methylprednisolone topical
nefazan compuesto,nefazodona,nefazodone,nefazodonum,nefazodone (substance),nefazodone hcl
heparin calcium,heparin calc,heparinic acid,heparinic acid,heparin cofactor i,"heparin, combinations"
potassium aspartate,potassium citrate,potassium acetate,potassium,potassium canrenoate (substance),potassium perchlorate
centrum                            /00554501/,centran,centrax,centex,centergy,centergy
fortrans,fortabs,fortabs,fortabs,fortabs,fortaz
glimetal,glimil,gliadel,glumetza,glimepiride and pioglitazone,alimta
dobutamine hydrochloride,dobutamine hcl,dobutamine,dobutamin,dobutamina,dobutaminum
indapamide w/perindopril,indapamide,indapamid,indapamida,indapamidum,indapamide [chemical/ingredient]
caltrate plus                      /01438001/,caltrate plus d,caltrate plus d,caltrate plus d,caltro,calagel
beminal with c,bemiparin,bemiparin (substance),vitabee with c,vitabee with c,vitabee with c
trophicard,tropicamid,tropicamida,tropicamide,tropicamidum,tropicacyl
uv-b light,oc eight,jublia,novoeight,sublimate,vzig
b-komplex,bromplex hd,bromplex hd,bromplex hd,bisa-plex,bisa-plex
vinorelbine tartrate,vinorelbina,vinorelbine,vinorelbin,vinorelbine (substance),vinorelbinum
biselect                           /01166101/,bc,bc,bc,bc,bisolax
centrum advantage,centrum advance,centany,centany,centrum pro nutrients,centrum pro nutrients
irinotecan hydrochloride,irinotecan hcl,irinotecan,irinotecan [chemical/ingredient],irinotecan in parenteral dosage form,irinotecan (substance)
nolotil                            /00473101/,no,nolix,noltam,nolahist,noludar
protamine sulfate,protamines,protamine (substance),protamine,protacine,protionamide (substance)
flebobag ring lact,flebogamma,flebogamma,flebogamma dif,flebogamma dif,flecainida
folic acid w/vitamin b nos/vitamin c,folic acid/iron/multivitamins,folic acid and derivatives as antianemics,folic acid (substance),folitab,folitab
tirofiban hydrochloride,tirofiban,acriflavine hydrochloride,tirofibanum,tirofiban [chemical/ingredient],tirofiban (substance)
solita-t3,solian,soliqua,soliqua,soltamox,orlistat
thiotriazoline,thioridazine,thioridazin,thiotal,thiotal,thioridazinum
water for injection,warfarin,"watersoluble, nephrotropic, high osmolar x-ray contrast media",aerodine,aerodine,aerodine
calcium polystyrene sulfonate,calc polystyr sulfonate,calcitrene,calcipotriene,calcium phosphate product,calcium glucoheptonat
osmosal,osmolex,osmoglyn,osmanil,somnasol,somnasol
eicosapentaenoic acid ethyl ester,trans-butenedioic acid dimethyl ester,aminoacetic acid,4-aminobenzoic acid ethyl ester,4-aminobenzoic acid ethyl ester,4-aminobenzoic acid ethyl ester
fluticasone w/salmeterol,fluticasone / salmeterol,fluticasone salmeterol,fluticasone/salmeterol,fluticasone - salmeterol,fluticasone-salmeterol
insulin init,insulin bovine,insulin bovine,insulin bovine,insulin bovine,insulin (swine)
vigran,virgan,viranol,viranol,vigantol,vigabatrin
vitergan master,vira a,vira a,viraa,viraa,vitravene
insulin isophane bovine,insulin bovine,insulin bovine,insulin bovine,insulin bovine,insulin glulisine (substance)
neurobion,neurobloc,neurocaine,neurocaine,neurocaine,neupro
ancovert,corvert,ancotil,ancotil,antivert,anecortave
calcium w/vitamin d nos,calcium,calcium,calcium carbonate/vitamin d oral capsule,calcium carbonate/vitamin d oral capsule,calcium citrates
cordalin                           /00343201/,cordran,cordran sp,cordarone,cordarone x,cordron hc
fluticasone propionate w/salmeterol,fluticasone nasal,fluticasone nasal,fluticasone nasal,"fluticasone propionate, salmeterol 100-50mcg inhalation powder","fluticasone propionate, salmeterol 250-50mcg inhalation powder"
xalacom,alacol,alacol,alacol,alacol,alacol
dabigatran,dabigatran etexilate,dabigatran etexilate (substance),daktarin,daktarin,daktarin
ferropolichondrum,ferrocin,ferrotsin,ferocon,ferocon,ferocon
magnetic therapy,magnesium hydrate,magnesium hydrate,magnesia,magnesite,magnesium sulphate
