labnm,labnmx,keep
CRE,Creatinine |  | Baseline creatinine [umol/L],1
GFRC,Creatinine clearance | ,1
GLU,Glucose | Baseline fasting plasma glucose [mg/dL],1
HGB,Haemoglobin |  | Baseline haemoglobin [g/L],1
PLTCT,Platelet count | Platelets | ,1
SGOT,"AST/GOT, SGOT | ",1
SGPT,"ALT/GPT, SGPT | ",1
A1AT,Alpha1-antitrypsin,
ACT,Activated clot time,
ALB,Albumin,
ALKP,Alkaline phosphatase | ,
AMA,AMA (qual),
AMYL,Amylase,
ANA,ANA (qual),
APOAI,Apolipoprotein A-I,
APOB,Apolipoprotein B,
APTT,Activated Partial Thromboplastin Time,
ASMA,ASMA (qual),
BANDABS,"Bands, absol.",
BANDS,"Neut., bands (stabs)",
BANDSM,"Neut., bands (stabs)",
BAS,Basophils,
BASABS,"Baso, absol.",
BHCGC,"HCG, beta subunit (qual)",
BICARB,Bicarbonate,
BILID,"Bilirubin, direct",
BILII,"Bilirubin, indirect | ",
CA,Calcium,
CERU,Ceruloplasmin,
CHOL,"Cholesterol, total | Baseline total cholesterol [mmol/L]",
CK,Creatine kinase,
CK_MB,CK-MB,
CKMBABS,CK-MB enzymatic,
CL,Chloride,
CRPHS,C-reactive protein high sensitive,
CYSTATC,Cystatin C - serum,
ECT,Ecarin clotting time,
EGFR,Baseline eGFR (MDRD) [mL/min/1.73m2],
EOS,Eosinophils,
EOSABS,"Eosinophils,absol. | Eosinophils, absol.",
FESAT,Iron % saturation,
FFA,Free fatty acid,
GGT,GGT,
GLUNF,Glucose non-fasting,
HBA1C,"Hgb A 1c,glycated | Baseline HbA1c [%]",
HBDP,Hepatitis B DNA PCR,
HBSAG,Hep B surf. antigen (qual),
HBSAGCO,"Hep B surf. antigen, confirm. (qual",
HCAB,Hep C antibody (qual),
HCRP,Hepatitis C RNA PCR (qual),
HCT,Haematocrit | ,
HCVGEN,HCV genotype (qual),
HDL,HDL | Baseline HDL cholesterol [mmol/L],
INR,PT-INR,
K,Potassium,
LDH,LDH,
LDL,LDL | Baseline LDL cholesterol [mmol/L],
LIPASE,Lipase,
LKMAKZ,L-K microsome Ab (qual),
LYMABS,"Lymphocyte,absol. | Lymphocyte, absol.",
LYMATABS,"Lymphocytes, atypical absol.",
LYMPH,Lymphocytes,
LYMPHAT,"Lymphocytes, atypical",
MCH,MCH,
MCHC,MCHC,
MCV,MCV,
METAABS,Metamyelocytes absolute,
METAMY,Metamyelocytes,
MG,Magnesium,
MONABS,"Monocyte,absol. | Monocyte, absol.",
MONO,Monocytes,
NA,Sodium,
NEUABS,"Neutrophil, absol.",
NEUT,Neutrophils,
P,Phosphate,
PRT,PRT,
PRTSEC,Prothrombin time,
PTT,PTT,
RBC,Red cell count | Red blood cell ct.,
RDW,Red cell distribution width,
RET,Reticulocyte count,
SEGABS,"Neut.,poly.(segs), absol.",
SEGS,"Neut.,poly (segs)",
TBILI,"Bilirubin, total | ",
TFER,Transferrin,
TFERP,Transferrin saturation,
TPONI,Troponin I,
TPONIULT,Troponin I - ultrasensitive assay,
TPONT,Troponin T,
TPONTZ,Troponin T (qual),
TPRO,"Protein, total",
TRIGL,Triglyceride,
TSH,TSH,
TT,Thrombin time,
UALBCR,U.microalbumin creatinine ratio,
UALBUM,U. albumin,
UCULZ,U. culture (qual),
UKET,U. ketone (qual),
UNIT,U. nitrite (qual),
UPH,U. pH,
UPROZ,U. protein (qual),
UREA,Urea (BUN) | Urea,
URIC,Uric acid,
USEDI,U. sediment (qual),
USRBCZ,U.sed. RBC (qual),
USWBCZ,U.sed. WBC (qual),
WBC,White cell count | White blood cell ct.,
