term,slct,second_class,match1,match2,match3,match4,match5
a & d ointment,Non,,a & p,a & l laboratories protect,a & l laboratories 10 mix 10,ado,azdone
a.p.c.                             /00005201/,Non,,a.p.l.,ap,ap,a.t.,abpc
abacavir sulfate,1,,abacavir (substance),abacavir,abacavir - lamivudine,abacavir + lamivudine,"abacavir sulfate 600mg, lamivudine 300mg oral tablet"
abacavir sulfate w/lamivudine,1,,abacavir / lamivudine,abacavir sulfate-lamivudine combination,abacavir/lamivudine,abacavir + lamivudine,"abacavir sulfate 600mg, lamivudine 300mg oral tablet"
abetil                             /01418501/,Non,,abetimus,e,e,abtrim,abtrim
abortion induced,Non,,absorbine lidocaine,absorbine lidocaine,absorbine lidocaine,absorbine lidocaine,absorbine lidocaine
absorbase,Non,,absorica,absorica,absorbable cellulose,absorbable gelatin sponge,abstral
ace inhibitors,1,,"ace inhibitors, plain","ace inhibitors, plain",c1 inhibitor,"ace inhibitors, combinations",ace inhibitors and diuretics
acedip,Non,,acidex,actedril,actedril,acepril,acetadrink
acefylline,5,,acetylcholine,acetylin,acetylin,acetylin,acefylline piperazine
aceoto plus                        /01778701/,Non,,aceon,acenol,acebutolol,acepril,acorvio plus
acesistem                          /01098101/,Non,,aceta,acezide,acea,acetadote,acetadote
acetone,Non,,acetarsone,acetarsone,acetarsone,acetoxolone,acetominophen
acetylsalicylic acid w/calcium,1,,acetylsalicylic acid,acetylsalicylic acid,acetylsalicylic acid,acetylsalic acid,acetylsalic acid
acifugan,Non,,acupan,acidum gadobenicum,acriflavine,acid gone,acid gone
aciloc-rd,Non,,acc-,aciclovir,aciclovir,aciclovir,aciferol d
aclatonium,Non,,aclaro,aclacin,alcuronium,aclarubicin,alcaftadinum
aclatonium napadisilate,Non,,aclasta,aclacinomycin a,amlactin ap,amlactin ap,aclarubicin (substance)
actifed                            /00005601/,1,,actifed,actifed,actd,actiq,actiq
actifed compound linctus,actifed,,acticon,acticon,actifed with codeine,actifed with codeine,actifed with codeine
actifed compound linctus           /00138201/,actifed,,acticon,acticon,actisite,actisite,actisite
actit,Non,,actisite,actisite,actisite,actisite,actisite
actonel combi                      /02223601/,1,,actonel,actonorm,actos,acne,actron
acuilix                            /01307801/,Non,,acuvail,acuflex,acuvail,acular,acular
adenosine triphosphate,1,,adenosine,adenosin,adenosine aminohydrolase,adenosina,adenosylmethionine a s
adsorbotear,Non,,adsorbonac,adsorbonac,adsorbonac,adsorbocarpine,adsorbocarpine
advil allergy sinus,1,,advil cold & sinus,advil cold & sinus,advil cold & sinus,advil cold & sinus,advil cold & sinus
advil pm                           /05810501/,1,,advil pm,advil pm,advil pm,advil pm,advil pm
aescusan                           /01088001/,Non,,asa,asa,asa,ascur,aerospan
afi-b-total,Non,,afinitor,afinitor,afrinol,ak-trol,ak-trol
afi-b-total                        /00322001/,Non,,afinitor,afinitor,afrinol,attia,aftera
afloqualone,Non,,afluon,afluon,afluon,alfaxolone,alocane
ag.for treatm.of hemorrh.and anal fiss.for to,1,,agents for treatment of hemorrhoids and anal fissures for topical use,agkistrodon rhodostoma venom protease,aota,a.t.,asfotase alfa in parenteral dosage form
agarol                             /00115001/,1,,agoral,agoral,alor,alor,alor
agents against amoebiasis and other protozoal,1,,agents against amoebiasis and other protozoal diseases,agents against leishmaniasis and trypanosomiasis,"agents for dermatitis, excluding corticosteroids",agents acting on the renin-angiotensin system,other agents against amoebiasis and other protozoal diseases
aida,Non,,apidra,amidal,amidal,amidal,amidal
aida                               /06358701/,Non,,aidulan,aidulan,aidulan,aidulan,aidulan
aktiferrin,Non,,akten,akten,akten,akten,akten
aktiferrin                         /00631201/,Non,,akten,akten,akten,akten,akten
akwa tears                         /01635801/,Non,,akwa tears,akten,akten,akten,akten
albumin human,1,,albumin,"albumin, human, microspheres",albumin tannate,albumin (substance),albumins
albutamol,3,,salbutamol,salbutamol,albuterol,albuterol,alba
alcophyllex,Non,,alcohol,alcohol,alcohol,"alcohol,ethyl","alcohol,ethyl"
alcos-anal                         /00368401/,Non,,alcobon,alcobon,alcohol,alcortin,alcortin
alernyl-b,Non,,aler-dryl,aler-dryl,alera,altaryl,alkeran
alfa-adrenoceptor blocking agents and diureti,1,,alpha and beta blocking agents and other diuretics,alpha-adrenoreceptor antagonists and diuretics,alpha and beta blocking agents and thiazides,alpha- and beta-adrenoreceptor agonists,alpha- and beta-adrenoreceptor agonists
alfentanil hydrochloride,1,,alfentanil hcl,alfentanil,alfentanyl,alfenta,alfentanilum
algifen,Non,,balgifen,alginate,algitec,allfen,agif
algifen                            /06430701/,Non,,algin,algitec,algitec,alginic acid,agif
algiril,Non,,algin,algiotic,algiotic,algiotic,algiotic
algolysin,Non,,l-lysin,algicon,alogliptin,alfuzosin,collalysine
alka-seltzer                       /00057201/,1,,alka-seltzer,alka-seltzer,alka-seltzer,alka-seltzer,alka-seltzer
alka-seltzer                       /01754201/,1,,alka-seltzer,alka-seltzer,alka-seltzer,alka-seltzer,alka-seltzer
alkonium,Non,,alkums,alkums,aloquin,alkiron,liskonum
allegra-d                          /01367401/,1,,allegra-d,allegra-d,allegra,allerx-d,allerx-d
allegra-d                          /01413301/,1,,allegra-d,allegra-d,allegra,allerx-d,allerx-d
"allergen, grass pollen",1,,allergens,allergens,allergen ear,allergen ear,allergen ear
allergospasmin,Non,,allegron,allercon,allercon,allercaine,allercaine
almagel                            /00909601/,Non,,almagate,almacone,almacone,almacone,almazine
