lbtest,slct,lbtest_rename
ALT/SGPT,1,ALT/SGPT
AST/SGOT,1,AST/SGOT
CrCL BASED ON THE C-G EQUATION,1,CrCL BASED ON THE C-G EQUATION
CREATININE,1,CREATININE
CREATININE CLEARANCE - ESTIMATED,1,CREATININE CLEARANCE - ESTIMATED
ESTIMATED GLOMERULAR FILTRATION RATE (GFR),1,ESTIMATED GLOMERULAR FILTRATION RATE (GFR)
ESTIMATED GLOMERULAR FILTRATION RATE (GFR) CKD-EPI,1,ESTIMATED GLOMERULAR FILTRATION RATE (GFR) CKD-EPI
"GLUCOSE, FASTING",1,"GLUCOSE, FASTING"
"GLUCOSE, NON-FASTING",1,"GLUCOSE, NON-FASTING"
"GLUCOSE, NON-FASTING OR RANDOM",1,"GLUCOSE, NON-FASTING OR RANDOM"
HEMOGLOBIN,1,HEMOGLOBIN
PLATELET COUNT,1,PLATELET COUNT
BODY WEIGHT IN KG,1,BODY WEIGHT IN KG
Alanine Aminotransferase,1,ALT/SGPT
Aspartate Aminotransferase,1,AST/SGOT
Creatinine,1,CREATININE
Glucose,1,GLUCOSE
Hemoglobin,1,HEMOGLOBIN
Platelets,1,PLATELET COUNT
