lbtestcd,lbspec,lbtest,keep,newlab
ALT,SERUM,Alanine Aminotransferase,1,ALT
AST,SERUM,Aspartate Aminotransferase,1,AST
CRCL,BIOCHEM,,1,CREA
CREA,BIOCHEM,,1,CREA
CREAT,PLASMA/SERUM,Creatinine,1,CREA
GLUC,BIOCHEM,Glucose | ,1,GLU
GLUC,URINE,Glucose | ,0,GLU
HGB,HEMA,Hemoglobin | ,1,HGB
HGB,BLOOD,Hemoglobin | ,1,HGB
PLAT,BLOOD,Platelets,1,PLAT
PLAT2,HEMA,,1,PLAT2
SGLUC,BIOCHEM,,1,GLU
SGOT,BIOCHEM,,1,AST
SGPT,BIOCHEM,,1,ALT
ABSBAN,HEMA,,,
ABSBAS,HEMA,,,
ABSEOS,HEMA,,,
ABSLYM,HEMA,,,
ABSMON,HEMA,,,
ABSNEU,HEMA,,,
ABSSEG,HEMA,,,
ALB,SERUM | BIOCHEM,Albumin | ,,
ALKPHS,BIOCHEM,,,
ALP,SERUM,Alkaline Phosphatase,,
ALPAMY,BIOCHEM,,,
BAN,HEMA,,,
BAS,HEMA,,,
BASO,BLOOD,Basophils,,
BASOLE,BLOOD,Basophils/Leukocytes,,
BDYWGT,BIOCHEM,,,
BIC,BIOCHEM,,,
BICARB,SERUM,Bicarbonate,,
BILI,SERUM | URINE,Bilirubin | Bilirubin,,
BUN,SERUM | BIOCHEM,Blood Urea Nitrogen | ,,
CA,SERUM,Calcium,,
CALC,BIOCHEM,,,
CALCIO,BIOCHEM,,,
CCALC,BIOCHEM,,,
CHLOR,BIOCHEM,,,
CK,BIOCHEM,,,
DPLCNT,HEMA,,,
EALKPHS,BIOCHEM,,,
EOS,BLOOD | HEMA,Eosinophils | ,,
EOSLE,BLOOD,Eosinophils/Leukocytes,,
ERYMOR,HEMA,,,
ESL,BIOCHEM,,,
ESTRDIOL,PLASMA/SERUM,Estradiol,,
FOLACI,BIOCHEM,,,
FSH,SERUM,Follicle Stimulating Hormone,,
FTEST,BIOCHEM,,,
GGT,SERUM,Gamma Glutamyl Transferase,,
HCG,SERUM | BIOCHEM,Choriogonadotropin Beta | ,,
HCT,BLOOD | HEMA,Hematocrit | ,,
HCYST,BIOCHEM,,,
HYVITD,BIOCHEM,,,
HYVITD4,BIOCHEM,,,
HYVITD5,BIOCHEM,,,
K,PLASMA/SERUM,Potassium,,
KETONES,URINE,Ketones,,
LDH,BIOCHEM,,,
LYM,BLOOD | HEMA,Lymphocytes | ,,
LYMLE,BLOOD,Lymphocytes/Leukocytes,,
MAG,BIOCHEM,,,
MON,HEMA,,,
MONO,BLOOD,Monocytes,,
MONOLE,BLOOD,Monocytes/Leukocytes,,
NEU,HEMA,,,
NEUT,BLOOD,Neutrophils,,
NEUTB,BLOOD,Neutrophils Band Form,,
NEUTBLE,BLOOD,Neutrophils Band Form/Leukocytes,,
NEUTLE,BLOOD,Neutrophils/Leukocytes,,
OCCBLD,URINE,Occult Blood,,
PH,URINE,pH,,
PHOS,SERUM | BIOCHEM,Phosphate | ,,
POT,BIOCHEM,,,
PROT,SERUM | URINE,Protein | Protein,,
QUTFERTB,SERUM,Quantiferon-TB Interpretation,,
RBC,BLOOD | HEMA,Erythrocytes | ,,
REPIC,URINE,,,
S-CTX,BIOCHEM,,,
SEG,HEMA,,,
SHBG,BIOCHEM,,,
SOD,BIOCHEM,,,
SODIUM,PLASMA/SERUM,Sodium,,
SPGRAV,URINE,Specific Gravity,,
SYPHTPHA,BIOCHEM,,,
SYPHVDRL,BIOCHEM,,,
TBIL,BIOCHEM,,,
TCHOL,BIOCHEM,,,
TEPIC,URINE,,,
TPROT,BIOCHEM,,,
TRIGLY,BIOCHEM,,,
TSH,BIOCHEM,,,
TT3,BIOCHEM,,,
TT4,BIOCHEM,,,
TTEST,BIOCHEM,,,
UACDCRYS,URINE,,,
UACID,BIOCHEM,,,
UAMBCRYS,URINE,,,
UAMCRYS,URINE,,,
UBACT,URINE,,,
UBIL,URINE,,,
UBILCRYS,URINE,,,
UBILST,URINE,,,
UBLO,URINE,,,
UBLOST,URINE,,,
UCALCRYS,URINE,,,
UCAOCRYS,URINE,,,
UCAPCRYS,URINE,,,
UCASTE,URINE,,,
UCASTH,URINE,,,
UCOL,URINE,,,
UCRCL24H,URINE,,,
UCREA24H,URINE,,,
UGLUC,URINE,,,
UGLUCST,URINE,,,
UGRNCST,URINE,,,
UKET,URINE,,,
UKETST,URINE,,,
ULEUKES,URINE,,,
ULEUKST,URINE,,,
UMICNA,URINE,,,
UNITRIT,URINE,,,
UNITRST,URINE,,,
UPH,URINE,,,
UPROT,URINE,,,
UPROTST,URINE,,,
URATE,SERUM,Urate,,
URBC,URINE,,,
URBCCST,URINE,,,
UREA,SERUM | BIOCHEM,Urea | ,,
USPGR,URINE,,,
USPGRST,URINE,,,
USQMEPI,URINE,,,
UTPCRYS,URINE,,,
UTPROT,URINE,,,
UUROB,URINE,,,
UUROST,URINE,,,
UWBC,URINE,,,
UWBCCST,URINE,,,
UYEAST,URINE,,,
UYEASTB,URINE,,,
UYEASTH,URINE,,,
VITB12,BIOCHEM,,,
WBC,URINE | BLOOD | HEMA,Leukocytes | Leukocytes | ,,
WGT1N,,,,
