lbparm,testdes,lbunit,keep,new_lab
ALT,,U/L,1,ALT
SGPT,SGPT/ALT,IU/L |  | U/L | U/L,1,ALT
AST,,U/L,1,AST
SGOT,SGOT/AST,IU/L |  | U/L | U/L,1,AST
CREAT,Creatinine,umol/L | umol/L,1,CREAT
CPK,Creatine Phosphokinase,U/L,1,CREAT
GLU,,MMOL/L | mmol/L,1,GLU
GLUC,Glucose,mmol/L | mmol/L,1,GLU
HGB,Hemoglobin,G/L |  | g/L | G/DL | g/L,1,HGB
PLAT,,10^9/L,1,PLT
PLATE,Platelet Count,x10^9/L,1,PLT
PLT,,X10E9/L |  | x10E3/uL | X10E3/UL,1,PLT
SCRT,,UMOL/L | umol/L,1,CREAT
AB_CCP_Q,,,,
AB_DSDNA,, | KU/L | IU/ML,,
AB_HCV_Q,,,,
ABHCVQLT,,,,
ADIGG,,IU/mL,,
AG_HBS_Q,,,,
AGHBSQLT,,,,
ALB,,g/L,,
ALBUM,Protein Albumin,g/L,,
ALKPH,Alkaline Phosphatase,U/L,,
ALP,,U/L,,
ANA,,,,
ANA_QLT,,,,
ANTDNAAB,,,,
APH,,IU/L |  | U/L,,
APOA1,,g/L,,
APOB,,g/L,,
ATYLYMF,,,,
BACT,,,,
BALKPH,,,,
BASO,Basophils Percent,X10E9/L |  | 10^9/L | x10E3/uL | X10E3/UL | FRACTION,,
BASOA,Basophils Absolute Count,x10^9/L,,
BASOSF,,,,
BHCG_QLT,,,,
BICARB,Bicarbonate (CO2),mmol/L,,
BILD,,UMOL/L | umol/L,,
BILDIR,,umol/L,,
BILI,,UMOL/L | umol/L,,
BILIND,,umol/L,,
BILT,,UMOL/L | umol/L,,
BUN,Blood Urea Nitrogen,mmol/L,,
C3,,g/L,,
C4,,g/L,,
CA,,MMOL/L | mmol/L,,
CALC,Calcium,mmol/L,,
CCPAB,,kU/L,,
CH50,,,,
CHL,,MMOL/L | mmol/L,,
CHLOR,Chloride,mmol/L,,
CHOL,,MMOL/L | mmol/L,,
