term,n,is_class
ANTACIDS NOS,2,1
ANTI-ASTHMATICS,1,1
ANTIANAEMIC PREPARATIONS,1,1
ANTIHAEMORRHOIDALS FOR TOPICAL USE,6,1
ANTIHISTAMINE,1,1
ANTIHYPERTENSIVES AND DIURETICS IN COMBINATIO,2,1
ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMB,1,1
ANTIINFLAMMATORY/ANTIRHEUMATIC NON-STEROIDS,5,1
ANTIINFLAMMATORY/ANTIRHEUMATIC PRODUCTS,10,1
ANTIOXIDANTS NOS,1,1
ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPT,1,1
"DIGESTIVES, INCL ENZYMES",12,1
NO TREATMENT,927,1
NSAID'S,3,1
OTHER COLD COMBINATION PREPARATIONS,2,1
