tblname,varname,company,tbl_order,new_varname
bp,bp,bi,2,param
bp,param,gsk,2,param
bp,value,bi,2,value
conmed,atccode,nvt,5,atc_code
conmed,who_atcc,gsk,5,atc_code
conmed,atc_txt,nvt,5,atc_txt
conmed,whoterm,gsk,5,atc_txt
conmed,trsct,rch,5,body_system
conmed,cmscat,san,5,category
conmed,cmcomp,gsk,5,component
conmed,cmver,nvt,5,dictionary_version
conmed,wver,bi,5,dictionary_version
conmed,cmindc,san,5,indication
conmed,trreas,rch,5,indication
conmed,cmroutcd,gsk,5,
conmed,cmroute,gsk,5,route
conmed,route,tak,5,route
conmed,trrout,rch,5,route
conmed,ctrte,bi_new,5,route
conmed,cmdecod,gsk,5,term
conmed,ctpn,bi,5,term
conmed,prefnam,tak,5,term
conmed,pt_txt,nvt,5,term
conmed,trpt,rch,5,term
conmed,ctpt,bi_new,5,term
conmed,ctpncd,bi,5,term_code
demo,age,bi,4,age
demo,agec,san,4,age
demo,race,bi,4,race
demo,sex,bi,4,sex
demo,smoke,bi,4,smoke
demo,smokhis,rch,4,smoke
labs,lbfast,nvt,7,fast
labs,lbfastst,rch,7,fast
labs,labnmx,bi,7,label
labs,lbtest,gsk,7,label
labs,testdes,rch,7,label
labs,lblow,rch,7,ll
labs,lbstnrlo,gsk,7,ll
labs,llc,bi,7,ll
labs,silln,tak,7,ll
labs,labnm,bi,7,name
labs,lbparm,rch,7,name
labs,lbtestcd,gsk,7,name
labs,ltstnam,tak,7,name
labs,new_lab,rch,7,new_lab
labs,newlab,gsk,7,new_lab
labs,labstd,bi,7,result
labs,lbstresn,gsk,7,result
labs,lbval,rch,7,result
labs,sirval,tak,7,result
labs,lab,bi_new,7,result_non_standard
labs,labc,bi_new,7,result_character
labs,labstdu,bi,7,unit
labs,lbhigh,rch,7,ul
labs,lbstnrhi,gsk,7,ul
labs,siuln,tak,7,ul
labs,ulc,bi,7,ul
labs,lbstresu,nvt,7,unit
labs,lbstunit,gsk,7,unit
labs,lbunit,rch,7,unit
labs,siunit,tak,7,unit
medhist,meddra,bi,6,meddra
medhist,dgpt,rch,6,term
medhist,llit_txt,nvt,6,term
medhist,mhllt,san,6,term
medhist,mhterm,gsk,6,term
medhist,pt_name,tak,6,term
medhist,term,bi,6,term
rand,arm,nvt,1,arm
rand,id,bi,1,id
rand,randdt,bi,1,randdt
rand,rfstdy,san,1,rnddy
rand,rnd,rch,1,arm
rand,rnddy,rch,1,rnddy
rand,study,bi,1,
rand,tpatt,bi,1,arm
rand,trial,bi,1,trial
rand,trt,gsk,1,arm
rand,trtstt1d,nvt,1,rnddy
