condition,sex,age_mean,age_std,age_min,age_max,n_patients,repo
Benign_Prostatic_Hyperplasia,male,63.68,8.46,44.77,88.59,2816,Vivli
Diabetes_Mellitus_Type_2,female,56.43,10.22,18,86.55,5836,Vivli
Diabetes_Mellitus_Type_2,male,57.34,10.07,19.94,87,6841,Vivli
Hypertension,female,58.48,11.58,22,89,2320,Vivli
Hypertension,male,55.67,11.22,18,85,3321,Vivli
Osteoarthritis,female,63.94,11.45,26,88,888,Vivli
Osteoarthritis,male,63.47,11.83,23,89,432,Vivli
Osteoporosis,female,67.09,9.84,21.91,88.7,1971,Vivli
Osteoporosis,male,57.24,13.97,22.44,81.19,84,Vivli
Parkinson_Disease,female,61.6,9.77,30,83,577,Vivli
Parkinson_Disease,male,61.79,10,30,87,791,Vivli
Pulmonary_Disease_Chronic_Obstructive,female,65.14,8.38,41,83,275,Vivli
Pulmonary_Disease_Chronic_Obstructive,male,66.15,8.57,43,89,370,Vivli
Pulmonary_Hypertension,female,52.7,15.32,14.69,86.12,318,Vivli
Pulmonary_Hypertension,male,57.34,15.71,18.98,99,88,Vivli
Restless_legs_syndrome,female,57.71,11.55,22,81,198,Vivli
Restless_legs_syndrome,male,55.69,12.84,23,81,133,Vivli
Rheumatoid_arthritis,female,52.2,11.98,18,85,819,Vivli
Rheumatoid_arthritis,male,55.06,11.52,18,80,163,Vivli
