condition,trial,age_mean,age_std,age_min,age_max,n_patients,both_sexes,repo
Benign_Prostatic_Hyperplasia,LILLY_H6D_MC_LVHB,63.1,7.84,44.94,86.21,629,No,Vivli
Benign_Prostatic_Hyperplasia,LILLY_H6D_MC_LVHG,62.66,8.29,45.57,82.2,427,No,Vivli
Benign_Prostatic_Hyperplasia,LILLY_H6D_MC_LVHJ,64.85,9.26,44.77,86.96,325,No,Vivli
Benign_Prostatic_Hyperplasia,LILLY_H6D_MC_LVHR,62.56,8.08,45.35,83.23,606,No,Vivli
Benign_Prostatic_Hyperplasia,LILLY_H6D_MC_LVHS,67.38,9.1,46.88,87.98,318,No,Vivli
Benign_Prostatic_Hyperplasia,LILLY_H6D_MC_LVID,63.55,8.16,45.06,88.59,511,No,Vivli
Diabetes_Mellitus_Type_2,BI1245_36,63.89,8.81,26,87,741,Yes,Vivli
Diabetes_Mellitus_Type_2,BI1276_1,52.56,10.9,18,87,1418,Yes,Vivli
Diabetes_Mellitus_Type_2,BI502_396,61.15,9.17,31,80,885,Yes,Vivli
Diabetes_Mellitus_Type_2,BI502_397,60.26,9.34,27,80,860,Yes,Vivli
Diabetes_Mellitus_Type_2,BI502_413,61.12,7.85,31,74,527,Yes,Vivli
Diabetes_Mellitus_Type_2,LILLY_H9X_MC_GBCF,54.09,9.85,19.81,76.29,1202,Yes,Vivli
Diabetes_Mellitus_Type_2,LILLY_H9X_MC_GBDA,55.65,9.8,19.94,85.66,978,Yes,Vivli
Diabetes_Mellitus_Type_2,LILLY_H9X_MC_GBDB,56.58,9.45,27.03,86.55,829,Yes,Vivli
Diabetes_Mellitus_Type_2,LILLY_H9X_MC_GBDC,55.56,10.38,25.29,83.56,807,Yes,Vivli
Diabetes_Mellitus_Type_2,LILLY_H9X_MC_GBDD,59.33,9.19,27.82,83.75,892,Yes,Vivli
Diabetes_Mellitus_Type_2,LILLY_H9X_MC_GBDE,56.65,9.63,19.31,79.54,599,Yes,Vivli
Diabetes_Mellitus_Type_2,LILLY_H9X_MC_GBDG,57.84,9.68,23.23,80.62,300,Yes,Vivli
Diabetes_Mellitus_Type_2,TKASYR322_305,55.4,9.67,21,80,2639,Yes,Vivli
Hypertension,BI502_254,63.01,10.89,32,84,1039,Yes,Vivli
Hypertension,BI502_256,53.33,9.96,21,82,426,Yes,Vivli
Hypertension,BI502_316,52.35,9.81,19,79,362,Yes,Vivli
Hypertension,BI502_317,70.66,5.16,40,86,373,Yes,Vivli
Hypertension,BI502_327,54.51,9.77,27,81,490,Yes,Vivli
Hypertension,BI502_376,53.41,9.98,28,82,446,Yes,Vivli
Hypertension,BI502_391,53.6,10.58,24,84,801,Yes,Vivli
Hypertension,BI502_392,52.62,9.82,22,85,812,Yes,Vivli
Hypertension,BI502_550,57.02,11.47,18,89,892,Yes,Vivli
Osteoarthritis,BI107_210,63.79,11.58,23,89,1320,Yes,Vivli
Osteoporosis,LILLY_B3D_MC_GHAC,69.3,7.04,42.09,85.87,1626,No,Vivli
Osteoporosis,LILLY_B3D_US_GHBZ,56.76,13.74,21.91,88.7,429,Yes,Vivli
Parkinson_Disease,BI248_524,61.6,9.69,30,85,539,Yes,Vivli
Parkinson_Disease,BI248_525,61.48,9.92,34,83,518,Yes,Vivli
Parkinson_Disease,BI248_622,62.28,10.24,30,87,311,Yes,Vivli
Pulmonary_Disease_Chronic_Obstructive,BI244_2484,65.72,8.5,41,89,645,Yes,Vivli
Pulmonary_Hypertension,LILLY_H6D_MC_LVGY,53.7,15.51,14.69,99,406,Yes,Vivli
Restless_legs_syndrome,BI248_629,56.9,12.11,22,81,331,Yes,Vivli
Rheumatoid_arthritis,RCHNA25220,52.08,11.53,18,82,656,Yes,Vivli
Rheumatoid_arthritis,RCHWA19924,53.86,12.67,20,85,326,Yes,Vivli
