condition,sex,trial,age_mean,age_std,age_min,age_max,n_patients,repo
Benign_Prostatic_Hyperplasia,male,LILLY_H6D_MC_LVHB,63.1,7.84,44.94,86.21,629,Vivli
Benign_Prostatic_Hyperplasia,male,LILLY_H6D_MC_LVHG,62.66,8.29,45.57,82.2,427,Vivli
Benign_Prostatic_Hyperplasia,male,LILLY_H6D_MC_LVHJ,64.85,9.26,44.77,86.96,325,Vivli
Benign_Prostatic_Hyperplasia,male,LILLY_H6D_MC_LVHR,62.56,8.08,45.35,83.23,606,Vivli
Benign_Prostatic_Hyperplasia,male,LILLY_H6D_MC_LVHS,67.38,9.1,46.88,87.98,318,Vivli
Benign_Prostatic_Hyperplasia,male,LILLY_H6D_MC_LVID,63.55,8.16,45.06,88.59,511,Vivli
Diabetes_Mellitus_Type_2,female,BI1245_36,63.63,8.86,26,86,309,Vivli
Diabetes_Mellitus_Type_2,female,BI1276_1,52.03,11.16,18,82,607,Vivli
Diabetes_Mellitus_Type_2,female,BI502_396,61.49,9.1,32,79,318,Vivli
Diabetes_Mellitus_Type_2,female,BI502_397,60.07,9.51,30,80,325,Vivli
Diabetes_Mellitus_Type_2,female,BI502_413,60.74,8.22,31,74,142,Vivli
Diabetes_Mellitus_Type_2,female,LILLY_H9X_MC_GBCF,54.14,9.87,19.81,76.29,643,Vivli
Diabetes_Mellitus_Type_2,female,LILLY_H9X_MC_GBDA,55.09,9.81,21.71,77.64,407,Vivli
Diabetes_Mellitus_Type_2,female,LILLY_H9X_MC_GBDB,56.04,9.68,27.03,86.55,408,Vivli
Diabetes_Mellitus_Type_2,female,LILLY_H9X_MC_GBDC,55.04,10.72,25.29,80.53,454,Vivli
Diabetes_Mellitus_Type_2,female,LILLY_H9X_MC_GBDD,58.85,8.73,34.85,82.65,417,Vivli
Diabetes_Mellitus_Type_2,female,LILLY_H9X_MC_GBDE,56.59,10.03,19.31,79.54,312,Vivli
Diabetes_Mellitus_Type_2,female,LILLY_H9X_MC_GBDG,58.22,9.59,23.23,78.54,167,Vivli
Diabetes_Mellitus_Type_2,female,TKASYR322_305,55.31,9.58,21,78,1327,Vivli
Diabetes_Mellitus_Type_2,male,BI1245_36,64.07,8.77,32,87,432,Vivli
Diabetes_Mellitus_Type_2,male,BI1276_1,52.96,10.68,24,87,811,Vivli
Diabetes_Mellitus_Type_2,male,BI502_396,60.95,9.21,31,80,567,Vivli
Diabetes_Mellitus_Type_2,male,BI502_397,60.37,9.24,27,80,535,Vivli
Diabetes_Mellitus_Type_2,male,BI502_413,61.26,7.71,35,74,385,Vivli
Diabetes_Mellitus_Type_2,male,LILLY_H9X_MC_GBCF,54.05,9.83,24.31,74.73,559,Vivli
Diabetes_Mellitus_Type_2,male,LILLY_H9X_MC_GBDA,56.06,9.79,19.94,85.66,571,Vivli
Diabetes_Mellitus_Type_2,male,LILLY_H9X_MC_GBDB,57.09,9.2,28.44,79.4,421,Vivli
Diabetes_Mellitus_Type_2,male,LILLY_H9X_MC_GBDC,56.23,9.91,30.66,83.56,353,Vivli
Diabetes_Mellitus_Type_2,male,LILLY_H9X_MC_GBDD,59.76,9.55,27.82,83.75,475,Vivli
Diabetes_Mellitus_Type_2,male,LILLY_H9X_MC_GBDE,56.72,9.19,28.07,79.22,287,Vivli
Diabetes_Mellitus_Type_2,male,LILLY_H9X_MC_GBDG,57.37,9.82,35.2,80.62,133,Vivli
Diabetes_Mellitus_Type_2,male,TKASYR322_305,55.48,9.76,23,80,1312,Vivli
Hypertension,female,BI502_254,63.79,10.63,32,84,590,Vivli
Hypertension,female,BI502_256,52.38,9.53,26,75,136,Vivli
Hypertension,female,BI502_316,54.67,9,32,76,106,Vivli
Hypertension,female,BI502_317,70.46,4.71,63,86,192,Vivli
Hypertension,female,BI502_327,54.68,9.73,27,78,118,Vivli
Hypertension,female,BI502_376,53.39,10.59,28,82,174,Vivli
Hypertension,female,BI502_391,53.96,10.93,27,84,322,Vivli
Hypertension,female,BI502_392,52.11,9.73,22,85,269,Vivli
Hypertension,female,BI502_550,59.21,11.07,23,89,413,Vivli
Hypertension,male,BI502_254,62,11.16,32,84,449,Vivli
Hypertension,male,BI502_256,53.78,10.14,21,82,290,Vivli
Hypertension,male,BI502_316,51.38,9.98,19,79,256,Vivli
