company,trial,unique_terms,unique_patient,entries,three_lvl_class
bi,BI1245_36,340,264,1219,73
bi,BI248_524,515,479,3595,81
bi,BI248_525,340,332,1838,63
bi,BI248_622,488,300,4593,74
bi_new,BI107_210,709,1253,18695,83
bi_new,BI1276_1,470,551,2678,74
bi_new,BI244_2484,357,623,6392,73
bi_new,BI248_629,451,274,2501,72
bi_new,BI502_254,486,668,3171,73
bi_new,BI502_256,382,382,2414,75
bi_new,BI502_316,119,174,409,48
bi_new,BI502_317,144,204,573,49
bi_new,BI502_327,433,446,3563,70
bi_new,BI502_376,381,357,2178,66
bi_new,BI502_391,533,638,4346,76
bi_new,BI502_392,590,739,7341,81
bi_new,BI502_396,553,883,13067,80
bi_new,BI502_397,722,859,16377,87
bi_new,BI502_413,419,524,5038,75
bi_new,BI502_550,397,783,4086,76
lilly,LILLY_B3D_MC_GHAC,802,1626,25064,84
lilly,LILLY_B3D_US_GHBZ,603,428,8292,81
lilly,LILLY_H3S_MC_GGGK,815,5470,70759,91
lilly,LILLY_H6D_MC_LVGY,530,342,4379,82
lilly,LILLY_H6D_MC_LVHB,457,466,4135,75
lilly,LILLY_H6D_MC_LVHG,306,383,2843,59
lilly,LILLY_H6D_MC_LVHJ,89,130,389,39
lilly,LILLY_H6D_MC_LVHR,445,439,3965,72
lilly,LILLY_H6D_MC_LVHS,449,318,6201,74
lilly,LILLY_H6D_MC_LVID,314,358,2627,63
lilly,LILLY_H9X_MC_GBCF,696,1060,11714,84
lilly,LILLY_H9X_MC_GBDA,600,978,15871,79
lilly,LILLY_H9X_MC_GBDB,472,829,8854,72
lilly,LILLY_H9X_MC_GBDC,484,763,6289,77
lilly,LILLY_H9X_MC_GBDD,594,892,16302,80
lilly,LILLY_H9X_MC_GBDE,388,596,4948,71
lilly,LILLY_H9X_MC_GBDG,257,300,1967,62
rch,RCHNA25220,510,656,8751,77
rch,RCHQ4881G,326,317,2303,63
rch,RCHQ4882G,322,322,2285,67
rch,RCHQ4883G,378,333,3545,71
rch,RCHWA19924,490,325,11582,74
tak,TKASYR322_305,670,1873,12186,84
tak,TKASYR322_402,1225,5318,156543,90
