company,trial,date_formatted,num_formatted,randdt
bi,BI1245_36,1,0,2011-06-16
bi,BI1245_48,1,0,2011-11-07
bi,BI248_524,1,0,2007-12-13
bi,BI248_525,1,0,2007-12-15
bi,BI248_622,1,0,2007-10-07
bi_new,BI107_210,1,0,1998-11-04
bi_new,BI1123_11,1,0,2001-05-08
bi_new,BI1199_32,1,0,2011-12-14
bi_new,BI1199_34,1,0,2011-11-26
bi_new,BI1276_1,1,0,2013-08-17
bi_new,BI248_629,1,0,2007-08-02
bi_new,BI502_254,1,0,2000-06-27
bi_new,BI502_256,1,0,1998-06-02
bi_new,BI502_316,1,0,2000-08-14
bi_new,BI502_317,1,0,2001-08-31
bi_new,BI502_327,1,0,2002-05-02
bi_new,BI502_376,1,0,2001-04-24
bi_new,BI502_391,1,0,2003-01-12
bi_new,BI502_392,1,0,2003-01-22
bi_new,BI502_396,1,0,2003-06-01
bi_new,BI502_397,1,0,2004-01-23
bi_new,BI502_413,1,0,2004-04-08
bi_new,BI502_550,1,0,2009-09-05
lilly,LILLY_B3D_MC_GHAC,1,0,2233-06-15
lilly,LILLY_H6D_MC_LVHB,1,0,2241-07-13
lilly,LILLY_H6D_MC_LVHJ,1,0,2290-04-29
lilly,LILLY_H6D_MC_LVHR,1,0,2242-04-08
lilly,LILLY_H6D_MC_LVHS,1,0,2220-02-05
lilly,LILLY_H6D_MC_LVID,1,0,2258-07-03
lilly,LILLY_H9X_MC_GBCF,1,0,2246-03-23
lilly,LILLY_H9X_MC_GBDA,1,0,2255-04-19
lilly,LILLY_H9X_MC_GBDB,1,0,2291-12-21
lilly,LILLY_H9X_MC_GBDC,1,0,2278-05-23
lilly,LILLY_H9X_MC_GBDD,1,0,2249-11-15
lilly,LILLY_H9X_MC_GBDE,1,0,2231-09-26
lilly,LILLY_H9X_MC_GBDG,1,0,2264-06-30
