company,trial,sex,"[12,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)","[80,90)","[90,99]"
bi,BI1245_36,female,1,2,10,85,123,83,5,0
bi,BI1245_36,male,0,2,22,99,186,112,11,0
bi,BI1245_48,female,0,10,34,94,144,44,3,0
bi,BI1245_48,male,0,8,44,167,207,65,5,0
bi,BI248_524,female,0,5,21,58,113,38,5,0
bi,BI248_524,male,0,7,30,80,112,65,5,0
bi,BI248_525,female,0,5,22,68,82,51,5,0
bi,BI248_525,male,0,6,34,72,102,68,3,0
bi,BI248_622,female,0,4,12,27,38,22,1,0
bi,BI248_622,male,0,4,11,65,70,48,9,0
bi_new,BI107_210,female,2,15,89,205,256,253,68,0
bi_new,BI107_210,male,4,6,49,85,131,134,23,0
bi_new,BI1123_11,female,2,4,20,51,93,125,77,0
bi_new,BI1123_11,male,3,38,225,349,332,242,69,0
bi_new,BI1199_32,female,0,0,3,15,34,40,7,0
bi_new,BI1199_32,male,0,0,10,74,170,145,16,0
bi_new,BI1199_34,female,0,0,2,21,55,40,3,0
bi_new,BI1199_34,male,0,0,9,61,202,137,19,0
bi_new,BI1276_1,female,21,59,159,218,115,33,2,0
bi_new,BI1276_1,male,8,74,230,281,172,38,8,0
bi_new,BI244_2484,female,0,0,13,58,106,94,4,0
bi_new,BI244_2484,male,0,0,15,68,143,129,15,0
bi_new,BI248_629,female,2,13,29,61,62,28,3,0
bi_new,BI248_629,male,3,14,24,31,42,17,2,0
bi_new,BI502_254,female,0,10,55,132,187,185,21,0
bi_new,BI502_254,male,0,14,53,99,151,122,10,0
bi_new,BI502_256,female,2,7,48,48,25,6,0,0
bi_new,BI502_256,male,2,20,80,98,74,15,1,0
bi_new,BI502_316,female,0,6,23,47,26,4,0,0
bi_new,BI502_316,male,5,25,72,93,56,5,0,0
bi_new,BI502_317,female,0,0,0,0,94,92,6,0
bi_new,BI502_317,male,0,0,2,0,81,87,11,0
bi_new,BI502_327,female,1,4,29,50,23,11,0,0
bi_new,BI502_327,male,3,24,86,147,89,22,1,0
bi_new,BI502_376,female,3,15,43,69,31,12,1,0
bi_new,BI502_376,male,3,15,76,105,62,11,0,0
bi_new,BI502_391,female,3,28,76,120,64,28,3,0
bi_new,BI502_391,male,4,36,132,179,102,25,1,0
bi_new,BI502_392,female,3,24,74,112,44,11,1,0
bi_new,BI502_392,male,2,44,151,206,111,27,2,0
bi_new,BI502_396,female,0,4,34,78,141,61,0,0
bi_new,BI502_396,male,0,12,49,185,218,102,1,0
bi_new,BI502_397,female,0,5,45,103,114,57,1,0
bi_new,BI502_397,male,2,8,59,161,229,74,2,0
bi_new,BI502_413,female,0,2,12,43,62,23,0,0
bi_new,BI502_413,male,0,6,15,126,187,51,0,0
bi_new,BI502_550,female,4,9,68,141,108,74,9,0
bi_new,BI502_550,male,11,31,99,160,124,51,3,0
lilly,LILLY_B3D_MC_GHAC,female,0,0,9,166,677,731,83,0
lilly,LILLY_B3D_US_GHBZ,female,17,27,53,101,93,45,9,0
lilly,LILLY_B3D_US_GHBZ,male,4,6,15,23,18,15,3,0
lilly,LILLY_H3S_MC_GGGK,female,0,5,110,1343,3286,2435,55,0
lilly,LILLY_H6D_MC_LVGY,female,27,43,71,67,65,38,7,0
lilly,LILLY_H6D_MC_LVGY,male,4,6,20,17,18,22,0,1
lilly,LILLY_H6D_MC_LVHB,male,0,0,27,199,276,122,5,0
lilly,LILLY_H6D_MC_LVHG,male,0,0,26,149,166,80,6,0
lilly,LILLY_H6D_MC_LVHJ,male,0,0,19,81,130,81,14,0
lilly,LILLY_H6D_MC_LVHR,male,0,0,42,172,288,94,10,0
lilly,LILLY_H6D_MC_LVHS,male,0,0,10,64,119,100,25,0
lilly,LILLY_H6D_MC_LVID,male,0,0,31,150,212,110,8,0
lilly,LILLY_H9X_MC_GBCF,female,11,43,146,248,171,24,0,0
lilly,LILLY_H9X_MC_GBCF,male,8,42,130,209,152,18,0,0
lilly,LILLY_H9X_MC_GBDA,female,4,28,83,153,122,17,0,0
lilly,LILLY_H9X_MC_GBDA,male,4,26,126,204,171,38,2,0
lilly,LILLY_H9X_MC_GBDB,female,1,24,84,150,122,26,1,0
lilly,LILLY_H9X_MC_GBDB,male,2,12,77,166,133,31,0,0
lilly,LILLY_H9X_MC_GBDC,female,6,32,110,148,121,36,1,0
lilly,LILLY_H9X_MC_GBDC,male,0,15,84,129,90,34,1,0
lilly,LILLY_H9X_MC_GBDD,female,0,8,58,166,143,40,2,0
lilly,LILLY_H9X_MC_GBDD,male,1,9,71,159,169,64,2,0
lilly,LILLY_H9X_MC_GBDE,female,3,19,44,120,101,25,0,0
lilly,LILLY_H9X_MC_GBDE,male,1,13,49,116,90,18,0,0
lilly,LILLY_H9X_MC_GBDG,female,1,3,24,67,54,18,0,0
lilly,LILLY_H9X_MC_GBDG,male,0,5,30,43,42,11,2,0
rch,RCHNA25220,female,27,60,123,194,127,24,1,0
rch,RCHNA25220,male,4,3,21,38,29,5,0,0
rch,RCHQ4881G,female,49,54,54,46,25,4,0,0
rch,RCHQ4881G,male,26,19,16,16,8,2,0,0
rch,RCHQ4882G,female,49,64,62,40,26,4,0,0
rch,RCHQ4882G,male,13,12,23,20,8,2,0,0
rch,RCHQ4883G,female,53,46,67,46,23,7,0,0
rch,RCHQ4883G,male,16,17,20,28,12,1,0,0
rch,RCHWA17823,female,1,1,1,1,1,1,1,0
rch,RCHWA17823,male,1,1,1,1,1,1,0,0
rch,RCHWA19924,female,8,33,59,71,68,21,3,0
rch,RCHWA19924,male,1,7,13,18,15,8,1,0
rch,RCHWA19926,female,1,1,1,1,1,1,1,0
rch,RCHWA19926,male,1,1,1,1,1,1,1,0
tak,TKASYR322_305,female,8,65,281,511,374,88,0,0
tak,TKASYR322_305,male,7,70,277,484,381,92,1,0
tak,TKASYR322_402,female,1,13,135,458,633,429,65,2
tak,TKASYR322_402,male,1,61,471,1292,1220,549,79,1
