trial,unique_terms,unique_patient,entries,warning,Min,Max,Range of entries for meddra terms (up to 20)
BI107_210,1117,1316,13010,,1,46,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 34, 38, 39, 41, 42, 46"
BI1199_32,814,664,3986,,1,39,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 29, 32, 35, 36, 39"
BI1199_34,739,723,3793,,1,51,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 28, 34, 36, 51"
BI1245_36,785,699,4121,,1,29,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 29"
BI1245_48,643,777,3315,,1,18,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
BI1276_1,1156,1732,8280,,1,36,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 36"
BI244_2484,669,819,4347,,1,21,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21"
BI248_524,557,539,2412,,1,21,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21"
BI248_525,454,518,1737,,1,20,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20"
BI248_622,794,311,2980,,1,48,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 29, 30, 31, 32, 33, 38, 48"
BI248_629,532,488,2012,,1,19,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19"
BI502_254,648,989,3234,,1,17,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17"
BI502_256,722,914,5673,,1,36,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 27, 32, 36"
BI502_316,147,222,398,,1,6,"1, 2, 3, 4, 5, 6"
BI502_317,134,308,542,,1,7,"1, 2, 3, 4, 5, 6, 7"
BI502_327,692,806,3871,,1,23,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 23"
BI502_376,616,716,2481,,1,16,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16"
BI502_391,825,1369,4414,,1,21,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 21"
BI502_392,1190,1876,10817,,1,54,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 27, 30, 31, 36, 39, 44, 54"
BI502_396,950,1343,9709,,1,37,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 30, 32, 33, 35, 37"
BI502_397,1176,1511,10892,,1,43,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 33, 37, 41, 43"
BI502_413,745,1838,10011,,1,34,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 23, 34"
BI502_550,576,1120,3067,,1,24,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24"
