"","trial","nct_id"
"1","BI1245_36","NCT01164501"
"2","BI1245_48","NCT01370005"
"3","BI248_524","NCT00479401"
"4","BI248_525","NCT00466167"
"5","BI248_622","NCT00402233"
"6","BI107_210","NCT02183064"
"7","BI248_629","NCT00472199"
"8","BI502_254","NCT02175355"
"9","BI502_256","NCT02177396"
"10","BI502_316","NCT02172586"
"11","BI502_317","NCT02177461"
"12","BI502_391","NCT00274612"
"13","BI502_392","NCT00274599"
"14","BI502_413","NCT00153088"
"15","BI502_550","NCT00926289"
"16","BI502_376","NCT02242318"
"17","BI502_396","NCT00153023"
"18","BI502_327","NCT00034840"
"19","BI502_397","NCT00168857"
"20","BI1276_1","NCT01719003"
"21","BI1199_32","NCT01335464"
"22","BI1199_34","NCT01335477"
"23","BI244_2484","NCT02177344"
"24","BI1123_11","NCT02181998"
"25","RCHNA25220","NCT01232569"
"26","RCHQ4881G","NCT01287117"
"27","RCHQ4882G","NCT01292473"
"28","RCHQ4883G","NCT01264939"
"29","RCHWA19924","NCT01119859"
"30","TKASYR322_305","NCT00856284"
"31","TKASYR322_402","NCT00968708"
"32","LILLY_B3D_MC_GHAC","NCT00670501"
"33","LILLY_B3D_US_GHBZ","NCT00051558"
"34","LILLY_H6D_MC_LVGY","NCT00125918"
"35","LILLY_H6D_MC_LVHB","NCT00861757"
"36","LILLY_H6D_MC_LVHG","NCT00384930"
"37","LILLY_H6D_MC_LVHJ","NCT00827242"
"38","LILLY_H6D_MC_LVHR","NCT00855582"
"39","LILLY_H6D_MC_LVHS","NCT00848081"
"40","LILLY_H6D_MC_LVID","NCT00970632"
"41","LILLY_H9X_MC_GBCF","NCT00734474"
"42","LILLY_H9X_MC_GBDA","NCT01064687"
"43","LILLY_H9X_MC_GBDB","NCT01075282"
"44","LILLY_H9X_MC_GBDC","NCT01126580"
"45","LILLY_H9X_MC_GBDD","NCT01191268"
"46","LILLY_H9X_MC_GBDE","NCT01624259"
"47","LILLY_H9X_MC_GBDG","NCT01769378"
"48","LILLY_H3S_MC_GGGK","NCT00670319"
