mean,Var1,Var2,ci2.5,ci97.5,sd,n_eff,rhat,trial,condition,comorbidity,repo
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,BI107_210,Osteoarthritis,Cardiovascular : Cardiovascular,Vivli
0.06,Cardiovascular,Acid-related disease,-0.031,0.149,0.046,2497.29,1,BI107_210,Osteoarthritis,Cardiovascular : Acid-related disease,Vivli
0.11,Cardiovascular,Anxiety,0.026,0.203,0.046,2297.44,1,BI107_210,Osteoarthritis,Cardiovascular : Anxiety,Vivli
-0,Cardiovascular,Asthma,-0.122,0.119,0.061,2241.52,1.001,BI107_210,Osteoarthritis,Cardiovascular : Asthma,Vivli
0.06,Thyroid disorders,Cardiovascular,-0.033,0.158,0.049,2154.15,1.001,BI107_210,Osteoarthritis,Thyroid disorders : Cardiovascular,Vivli
0.29,Diabetes,Cardiovascular,0.177,0.402,0.059,2391.45,1.001,BI107_210,Osteoarthritis,Diabetes : Cardiovascular,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,3203.14,0.999,BI107_210,Osteoarthritis,Acid-related disease : Acid-related disease,Vivli
0.1,Anxiety,Acid-related disease,0.003,0.193,0.049,1727.55,1.001,BI107_210,Osteoarthritis,Anxiety : Acid-related disease,Vivli
0.12,Asthma,Acid-related disease,-0.008,0.235,0.063,1765.44,1.001,BI107_210,Osteoarthritis,Asthma : Acid-related disease,Vivli
0.48,Thyroid disorders,Acid-related disease,0.399,0.554,0.04,2261.6,1,BI107_210,Osteoarthritis,Thyroid disorders : Acid-related disease,Vivli
-0.09,Diabetes,Acid-related disease,-0.216,0.035,0.065,2107.98,1.001,BI107_210,Osteoarthritis,Diabetes : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2812.03,0.999,BI107_210,Osteoarthritis,Anxiety : Anxiety,Vivli
0.13,Asthma,Anxiety,0.009,0.254,0.062,2110.96,1.002,BI107_210,Osteoarthritis,Asthma : Anxiety,Vivli
0.17,Thyroid disorders,Anxiety,0.065,0.266,0.051,2173.93,1,BI107_210,Osteoarthritis,Thyroid disorders : Anxiety,Vivli
-0.11,Diabetes,Anxiety,-0.241,0.027,0.068,1910.79,1,BI107_210,Osteoarthritis,Diabetes : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,2721.76,0.999,BI107_210,Osteoarthritis,Asthma : Asthma,Vivli
-0.03,Thyroid disorders,Asthma,-0.164,0.095,0.067,1289.37,1.002,BI107_210,Osteoarthritis,Thyroid disorders : Asthma,Vivli
-0.05,Diabetes,Asthma,-0.231,0.128,0.091,1003.25,0.999,BI107_210,Osteoarthritis,Diabetes : Asthma,Vivli
1,Thyroid disorders,Thyroid disorders,1,1,0,2321.55,0.999,BI107_210,Osteoarthritis,Thyroid disorders : Thyroid disorders,Vivli
-0.05,Thyroid disorders,Diabetes,-0.189,0.08,0.069,2141.44,1,BI107_210,Osteoarthritis,Thyroid disorders : Diabetes,Vivli
1,Diabetes,Diabetes,1,1,0,2612.48,0.999,BI107_210,Osteoarthritis,Diabetes : Diabetes,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,BI1245_36,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,Vivli
0.35,Pain,Cardiovascular,0.136,0.535,0.101,2191.69,1.001,BI1245_36,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,Vivli
0.47,Cardiovascular,Arthritis,0.252,0.657,0.104,2533.98,1,BI1245_36,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,Vivli
0.25,Cardiovascular,Acid-related disease,0.009,0.48,0.123,1837.14,1,BI1245_36,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,Vivli
-0.25,Cardiovascular,Anxiety,-0.683,0.201,0.232,1317.01,1,BI1245_36,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,Vivli
-0.02,Cardiovascular,Asthma,-0.376,0.333,0.187,1747,1,BI1245_36,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,Vivli
1,Pain,Pain,1,1,0,3067.41,0.999,BI1245_36,Diabetes_Mellitus_Type_2,Pain : Pain,Vivli
0.04,Pain,Arthritis,-0.296,0.391,0.179,1285.43,1.001,BI1245_36,Diabetes_Mellitus_Type_2,Pain : Arthritis,Vivli
0.5,Pain,Acid-related disease,0.26,0.711,0.115,2335.2,1.001,BI1245_36,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,Vivli
-0.28,Pain,Anxiety,-0.8,0.315,0.297,974.22,1.003,BI1245_36,Diabetes_Mellitus_Type_2,Pain : Anxiety,Vivli
0.34,Pain,Asthma,-0.006,0.656,0.17,1876.91,1.002,BI1245_36,Diabetes_Mellitus_Type_2,Pain : Asthma,Vivli
1,Arthritis,Arthritis,1,1,0,1956.79,0.999,BI1245_36,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,Vivli
-0.16,Arthritis,Acid-related disease,-0.621,0.315,0.244,647.49,1,BI1245_36,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,Vivli
0.24,Arthritis,Anxiety,-0.16,0.612,0.202,2081.18,1,BI1245_36,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,Vivli
-0.13,Asthma,Arthritis,-0.687,0.403,0.287,759.61,1,BI1245_36,Diabetes_Mellitus_Type_2,Asthma : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,1199.34,0.999,BI1245_36,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,Vivli
-0.29,Anxiety,Acid-related disease,-0.828,0.318,0.308,986.99,1.001,BI1245_36,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,Vivli
