"trial","bmi","bp","demo","labs","medhist","rand"
"BI107_210","1316","1318","1321","X","1314","1321"
"BI1123_11","1636","1614","1639","X","X","1639"
"BI1199_32","514","514","514","514","514","514"
"BI1199_34","549","549","549","549","549","549"
"BI1245_36","X","738","741","X","699","741"
"BI1245_48","X","X","825","825","777","825"
"BI1276_1","1418","1414","1418","1418","1166","1418"
"BI244_2484","646","646","646","646","621","646"
"BI248_524","539","539","539","538","539","539"
"BI248_525","518","518","518","518","518","518"
"BI248_622","311","311","311","X","311","311"
"BI248_629","314","314","331","X","331","331"
"BI502_254","1037","1036","1039","932","802","1039"
"BI502_256","426","426","426","426","406","426"
"BI502_316","362","362","362","358","186","362"
"BI502_317","374","374","374","371","271","374"
"BI502_327","490","490","490","486","446","490"
"BI502_376","446","446","446","X","369","446"
"BI502_391","800","801","801","X","680","801"
"BI502_392","812","812","812","787","774","812"
"BI502_396","885","885","885","885","880","885"
"BI502_397","860","860","860","860","845","860"
"BI502_413","526","527","527","527","527","527"
"BI502_550","892","892","892","889","888","892"
"LILLY_B3D_MC_GHAC","1626","1626","1626","1626","1109","1626"
"LILLY_B3D_US_GHBZ","428","429","429","429","429","429"
"LILLY_H3S_MC_GGGK","5478","5478","5478","5475","5302","5478"
"LILLY_H6D_MC_LVGY","406","406","406","396","406","406"
"LILLY_H6D_MC_LVHB","629","629","629","629","283","629"
"LILLY_H6D_MC_LVHG","427","427","427","427","284","427"
"LILLY_H6D_MC_LVHJ","325","325","325","325","138","325"
"LILLY_H6D_MC_LVHR","606","606","606","606","316","606"
"LILLY_H6D_MC_LVHS","318","318","318","318","257","318"
"LILLY_H6D_MC_LVID","511","511","511","510","181","511"
"LILLY_H9X_MC_GBCF","1202","1202","1202","1199","371","1202"
"LILLY_H9X_MC_GBDA","978","978","978","978","192","978"
"LILLY_H9X_MC_GBDB","829","829","829","829","252","829"
"LILLY_H9X_MC_GBDC","807","807","807","807","276","807"
"LILLY_H9X_MC_GBDD","892","892","892","892","289","892"
"LILLY_H9X_MC_GBDE","599","599","599","599","65","599"
"LILLY_H9X_MC_GBDG","300","300","300","300","57","300"
"RCHNA25220","656","656","656","656","656","656"
"RCHQ4881G","319","319","319","318","X","319"
"RCHQ4882G","323","323","323","322","X","323"
"RCHQ4883G","336","336","336","335","X","336"
"RCHWA19924","326","326","326","326","286","326"
"TKASYR322_305","2639","2639","2639","2639","2638","2639"
"TKASYR322_402","5395","5395","5410","5388","5393","5410"
