tblname,varname,company,tbl_order
rand,arm,tak,1
rand,id,bi,1
rand,randdt,bi,1
rand,rnd,rch,1
rand,rnddy,rch,1
rand,study,bi,1
rand,tpatt,bi,1
rand,trial,bi,1
rand,trtc,rch,1
bp,param,bi,2
bp,value,bi,2
demo,age,bi,4
demo,bmi,bi,4
demo,ht,bi,4
demo,race,bi,4
demo,sex,bi,4
demo,smoke,bi,4
demo,smokhis,rch,4
demo,wt,bi,4
conmed,ctpn,bi,5
conmed,ctpncd,bi,5
conmed,ctpt,bi_new,5
conmed,ctrte,bi_new,5
conmed,prefnam,tak,5
conmed,route,tak,5
conmed,trpt,rch,5
conmed,trreas,rch,5
conmed,trrout,rch,5
conmed,trsct,rch,5
conmed,wver,bi,5
medhist,dgpt,rch,6
medhist,meddra,bi,6
medhist,pt_name,tak,6
medhist,term,bi,6
labs,lab,bi_new,7
labs,labc,bi_new,7
labs,labnm,bi,7
labs,labnmx,bi,7
labs,labstd,bi,7
labs,labstdu,bi,7
labs,lbfastst,rch,7
labs,lbhigh,rch,7
labs,lblow,rch,7
labs,lbparm,rch,7
labs,lbunit,rch,7
labs,lbval,rch,7
labs,llc,bi,7
labs,ltstnam,tak,7
labs,new_lab,rch,7
labs,silln,tak,7
labs,sirval,tak,7
labs,siuln,tak,7
labs,siunit,tak,7
labs,testdes,rch,7
labs,ulc,bi,7
