trial,condition,nct_id
28431754DIA3008,Diabetes_Mellitus_Type_2,NCT01032629
28431754DIA3011,Diabetes_Mellitus_Type_2,NCT01809327
28431754DIA3014,Diabetes_Mellitus_Type_2,NCT01381900
ART3001,Rheumatoid_arthritis,NCT00973479
C0168T29,Rheumatoid_arthritis,NCT00236028
C0524T05,Rheumatoid_arthritis,NCT00264537
C0524T06,Rheumatoid_arthritis,NCT00264550
C0524T08,Psoriatic_arthritis,NCT00265096
C0524T09,Axial_Spondyloarthritis,NCT00265083
C0524T11,Rheumatoid_arthritis,NCT00299546
C0524T12,Rheumatoid_arthritis,NCT00361335
C0743T08,Psoriasis,NCT00267969
C0743T09,Psoriasis,NCT00307437
CNTO1275PSA3001,Psoriatic_arthritis,NCT01009086
CNTO1275PSA3002,Psoriatic_arthritis,NCT01077362
DIA3002,Diabetes_Mellitus_Type_2,NCT01106625
DIA3005,Diabetes_Mellitus_Type_2,NCT01081834
DIA3006,Diabetes_Mellitus_Type_2,NCT01106677
DIA3009,Diabetes_Mellitus_Type_2,NCT00968812
DIA3010,Diabetes_Mellitus_Type_2,NCT01106651
DIA3012,Diabetes_Mellitus_Type_2,NCT01106690
DIA3015,Diabetes_Mellitus_Type_2,NCT01137812
GAL-ALZ-302,Dementia_any,NCT00216593
Gal-Int-11_24m,Dementia_any,NCT00236431
Gal-Int-18_24m,Dementia_any,NCT00236574
