nct_id,Omega,comorbidity
NCT01032629,11,CV : CV
NCT01032629,21,pain : CV
NCT01032629,31,arthritis : CV
NCT01032629,41,antacids : CV
NCT01032629,51,anxiety : CV
NCT01032629,61,asthma_COPD : CV
NCT01032629,12,CV : pain
NCT01032629,22,pain : pain
NCT01032629,32,arthritis : pain
NCT01032629,42,antacids : pain
NCT01032629,52,anxiety : pain
NCT01032629,62,asthma_COPD : pain
NCT01032629,13,CV : arthritis
NCT01032629,23,pain : arthritis
NCT01032629,33,arthritis : arthritis
NCT01032629,43,antacids : arthritis
NCT01032629,53,anxiety : arthritis
NCT01032629,63,asthma_COPD : arthritis
NCT01032629,14,CV : antacids
NCT01032629,24,pain : antacids
NCT01032629,34,arthritis : antacids
NCT01032629,44,antacids : antacids
NCT01032629,54,anxiety : antacids
NCT01032629,64,asthma_COPD : antacids
NCT01032629,15,CV : anxiety
NCT01032629,25,pain : anxiety
NCT01032629,35,arthritis : anxiety
NCT01032629,45,antacids : anxiety
NCT01032629,55,anxiety : anxiety
NCT01032629,65,asthma_COPD : anxiety
NCT01032629,16,CV : asthma_COPD
NCT01032629,26,pain : asthma_COPD
NCT01032629,36,arthritis : asthma_COPD
NCT01032629,46,antacids : asthma_COPD
NCT01032629,56,anxiety : asthma_COPD
NCT01032629,66,asthma_COPD : asthma_COPD
NCT01809327,11,CV : CV
NCT01809327,21,pain : CV
NCT01809327,31,arthritis : CV
NCT01809327,41,antacids : CV
NCT01809327,51,anxiety : CV
NCT01809327,61,asthma_COPD : CV
NCT01809327,12,CV : pain
NCT01809327,22,pain : pain
NCT01809327,32,arthritis : pain
NCT01809327,42,antacids : pain
NCT01809327,52,anxiety : pain
NCT01809327,62,asthma_COPD : pain
NCT01809327,13,CV : arthritis
NCT01809327,23,pain : arthritis
NCT01809327,33,arthritis : arthritis
NCT01809327,43,antacids : arthritis
NCT01809327,53,anxiety : arthritis
NCT01809327,63,asthma_COPD : arthritis
NCT01809327,14,CV : antacids
NCT01809327,24,pain : antacids
NCT01809327,34,arthritis : antacids
NCT01809327,44,antacids : antacids
NCT01809327,54,anxiety : antacids
NCT01809327,64,asthma_COPD : antacids
NCT01809327,15,CV : anxiety
NCT01809327,25,pain : anxiety
NCT01809327,35,arthritis : anxiety
NCT01809327,45,antacids : anxiety
NCT01809327,55,anxiety : anxiety
NCT01809327,65,asthma_COPD : anxiety
NCT01809327,16,CV : asthma_COPD
NCT01809327,26,pain : asthma_COPD
NCT01809327,36,arthritis : asthma_COPD
NCT01809327,46,antacids : asthma_COPD
NCT01809327,56,anxiety : asthma_COPD
NCT01809327,66,asthma_COPD : asthma_COPD
NCT01381900,11,CV : CV
NCT01381900,21,pain : CV
NCT01381900,31,arthritis : CV
NCT01381900,41,antacids : CV
NCT01381900,51,anxiety : CV
NCT01381900,61,asthma_COPD : CV
NCT01381900,12,CV : pain
NCT01381900,22,pain : pain
NCT01381900,32,arthritis : pain
NCT01381900,42,antacids : pain
NCT01381900,52,anxiety : pain
NCT01381900,62,asthma_COPD : pain
NCT01381900,13,CV : arthritis
NCT01381900,23,pain : arthritis
NCT01381900,33,arthritis : arthritis
NCT01381900,43,antacids : arthritis
NCT01381900,53,anxiety : arthritis
NCT01381900,63,asthma_COPD : arthritis
NCT01381900,14,CV : antacids
NCT01381900,24,pain : antacids
NCT01381900,34,arthritis : antacids
NCT01381900,44,antacids : antacids
NCT01381900,54,anxiety : antacids
NCT01381900,64,asthma_COPD : antacids
NCT01381900,15,CV : anxiety
NCT01381900,25,pain : anxiety
NCT01381900,35,arthritis : anxiety
NCT01381900,45,antacids : anxiety
NCT01381900,55,anxiety : anxiety
NCT01381900,65,asthma_COPD : anxiety
NCT01381900,16,CV : asthma_COPD
NCT01381900,26,pain : asthma_COPD
NCT01381900,36,arthritis : asthma_COPD
NCT01381900,46,antacids : asthma_COPD
NCT01381900,56,anxiety : asthma_COPD
NCT01381900,66,asthma_COPD : asthma_COPD
NCT00973479,11,pain : pain
NCT00973479,21,CV : pain
