trial,condition,sex,n_patients,mean_age,sd_age,min_age,max_age,repo
28431754DIA3011,Diabetes_Mellitus_Type_2,female,213,54.09,10.04,14,70,YODA
28431754DIA3011,Diabetes_Mellitus_Type_2,male,176,51.94,10.16,28,70,YODA
28431754DIA3014,Diabetes_Mellitus_Type_2,female,215,49.95,9.26,30,75,YODA
28431754DIA3014,Diabetes_Mellitus_Type_2,male,238,48.21,11.28,15,75,YODA
ART3001,Rheumatoid_arthritis,female,428,51.57,12.24,19,83,YODA
ART3001,Rheumatoid_arthritis,male,95,52.38,11.45,18,78,YODA
C0168T29,Rheumatoid_arthritis,female,740,49.04,12.86,18,76,YODA
C0168T29,Rheumatoid_arthritis,male,297,52.23,11.72,18,74,YODA
C0524T05,Rheumatoid_arthritis,female,525,49.13,12.41,18,85,YODA
C0524T05,Rheumatoid_arthritis,male,109,51.37,11.58,24,80,YODA
C0524T06,Rheumatoid_arthritis,female,357,49.55,11.14,18,79,YODA
C0524T06,Rheumatoid_arthritis,male,86,54.06,11.69,21,76,YODA
C0524T08,Psoriatic_arthritis,female,158,46.49,11.03,20,70,YODA
C0524T08,Psoriatic_arthritis,male,234,46.87,10.27,24,73,YODA
C0524T09,Axial_Spondyloarthritis,female,101,42.02,11.18,20,69,YODA
C0524T09,Axial_Spondyloarthritis,male,251,38.27,12.24,18,83,YODA
C0524T11,Rheumatoid_arthritis,female,365,53.89,12.45,23,83,YODA
C0524T11,Rheumatoid_arthritis,male,90,55.37,11.62,26,77,YODA
C0524T12,Rheumatoid_arthritis,female,517,48.8,11.6,18,77,YODA
C0524T12,Rheumatoid_arthritis,male,124,52.83,10.96,22,73,YODA
C0743T08,Psoriasis,female,112,44.5,12.18,20,76,YODA
C0743T08,Psoriasis,male,190,48.85,11.44,19,72,YODA
C0743T09,Psoriasis,female,170,47.35,12.63,18,77,YODA
C0743T09,Psoriasis,male,299,49.46,11.57,18,76,YODA
CNTO1275PSA3001,Psoriatic_arthritis,female,125,49.26,12.11,20,81,YODA
CNTO1275PSA3001,Psoriatic_arthritis,male,148,46.22,11.42,18,76,YODA
CNTO1275PSA3002,Psoriatic_arthritis,female,87,49.45,11.84,19,75,YODA
CNTO1275PSA3002,Psoriatic_arthritis,male,70,45.24,11.03,20,70,YODA
DIA3002,Diabetes_Mellitus_Type_2,female,151,56.05,9.42,27,79,YODA
DIA3002,Diabetes_Mellitus_Type_2,male,159,56.34,9.2,34,78,YODA
DIA3005,Diabetes_Mellitus_Type_2,female,221,55.49,11.23,27,78,YODA
DIA3005,Diabetes_Mellitus_Type_2,male,181,54.77,10.9,25,78,YODA
DIA3006,Diabetes_Mellitus_Type_2,female,552,55.66,9.43,26,78,YODA
DIA3006,Diabetes_Mellitus_Type_2,male,462,55.26,9.36,21,78,YODA
DIA3009,Diabetes_Mellitus_Type_2,female,617,55.68,9.11,22,79,YODA
DIA3009,Diabetes_Mellitus_Type_2,male,634,55.89,9.37,26,79,YODA
DIA3010,Diabetes_Mellitus_Type_2,female,239,63.09,6.27,55,80,YODA
DIA3010,Diabetes_Mellitus_Type_2,male,274,63.83,6.52,55,80,YODA
DIA3012,Diabetes_Mellitus_Type_2,female,117,55.09,10.48,27,78,YODA
DIA3012,Diabetes_Mellitus_Type_2,male,198,58.39,9.71,37,77,YODA
DIA3015,Diabetes_Mellitus_Type_2,female,266,56.38,10.04,20,89.999,YODA
DIA3015,Diabetes_Mellitus_Type_2,male,295,55.77,8.99,24,77,YODA
GAL-ALZ-302,Dementia_any,female,332,83.43,5.56,56,89.999,YODA
GAL-ALZ-302,Dementia_any,male,80,82.15,5.66,67,89.999,YODA
Gal-Int-11_24m,Dementia_any,female,488,69.95,8.84,50,89.999,YODA
Gal-Int-11_24m,Dementia_any,male,410,69.26,9.25,50,89,YODA
Gal-Int-18_24m,Dementia_any,female,559,70.32,8.71,49,89.999,YODA
Gal-Int-18_24m,Dementia_any,male,417,71.65,8.31,50,89.999,YODA
