mean,Var1,Var2,CI2.5,CI97.5,sd,n_eff,rhat,trial,condition,comorbidity,repo
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,28431754DIA3008,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,YODA
0.42,Pain,Cardiovascular,0.344,0.498,0.04,2829.77,1,28431754DIA3008,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,YODA
0.43,Cardiovascular,Arthritis,0.347,0.516,0.043,2460.62,1,28431754DIA3008,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,YODA
0.23,Cardiovascular,Acid-related disease,0.113,0.335,0.056,2590.94,1,28431754DIA3008,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,YODA
0.52,Cardiovascular,Anxiety,0.427,0.598,0.044,2771.81,1,28431754DIA3008,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,YODA
0.41,Cardiovascular,Asthma,0.303,0.521,0.056,2180.01,1.002,28431754DIA3008,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,YODA
1,Pain,Pain,1,1,0,2999.46,0.999,28431754DIA3008,Diabetes_Mellitus_Type_2,Pain : Pain,YODA
0.54,Pain,Arthritis,0.449,0.629,0.046,2411.06,1,28431754DIA3008,Diabetes_Mellitus_Type_2,Pain : Arthritis,YODA
0.27,Pain,Acid-related disease,0.13,0.402,0.07,1719.83,1.001,28431754DIA3008,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,YODA
0.42,Pain,Anxiety,0.308,0.524,0.056,2112.64,1.002,28431754DIA3008,Diabetes_Mellitus_Type_2,Pain : Anxiety,YODA
0.38,Pain,Asthma,0.261,0.512,0.065,1622.8,1,28431754DIA3008,Diabetes_Mellitus_Type_2,Pain : Asthma,YODA
1,Arthritis,Arthritis,1,1,0,444.99,0.999,28431754DIA3008,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,YODA
-0.36,Arthritis,Acid-related disease,-0.598,-0.084,0.138,123.86,1.036,28431754DIA3008,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,YODA
0.36,Arthritis,Anxiety,0.238,0.476,0.061,1281.18,1.002,28431754DIA3008,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,YODA
0.24,Asthma,Arthritis,0.078,0.392,0.081,657.03,1.002,28431754DIA3008,Diabetes_Mellitus_Type_2,Asthma : Arthritis,YODA
1,Acid-related disease,Acid-related disease,1,1,0,376.16,0.999,28431754DIA3008,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,YODA
0.1,Anxiety,Acid-related disease,-0.071,0.271,0.087,594.75,1.002,28431754DIA3008,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,YODA
0.33,Asthma,Acid-related disease,0.17,0.487,0.081,1096.14,1.001,28431754DIA3008,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,YODA
1,Anxiety,Anxiety,1,1,0,742.32,0.999,28431754DIA3008,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,YODA
0.39,Asthma,Anxiety,0.249,0.524,0.07,1771.29,1,28431754DIA3008,Diabetes_Mellitus_Type_2,Asthma : Anxiety,YODA
1,Asthma,Asthma,1,1,0,1719.18,0.999,28431754DIA3008,Diabetes_Mellitus_Type_2,Asthma : Asthma,YODA
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,28431754DIA3011,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,YODA
-0.09,Pain,Cardiovascular,-0.341,0.18,0.134,1962.86,0.999,28431754DIA3011,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,YODA
-0.18,Cardiovascular,Arthritis,-0.394,0.035,0.109,2274.53,1,28431754DIA3011,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,YODA
0.04,Cardiovascular,Acid-related disease,-0.248,0.327,0.149,1892.51,1.001,28431754DIA3011,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,YODA
-0.11,Cardiovascular,Anxiety,-0.395,0.177,0.145,1768.17,1,28431754DIA3011,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,YODA
0.32,Cardiovascular,Asthma,0.014,0.587,0.147,1425.34,1.001,28431754DIA3011,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,YODA
1,Pain,Pain,1,1,0,2822.16,0.999,28431754DIA3011,Diabetes_Mellitus_Type_2,Pain : Pain,YODA
0.41,Pain,Arthritis,0.148,0.626,0.123,1179.06,1.004,28431754DIA3011,Diabetes_Mellitus_Type_2,Pain : Arthritis,YODA
-0.06,Pain,Acid-related disease,-0.451,0.346,0.208,801.34,1.001,28431754DIA3011,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,YODA
0.32,Pain,Anxiety,-0.013,0.625,0.16,1382.52,1.003,28431754DIA3011,Diabetes_Mellitus_Type_2,Pain : Anxiety,YODA
0.23,Pain,Asthma,-0.104,0.554,0.168,1191.56,0.999,28431754DIA3011,Diabetes_Mellitus_Type_2,Pain : Asthma,YODA
1,Arthritis,Arthritis,1,1,0,2646.95,0.999,28431754DIA3011,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,YODA
-0.36,Arthritis,Acid-related disease,-0.749,0.109,0.223,431.86,1.006,28431754DIA3011,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,YODA
0.32,Arthritis,Anxiety,0.012,0.593,0.148,1302.97,1.001,28431754DIA3011,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,YODA
0.3,Asthma,Arthritis,0.001,0.566,0.144,1194.39,1,28431754DIA3011,Diabetes_Mellitus_Type_2,Asthma : Arthritis,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2602.07,0.999,28431754DIA3011,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,YODA
0.29,Anxiety,Acid-related disease,-0.088,0.611,0.18,1062.85,1,28431754DIA3011,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,YODA
0.24,Asthma,Acid-related disease,-0.109,0.562,0.175,1121.55,1.002,28431754DIA3011,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,YODA
1,Anxiety,Anxiety,1,1,0,2755.76,0.999,28431754DIA3011,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,YODA
0.43,Asthma,Anxiety,0.111,0.697,0.149,1716.48,1.001,28431754DIA3011,Diabetes_Mellitus_Type_2,Asthma : Anxiety,YODA
1,Asthma,Asthma,1,1,0,1626.29,0.999,28431754DIA3011,Diabetes_Mellitus_Type_2,Asthma : Asthma,YODA
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,28431754DIA3014,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,YODA
0.15,Pain,Cardiovascular,-0.256,0.524,0.199,2441.84,1,28431754DIA3014,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,YODA
0.15,Cardiovascular,Arthritis,-0.191,0.467,0.17,2379.09,1.001,28431754DIA3014,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,YODA
-0.21,Cardiovascular,Acid-related disease,-0.771,0.372,0.3,1924.54,1,28431754DIA3014,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,YODA
-0.34,Cardiovascular,Anxiety,-0.801,0.178,0.254,1139.73,1,28431754DIA3014,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,YODA
0.01,Cardiovascular,Asthma,-0.699,0.724,0.379,4430.79,0.999,28431754DIA3014,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,YODA
1,Pain,Pain,1,1,0,2951.62,0.999,28431754DIA3014,Diabetes_Mellitus_Type_2,Pain : Pain,YODA
-0.08,Pain,Arthritis,-0.715,0.587,0.349,620.03,1.002,28431754DIA3014,Diabetes_Mellitus_Type_2,Pain : Arthritis,YODA
-0.04,Pain,Acid-related disease,-0.748,0.685,0.381,1936.03,1,28431754DIA3014,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,YODA
-0.09,Pain,Anxiety,-0.717,0.536,0.336,1142.87,1.003,28431754DIA3014,Diabetes_Mellitus_Type_2,Pain : Anxiety,YODA
-0.01,Pain,Asthma,-0.692,0.708,0.374,4303.28,1,28431754DIA3014,Diabetes_Mellitus_Type_2,Pain : Asthma,YODA
1,Arthritis,Arthritis,1,1,0,2984.5,0.999,28431754DIA3014,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,YODA
-0.05,Arthritis,Acid-related disease,-0.702,0.621,0.355,1810.96,1.002,28431754DIA3014,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,YODA
-0.1,Arthritis,Anxiety,-0.722,0.547,0.341,1007.27,1.003,28431754DIA3014,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,YODA
0.01,Asthma,Arthritis,-0.721,0.718,0.392,3734.56,0.999,28431754DIA3014,Diabetes_Mellitus_Type_2,Asthma : Arthritis,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2907.36,0.999,28431754DIA3014,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,YODA
0.07,Anxiety,Acid-related disease,-0.675,0.739,0.373,1069.77,1,28431754DIA3014,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,YODA
-0,Asthma,Acid-related disease,-0.693,0.716,0.373,3007.33,0.999,28431754DIA3014,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,YODA
