index_condition,n,term1,term2,data_type,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
Alzheimer's Disease,4402,1,2,actual,-1.063e-01,3.666e-04,2.422e-02,-1.541e-01,-1.225e-01,-1.065e-01,-9.005e-02,-5.844e-02,4365.8,1
Alzheimer's Disease,4402,1,2,pseudo,-1.040e-01,3.960e-04,2.365e-02,-1.500e-01,-1.197e-01,-1.046e-01,-8.813e-02,-5.584e-02,3569.1,1
Alzheimer's Disease,4402,1,3,actual,2.549e-02,3.978e-04,2.400e-02,-2.077e-02,9.060e-03,2.549e-02,4.142e-02,7.255e-02,3639.7,1
Alzheimer's Disease,4402,1,3,pseudo,2.689e-02,4.301e-04,2.445e-02,-2.133e-02,1.003e-02,2.671e-02,4.344e-02,7.348e-02,3232.3,1
Alzheimer's Disease,4402,1,4,actual,8.634e-02,3.556e-04,2.446e-02,3.762e-02,7.045e-02,8.645e-02,1.027e-01,1.327e-01,4729.8,1
Alzheimer's Disease,4402,1,4,pseudo,8.628e-02,4.032e-04,2.470e-02,3.757e-02,6.929e-02,8.679e-02,1.036e-01,1.337e-01,3752.9,1
Alzheimer's Disease,4402,1,5,actual,2.753e-02,5.646e-04,2.645e-02,-2.313e-02,9.470e-03,2.734e-02,4.557e-02,8.102e-02,2193.7,1
Alzheimer's Disease,4402,1,5,pseudo,2.956e-02,6.153e-04,2.699e-02,-2.308e-02,1.111e-02,2.963e-02,4.782e-02,8.131e-02,1924.8,1
Alzheimer's Disease,4402,1,6,actual,3.974e-01,4.271e-04,2.470e-02,3.485e-01,3.805e-01,3.976e-01,4.141e-01,4.450e-01,3344.9,1
Alzheimer's Disease,4402,1,6,pseudo,4.047e-01,4.343e-04,2.421e-02,3.564e-01,3.886e-01,4.048e-01,4.210e-01,4.513e-01,3107.8,1
Alzheimer's Disease,4402,2,3,actual,-2.527e-01,3.517e-04,2.288e-02,-2.971e-01,-2.681e-01,-2.526e-01,-2.376e-01,-2.084e-01,4234.1,1
Alzheimer's Disease,4402,2,3,pseudo,-2.559e-01,3.870e-04,2.237e-02,-2.995e-01,-2.708e-01,-2.565e-01,-2.415e-01,-2.102e-01,3342,1
Alzheimer's Disease,4402,2,4,actual,-1.085e-01,3.853e-04,2.410e-02,-1.556e-01,-1.249e-01,-1.084e-01,-9.196e-02,-6.079e-02,3911.5,1
Alzheimer's Disease,4402,2,4,pseudo,-1.058e-01,4.057e-04,2.449e-02,-1.539e-01,-1.229e-01,-1.055e-01,-8.838e-02,-5.789e-02,3643.2,1
Alzheimer's Disease,4402,2,5,actual,-2.027e-01,5.456e-04,2.536e-02,-2.529e-01,-2.195e-01,-2.033e-01,-1.854e-01,-1.532e-01,2160.5,1
Alzheimer's Disease,4402,2,5,pseudo,-2.015e-01,6.119e-04,2.531e-02,-2.500e-01,-2.189e-01,-2.015e-01,-1.842e-01,-1.516e-01,1711.3,1
Alzheimer's Disease,4402,2,6,actual,2.680e-01,4.307e-04,2.552e-02,2.176e-01,2.506e-01,2.685e-01,2.851e-01,3.167e-01,3509.9,1
Alzheimer's Disease,4402,2,6,pseudo,2.665e-01,4.198e-04,2.563e-02,2.160e-01,2.488e-01,2.665e-01,2.843e-01,3.159e-01,3726.9,1
Alzheimer's Disease,4402,3,4,actual,4.073e-02,4.760e-04,2.498e-02,-7.490e-03,2.401e-02,4.072e-02,5.819e-02,8.903e-02,2754.4,1
Alzheimer's Disease,4402,3,4,pseudo,4.150e-02,5.145e-04,2.442e-02,-6.851e-03,2.490e-02,4.160e-02,5.792e-02,8.872e-02,2252.8,1
Alzheimer's Disease,4402,3,5,actual,9.206e-01,6.366e-04,1.349e-02,8.924e-01,9.118e-01,9.213e-01,9.298e-01,9.457e-01,449.2,1.01
Alzheimer's Disease,4402,3,5,pseudo,9.214e-01,5.493e-04,1.331e-02,8.939e-01,9.126e-01,9.220e-01,9.307e-01,9.460e-01,587.4,1
Alzheimer's Disease,4402,3,6,actual,-8.076e-02,5.399e-04,2.593e-02,-1.315e-01,-9.860e-02,-8.034e-02,-6.334e-02,-3.078e-02,2306,1
Alzheimer's Disease,4402,3,6,pseudo,-8.875e-02,4.945e-04,2.614e-02,-1.421e-01,-1.061e-01,-8.819e-02,-7.092e-02,-3.741e-02,2793.7,1
Alzheimer's Disease,4402,4,5,actual,-3.088e-02,5.282e-04,2.766e-02,-8.563e-02,-4.910e-02,-3.152e-02,-1.237e-02,2.391e-02,2743.5,1
Alzheimer's Disease,4402,4,5,pseudo,-2.982e-02,5.195e-04,2.681e-02,-8.263e-02,-4.760e-02,-3.027e-02,-1.193e-02,2.440e-02,2663.2,1
Alzheimer's Disease,4402,4,6,actual,-2.639e-01,4.511e-04,2.710e-02,-3.165e-01,-2.823e-01,-2.641e-01,-2.459e-01,-2.103e-01,3610,1
Alzheimer's Disease,4402,4,6,pseudo,-2.605e-01,4.600e-04,2.687e-02,-3.118e-01,-2.793e-01,-2.609e-01,-2.427e-01,-2.073e-01,3412,1
Alzheimer's Disease,4402,5,6,actual,-1.127e-01,9.347e-04,3.018e-02,-1.713e-01,-1.337e-01,-1.126e-01,-9.250e-02,-5.393e-02,1042.3,1.01
Alzheimer's Disease,4402,5,6,pseudo,-1.124e-01,9.155e-04,2.986e-02,-1.704e-01,-1.322e-01,-1.128e-01,-9.241e-02,-5.284e-02,1063.8,1
Axial Spondyloarthritis,1468,1,2,actual,-1.557e-01,8.747e-04,4.526e-02,-2.442e-01,-1.865e-01,-1.557e-01,-1.247e-01,-6.729e-02,2677.6,1
Axial Spondyloarthritis,1468,1,2,pseudo,-1.718e-01,9.164e-04,4.574e-02,-2.593e-01,-2.034e-01,-1.722e-01,-1.412e-01,-8.078e-02,2490.6,1
Axial Spondyloarthritis,1468,1,3,actual,5.508e-02,8.593e-04,4.782e-02,-3.985e-02,2.370e-02,5.507e-02,8.823e-02,1.488e-01,3097.1,1
Axial Spondyloarthritis,1468,1,3,pseudo,5.621e-02,8.375e-04,4.737e-02,-3.718e-02,2.462e-02,5.624e-02,8.867e-02,1.471e-01,3200,1
Axial Spondyloarthritis,1468,1,4,actual,-1.393e-01,8.695e-04,4.746e-02,-2.307e-01,-1.731e-01,-1.392e-01,-1.076e-01,-4.401e-02,2978.6,1
Axial Spondyloarthritis,1468,1,4,pseudo,-1.448e-01,8.981e-04,4.896e-02,-2.407e-01,-1.776e-01,-1.445e-01,-1.118e-01,-4.810e-02,2971.6,1
Axial Spondyloarthritis,1468,1,5,actual,-1.471e-01,9.599e-04,5.043e-02,-2.447e-01,-1.809e-01,-1.467e-01,-1.128e-01,-4.886e-02,2760.4,1
Axial Spondyloarthritis,1468,1,5,pseudo,-1.540e-01,8.810e-04,4.854e-02,-2.502e-01,-1.866e-01,-1.537e-01,-1.216e-01,-5.863e-02,3036.2,1
Axial Spondyloarthritis,1468,1,6,actual,-5.190e-02,1.137e-03,6.058e-02,-1.713e-01,-9.210e-02,-5.188e-02,-1.286e-02,6.924e-02,2836.9,1
Axial Spondyloarthritis,1468,1,6,pseudo,-6.689e-02,1.099e-03,5.992e-02,-1.837e-01,-1.082e-01,-6.671e-02,-2.669e-02,5.045e-02,2974,1
